# BEGIN PLOT
Legend=1
LogY=0
LegendYPos=0.4
XLabel=$p_\perp(\mu\mu)$ [GeV]
YLabel=$\langle\mathrm{d}^2 N_\mathrm{chg}/\mathrm{d}\eta\mathrm{d}\phi\rangle$
Title=$CMS, 13 TeV, pp \rightarrow Z + X \rightarrow \mu^{+}\mu^{-} + X, Towards$
RemoveOptions=1
DrawOnly=/CMS_2017_I1635889/d01-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d01-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d01-x01-y01
LegendOnly=/CMS_2017_I1635889/d01-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d01-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d01-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2017_I1635889/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2017_I1635889/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2017_I1635889/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	9.020000e-01	4.926570e-02	4.926570e-02
5.000000e+00	1.000000e+01	9.360000e-01	5.147780e-02	5.147780e-02
1.000000e+01	1.500000e+01	9.730000e-01	5.447160e-02	5.447160e-02
1.500000e+01	2.000000e+01	1.000000e+00	5.770820e-02	5.770820e-02
2.000000e+01	2.500000e+01	1.020000e+00	5.975170e-02	5.975170e-02
2.500000e+01	3.000000e+01	1.030000e+00	5.931460e-02	5.931460e-02
3.000000e+01	3.500000e+01	1.050000e+00	6.216820e-02	6.216820e-02
3.500000e+01	4.000000e+01	1.060000e+00	6.386340e-02	6.386340e-02
4.000000e+01	4.500000e+01	1.070000e+00	6.093020e-02	6.093020e-02
4.500000e+01	5.000000e+01	1.060000e+00	6.223400e-02	6.223400e-02
5.000000e+01	5.500000e+01	1.100000e+00	6.072840e-02	6.072840e-02
5.500000e+01	6.000000e+01	1.110000e+00	6.899320e-02	6.899320e-02
6.000000e+01	6.500000e+01	1.100000e+00	6.679000e-02	6.679000e-02
6.500000e+01	7.000000e+01	1.130000e+00	6.576330e-02	6.576330e-02
7.000000e+01	8.000000e+01	1.110000e+00	6.443760e-02	6.443760e-02
8.000000e+01	9.000000e+01	1.110000e+00	6.253490e-02	6.253490e-02
9.000000e+01	1.000000e+02	1.130000e+00	6.494343e-02	6.494343e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d01-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d01-x01-y01
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.014612e+00	1.790502e-01	1.790502e-01
5.000000e+00	1.000000e+01	1.193662e+00	3.646700e-01	3.646700e-01
1.000000e+01	1.500000e+01	1.724179e+00	4.413281e-01	4.413281e-01
1.500000e+01	2.000000e+01	1.718873e+00	3.690712e-01	3.690712e-01
2.000000e+01	2.500000e+01	1.700968e+00	2.219197e-01	2.219197e-01
2.500000e+01	3.000000e+01	1.599507e+00	3.771334e-01	3.771334e-01
3.000000e+01	3.500000e+01	1.695000e+00	2.471593e-01	2.471593e-01
3.500000e+01	4.000000e+01	1.402553e+00	4.532719e-01	4.532719e-01
4.000000e+01	4.500000e+01	1.475026e+00	2.031603e-01	2.031603e-01
4.500000e+01	5.000000e+01	1.621391e+00	3.019963e-01	3.019963e-01
5.000000e+01	5.500000e+01	1.367285e+00	2.334456e-01	2.334456e-01
5.500000e+01	6.000000e+01	1.754683e+00	2.782054e-01	2.782054e-01
6.000000e+01	6.500000e+01	1.348838e+00	3.082279e-01	3.082279e-01
6.500000e+01	7.000000e+01	1.521919e+00	2.913229e-01	2.913229e-01
7.000000e+01	8.000000e+01	1.370786e+00	1.393655e-01	1.393655e-01
8.000000e+01	9.000000e+01	1.204042e+00	1.645714e-01	1.645714e-01
9.000000e+01	1.000000e+02	1.492078e+00	1.540605e-01	1.540605e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d01-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d01-x01-y01
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	nan	nan	nan
5.000000e+00	1.000000e+01	9.310564e-01	2.543370e-01	2.543370e-01
1.000000e+01	1.500000e+01	1.342870e+00	2.595816e-01	2.595816e-01
1.500000e+01	2.000000e+01	2.118750e+00	3.321103e-01	3.321103e-01
2.000000e+01	2.500000e+01	9.051942e-01	1.301451e-01	1.301451e-01
2.500000e+01	3.000000e+01	1.637021e+00	3.144302e-01	3.144302e-01
3.000000e+01	3.500000e+01	1.775572e+00	4.614426e-01	4.614426e-01
3.500000e+01	4.000000e+01	1.500604e+00	1.525940e-01	1.525940e-01
4.000000e+01	4.500000e+01	1.159557e+00	2.165248e-01	2.165248e-01
4.500000e+01	5.000000e+01	1.488099e+00	2.862578e-01	2.862578e-01
5.000000e+01	5.500000e+01	1.227767e+00	2.450205e-01	2.450205e-01
5.500000e+01	6.000000e+01	1.691022e+00	2.945316e-01	2.945316e-01
6.000000e+01	6.500000e+01	1.589063e+00	2.361620e-01	2.361620e-01
6.500000e+01	7.000000e+01	1.145915e+00	2.231010e-01	2.231010e-01
7.000000e+01	8.000000e+01	1.328944e+00	1.831177e-01	1.831177e-01
8.000000e+01	9.000000e+01	1.510242e+00	2.210461e-01	2.210461e-01
9.000000e+01	1.000000e+02	1.514716e+00	1.817344e-01	1.817344e-01
# END HISTO1D

