# BEGIN PLOT
Legend=1
LogY=0
LegendYPos=0.4
XLabel=$p_\perp(\mu\mu)$ [GeV]
YLabel=$\langle\mathrm{d}^2 N_\mathrm{chg}/\mathrm{d}\eta\mathrm{d}\phi\rangle$
Title=$CMS, 13 TeV, pp \rightarrow Z + X \rightarrow \mu^{+}\mu^{-} + X, Away$
RemoveOptions=1
DrawOnly=/CMS_2017_I1635889/d03-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d03-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d03-x01-y01
LegendOnly=/CMS_2017_I1635889/d03-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d03-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d03-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2017_I1635889/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2017_I1635889/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2017_I1635889/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	9.700000e-01	5.072250e-02	5.072250e-02
5.000000e+00	1.000000e+01	1.100000e+00	5.773420e-02	5.773420e-02
1.000000e+01	1.500000e+01	1.250000e+00	6.572810e-02	6.572810e-02
1.500000e+01	2.000000e+01	1.370000e+00	7.292220e-02	7.292220e-02
2.000000e+01	2.500000e+01	1.470000e+00	7.650550e-02	7.650550e-02
2.500000e+01	3.000000e+01	1.540000e+00	7.838580e-02	7.838580e-02
3.000000e+01	3.500000e+01	1.630000e+00	8.277750e-02	8.277750e-02
3.500000e+01	4.000000e+01	1.700000e+00	8.790740e-02	8.790740e-02
4.000000e+01	4.500000e+01	1.750000e+00	8.748780e-02	8.748780e-02
4.500000e+01	5.000000e+01	1.810000e+00	9.206590e-02	9.206590e-02
5.000000e+01	5.500000e+01	1.870000e+00	9.213530e-02	9.213530e-02
5.500000e+01	6.000000e+01	1.890000e+00	9.421410e-02	9.421410e-02
6.000000e+01	6.500000e+01	1.960000e+00	1.013710e-01	1.013710e-01
6.500000e+01	7.000000e+01	2.010000e+00	9.934550e-02	9.934550e-02
7.000000e+01	8.000000e+01	2.060000e+00	1.038090e-01	1.038090e-01
8.000000e+01	9.000000e+01	2.160000e+00	1.051140e-01	1.051140e-01
9.000000e+01	1.000000e+02	2.230000e+00	1.068580e-01	1.068580e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d03-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d03-x01-y01
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	2.208274e+00	1.372712e+00	1.372712e+00
5.000000e+00	1.000000e+01	8.355633e-01	2.387327e-01	2.387327e-01
1.000000e+01	1.500000e+01	1.697652e+00	3.501512e-01	3.501512e-01
1.500000e+01	2.000000e+01	2.029226e+00	7.011173e-01	7.011173e-01
2.000000e+01	2.500000e+01	1.591549e+00	2.393347e-01	2.393347e-01
2.500000e+01	3.000000e+01	1.623381e+00	3.537391e-01	3.537391e-01
3.000000e+01	3.500000e+01	1.492078e+00	1.695850e-01	1.695850e-01
3.500000e+01	4.000000e+01	1.835255e+00	3.615901e-01	3.615901e-01
4.000000e+01	4.500000e+01	2.029226e+00	3.789180e-01	3.789180e-01
4.500000e+01	5.000000e+01	1.730810e+00	3.935686e-01	3.935686e-01
5.000000e+01	5.500000e+01	9.874836e-01	1.634221e-01	1.634221e-01
5.500000e+01	6.000000e+01	1.897922e+00	2.443059e-01	2.443059e-01
6.000000e+01	6.500000e+01	1.504014e+00	2.831438e-01	2.831438e-01
6.500000e+01	7.000000e+01	1.521919e+00	3.389349e-01	3.389349e-01
7.000000e+01	8.000000e+01	1.359235e+00	1.160705e-01	1.160705e-01
8.000000e+01	9.000000e+01	1.992897e+00	2.689537e-01	2.689537e-01
9.000000e+01	1.000000e+02	2.118750e+00	1.850986e-01	1.850986e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d03-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d03-x01-y01
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	nan	nan	nan
5.000000e+00	1.000000e+01	8.833100e-01	2.492439e-01	2.492439e-01
1.000000e+01	1.500000e+01	1.163820e+00	2.595815e-01	2.595815e-01
1.500000e+01	2.000000e+01	1.477156e+00	2.332750e-01	2.332750e-01
2.000000e+01	2.500000e+01	1.352817e+00	2.895423e-01	2.895423e-01
2.500000e+01	3.000000e+01	1.858703e+00	4.411682e-01	4.411682e-01
3.000000e+01	3.500000e+01	1.671128e+00	4.379986e-01	4.379986e-01
3.500000e+01	4.000000e+01	1.952490e+00	2.158651e-01	2.158651e-01
4.000000e+01	4.500000e+01	1.398290e+00	2.728371e-01	2.728371e-01
4.500000e+01	5.000000e+01	1.320986e+00	2.019227e-01	2.019227e-01
5.000000e+01	5.500000e+01	1.526182e+00	2.730522e-01	2.730522e-01
5.500000e+01	6.000000e+01	1.770598e+00	2.904728e-01	2.904728e-01
6.000000e+01	6.500000e+01	1.880017e+00	2.205048e-01	2.205048e-01
6.500000e+01	7.000000e+01	1.567676e+00	2.731590e-01	2.731590e-01
7.000000e+01	8.000000e+01	1.587570e+00	1.752965e-01	1.752965e-01
8.000000e+01	9.000000e+01	1.728215e+00	2.895673e-01	2.895673e-01
9.000000e+01	1.000000e+02	1.753448e+00	2.071810e-01	2.071810e-01
# END HISTO1D

