# BEGIN PLOT
Legend=1
LogY=0
LegendYPos=0.4
XLabel=$p_\perp(\mu\mu)$ [GeV]
YLabel=$\langle\mathrm{d}^2 \sum p_\perp/\mathrm{d}\eta\mathrm{d}\phi\rangle$ [GeV]
Title=$CMS, 13 TeV, pp \rightarrow Z + X \rightarrow \mu^{+}\mu^{-} + X, Towards$
RemoveOptions=1
DrawOnly=/CMS_2017_I1635889/d04-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d04-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d04-x01-y01
LegendOnly=/CMS_2017_I1635889/d04-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d04-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d04-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2017_I1635889/d04-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2017_I1635889/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2017_I1635889/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	9.890000e-01	5.727950e-02	5.727950e-02
5.000000e+00	1.000000e+01	1.050000e+00	6.272190e-02	6.272190e-02
1.000000e+01	1.500000e+01	1.110000e+00	6.705450e-02	6.705450e-02
1.500000e+01	2.000000e+01	1.170000e+00	7.461320e-02	7.461320e-02
2.000000e+01	2.500000e+01	1.210000e+00	8.244440e-02	8.244440e-02
2.500000e+01	3.000000e+01	1.240000e+00	8.191220e-02	8.191220e-02
3.000000e+01	3.500000e+01	1.300000e+00	9.011860e-02	9.011860e-02
3.500000e+01	4.000000e+01	1.340000e+00	9.782240e-02	9.782240e-02
4.000000e+01	4.500000e+01	1.370000e+00	9.625370e-02	9.625370e-02
4.500000e+01	5.000000e+01	1.380000e+00	9.442740e-02	9.442740e-02
5.000000e+01	5.500000e+01	1.430000e+00	9.653210e-02	9.653210e-02
5.500000e+01	6.000000e+01	1.480000e+00	1.129740e-01	1.129740e-01
6.000000e+01	6.500000e+01	1.490000e+00	1.115790e-01	1.115790e-01
6.500000e+01	7.000000e+01	1.510000e+00	1.026180e-01	1.026180e-01
7.000000e+01	8.000000e+01	1.520000e+00	1.059780e-01	1.059780e-01
8.000000e+01	9.000000e+01	1.560000e+00	1.083690e-01	1.083690e-01
9.000000e+01	1.000000e+02	1.590000e+00	1.114090e-01	1.114090e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d04-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d04-x01-y01
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	5.341570e+00	9.416926e-01	9.416926e-01
5.000000e+00	1.000000e+01	2.345236e+00	7.153070e-01	7.153070e-01
1.000000e+01	1.500000e+01	1.090656e+01	3.928313e+00	3.928313e+00
1.500000e+01	2.000000e+01	6.925212e+00	2.913323e+00	2.913323e+00
2.000000e+01	2.500000e+01	6.849216e+00	1.111368e+00	1.111368e+00
2.500000e+01	3.000000e+01	1.324463e+01	3.946202e+00	3.946202e+00
3.000000e+01	3.500000e+01	7.721345e+00	1.630464e+00	1.630464e+00
3.500000e+01	4.000000e+01	5.134882e+00	3.285161e+00	3.285161e+00
4.000000e+01	4.500000e+01	8.695614e+00	2.458210e+00	2.458210e+00
4.500000e+01	5.000000e+01	6.458167e+00	2.116755e+00	2.116755e+00
5.000000e+01	5.500000e+01	1.218574e+01	4.526274e+00	4.526274e+00
5.500000e+01	6.000000e+01	7.528645e+00	1.965644e+00	1.965644e+00
6.000000e+01	6.500000e+01	6.755652e+00	1.833236e+00	1.833236e+00
6.500000e+01	7.000000e+01	5.804883e+00	2.331161e+00	2.331161e+00
7.000000e+01	8.000000e+01	7.714603e+00	1.456315e+00	1.456315e+00
8.000000e+01	9.000000e+01	4.887583e+00	1.301810e+00	1.301810e+00
9.000000e+01	1.000000e+02	9.797040e+00	2.740103e+00	2.740103e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d04-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d04-x01-y01
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	nan	nan	nan
5.000000e+00	1.000000e+01	1.165620e+01	5.429399e+00	5.429399e+00
1.000000e+01	1.500000e+01	6.378130e+00	2.650643e+00	2.650643e+00
1.500000e+01	2.000000e+01	1.111281e+01	2.999154e+00	2.999154e+00
2.000000e+01	2.500000e+01	7.148870e+00	2.359512e+00	2.359512e+00
2.500000e+01	3.000000e+01	8.165599e+00	3.021039e+00	3.021039e+00
3.000000e+01	3.500000e+01	8.956546e+00	1.868809e+00	1.868809e+00
3.500000e+01	4.000000e+01	7.614400e+00	2.361940e+00	2.361940e+00
4.000000e+01	4.500000e+01	3.815235e+00	9.909864e-01	9.909864e-01
4.500000e+01	5.000000e+01	8.739867e+00	1.792927e+00	1.792927e+00
5.000000e+01	5.500000e+01	5.139906e+00	1.771901e+00	1.771901e+00
5.500000e+01	6.000000e+01	7.621462e+00	2.660839e+00	2.660839e+00
6.000000e+01	6.500000e+01	7.751387e+00	2.425069e+00	2.425069e+00
6.500000e+01	7.000000e+01	2.798475e+00	7.462992e-01	7.462992e-01
7.000000e+01	8.000000e+01	8.504137e+00	2.027833e+00	2.027833e+00
8.000000e+01	9.000000e+01	9.732161e+00	2.850712e+00	2.850712e+00
9.000000e+01	1.000000e+02	5.213817e+00	1.146192e+00	1.146192e+00
# END HISTO1D

