# BEGIN PLOT
Legend=1
LogY=0
LegendYPos=0.4
XLabel=$p_\perp(\mu\mu)$ [GeV]
YLabel=$\langle\mathrm{d}^2 \sum p_\perp/\mathrm{d}\eta\mathrm{d}\phi\rangle$ [GeV]
Title=$CMS, 13 TeV, pp \rightarrow Z + X \rightarrow \mu^{+}\mu^{-} + X, Transverse$
RemoveOptions=1
DrawOnly=/CMS_2017_I1635889/d05-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d05-x01-y01
LegendOnly=/CMS_2017_I1635889/d05-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d05-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2017_I1635889/d05-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2017_I1635889/d05-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2017_I1635889/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.000000e+00	5.814880e-02	5.814880e-02
5.000000e+00	1.000000e+01	1.110000e+00	6.482010e-02	6.482010e-02
1.000000e+01	1.500000e+01	1.210000e+00	7.383790e-02	7.383790e-02
1.500000e+01	2.000000e+01	1.290000e+00	8.276890e-02	8.276890e-02
2.000000e+01	2.500000e+01	1.360000e+00	8.936060e-02	8.936060e-02
2.500000e+01	3.000000e+01	1.420000e+00	8.921590e-02	8.921590e-02
3.000000e+01	3.500000e+01	1.500000e+00	9.725440e-02	9.725440e-02
3.500000e+01	4.000000e+01	1.580000e+00	1.197780e-01	1.197780e-01
4.000000e+01	4.500000e+01	1.600000e+00	1.037860e-01	1.037860e-01
4.500000e+01	5.000000e+01	1.650000e+00	1.118250e-01	1.118250e-01
5.000000e+01	5.500000e+01	1.780000e+00	1.097530e-01	1.097530e-01
5.500000e+01	6.000000e+01	1.750000e+00	1.257070e-01	1.257070e-01
6.000000e+01	6.500000e+01	1.830000e+00	1.312610e-01	1.312610e-01
6.500000e+01	7.000000e+01	1.860000e+00	1.294420e-01	1.294420e-01
7.000000e+01	8.000000e+01	1.940000e+00	1.308580e-01	1.308580e-01
8.000000e+01	9.000000e+01	2.010000e+00	1.545350e-01	1.545350e-01
9.000000e+01	1.000000e+02	2.030000e+00	1.084460e-01	1.084460e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d05-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2017_I1635889/d05-x01-y01
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.867207e+00	1.367583e+00	1.367583e+00
5.000000e+00	1.000000e+01	1.273629e+01	8.527729e+00	8.527729e+00
1.000000e+01	1.500000e+01	1.236430e+01	2.638165e+00	2.638165e+00
1.500000e+01	2.000000e+01	9.860208e+00	1.957437e+00	1.957437e+00
2.000000e+01	2.500000e+01	8.165260e+00	3.642594e+00	3.642594e+00
2.500000e+01	3.000000e+01	1.019630e+01	2.862428e+00	2.862428e+00
3.000000e+01	3.500000e+01	6.585555e+00	1.426683e+00	1.426683e+00
3.500000e+01	4.000000e+01	1.434750e+01	3.269862e+00	3.269862e+00
4.000000e+01	4.500000e+01	1.172991e+01	2.968568e+00	2.968568e+00
4.500000e+01	5.000000e+01	1.148842e+01	4.223102e+00	4.223102e+00
5.000000e+01	5.500000e+01	1.181080e+01	3.697950e+00	3.697950e+00
5.500000e+01	6.000000e+01	7.809600e+00	1.902730e+00	1.902730e+00
6.000000e+01	6.500000e+01	1.433337e+01	7.722249e+00	7.722249e+00
6.500000e+01	7.000000e+01	3.947738e+00	9.523740e-01	9.523740e-01
7.000000e+01	8.000000e+01	7.816255e+00	1.710136e+00	1.710136e+00
8.000000e+01	9.000000e+01	6.758983e+00	1.461247e+00	1.461247e+00
9.000000e+01	1.000000e+02	6.636540e+00	1.662314e+00	1.662314e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d05-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2017_I1635889/d05-x01-y01
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	nan	nan	nan
5.000000e+00	1.000000e+01	6.671358e+00	3.035870e+00	3.035870e+00
1.000000e+01	1.500000e+01	6.097177e+00	2.992764e+00	2.992764e+00
1.500000e+01	2.000000e+01	7.590598e+00	1.960342e+00	1.960342e+00
2.000000e+01	2.500000e+01	1.206468e+01	3.916135e+00	3.916135e+00
2.500000e+01	3.000000e+01	1.174483e+01	5.585577e+00	5.585577e+00
3.000000e+01	3.500000e+01	6.252884e+00	2.399616e+00	2.399616e+00
3.500000e+01	4.000000e+01	1.593039e+01	5.172565e+00	5.172565e+00
4.000000e+01	4.500000e+01	5.439745e+00	1.636579e+00	1.636579e+00
4.500000e+01	5.000000e+01	9.633180e+00	3.345300e+00	3.345300e+00
5.000000e+01	5.500000e+01	1.015683e+01	2.871575e+00	2.871575e+00
5.500000e+01	6.000000e+01	5.549686e+00	1.244794e+00	1.244794e+00
6.000000e+01	6.500000e+01	7.259206e+00	2.828985e+00	2.828985e+00
6.500000e+01	7.000000e+01	1.547916e+01	3.477755e+00	3.477755e+00
7.000000e+01	8.000000e+01	6.368737e+00	1.070155e+00	1.070155e+00
8.000000e+01	9.000000e+01	6.830430e+00	1.479046e+00	1.479046e+00
9.000000e+01	1.000000e+02	7.016379e+00	1.210218e+00	1.210218e+00
# END HISTO1D

