# BEGIN PLOT
Legend=1
LogY=1
XLabelSep=4.4
YLabelSep=5.4
ConnectBins=0
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
Title={$\sqrt{s}=13\,\mathrm{TeV}$}
FullRange=1
LogX=1
XLabel={$p_{\mathrm{T}}(\mathrm{Z}), N_{jet} \geq 1$ [GeV]}
YLabel={$d\sigma/dp_{\mathrm{T}}(\mathrm{Z})$ [pb/GeV]}
LegendXPos=0.5
LegendYPos=0.9
RemoveOptions=1
DrawOnly=/CMS_2018_I1667854/d03-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2018_I1667854/d03-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2018_I1667854/d03-x01-y01
LegendOnly=/CMS_2018_I1667854/d03-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2018_I1667854/d03-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2018_I1667854/d03-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2018_I1667854/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1667854/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1667854/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.250000e+00	2.500000e+00	2.121940e-01	3.070850e-02	3.070850e-02
2.500000e+00	3.750000e+00	3.085150e-01	4.233270e-02	4.233270e-02
3.750000e+00	5.000000e+00	3.773570e-01	5.157950e-02	5.157950e-02
5.000000e+00	6.250000e+00	4.220450e-01	5.864410e-02	5.864410e-02
6.250000e+00	7.500000e+00	4.867100e-01	6.419910e-02	6.419910e-02
7.500000e+00	8.750000e+00	5.371500e-01	6.888120e-02	6.888120e-02
8.750000e+00	1.000000e+01	5.800680e-01	7.268850e-02	7.268850e-02
1.000000e+01	1.125000e+01	6.308160e-01	8.184580e-02	8.184580e-02
1.125000e+01	1.250000e+01	6.967800e-01	8.500510e-02	8.500510e-02
1.250000e+01	1.500000e+01	7.573060e-01	9.253290e-02	9.253290e-02
1.500000e+01	1.750000e+01	8.685120e-01	1.059450e-01	1.059450e-01
1.750000e+01	2.000000e+01	9.821390e-01	1.193000e-01	1.193000e-01
2.000000e+01	2.500000e+01	1.154110e+00	1.320040e-01	1.320040e-01
2.500000e+01	3.000000e+01	1.467490e+00	1.579710e-01	1.579710e-01
3.000000e+01	3.500000e+01	1.800730e+00	1.682230e-01	1.682230e-01
3.500000e+01	4.000000e+01	2.025120e+00	1.477590e-01	1.477590e-01
4.000000e+01	4.500000e+01	2.043570e+00	1.232130e-01	1.232130e-01
4.500000e+01	5.000000e+01	1.908120e+00	9.521450e-02	9.521450e-02
5.000000e+01	6.000000e+01	1.617140e+00	6.400460e-02	6.400460e-02
6.000000e+01	7.000000e+01	1.203930e+00	4.143010e-02	4.143010e-02
7.000000e+01	8.000000e+01	8.807710e-01	2.927590e-02	2.927590e-02
8.000000e+01	9.000000e+01	6.336780e-01	2.140550e-02	2.140550e-02
9.000000e+01	1.000000e+02	4.442350e-01	1.525470e-02	1.525470e-02
1.000000e+02	1.100000e+02	3.334130e-01	1.167940e-02	1.167940e-02
1.100000e+02	1.300000e+02	2.211890e-01	7.584680e-03	7.584680e-03
1.300000e+02	1.500000e+02	1.307850e-01	4.791080e-03	4.791080e-03
1.500000e+02	1.700000e+02	8.131240e-02	3.211400e-03	3.211400e-03
1.700000e+02	1.900000e+02	5.163510e-02	2.273550e-03	2.273550e-03
1.900000e+02	2.200000e+02	3.173030e-02	1.435080e-03	1.435080e-03
2.200000e+02	2.500000e+02	1.834900e-02	9.783670e-04	9.783670e-04
2.500000e+02	4.000000e+02	5.083030e-03	2.607740e-04	2.607740e-04
4.000000e+02	1.000000e+03	1.874210e-04	1.865720e-05	1.865720e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2018_I1667854/d03-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2018_I1667854/d03-x01-y01
ScaledBy=5.02515000000000050e-07
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.250000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	3.750000e+00	4.020120e-07	4.020120e-07	4.020120e-07
3.750000e+00	5.000000e+00	4.020120e-07	4.020120e-07	4.020120e-07
5.000000e+00	6.250000e+00	4.020120e-07	4.020120e-07	4.020120e-07
6.250000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+00	8.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.750000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.125000e+01	8.040240e-07	5.685309e-07	5.685309e-07
1.125000e+01	1.250000e+01	4.020120e-07	4.020120e-07	4.020120e-07
1.250000e+01	1.500000e+01	1.407042e-06	5.318118e-07	5.318118e-07
1.500000e+01	1.750000e+01	6.030180e-07	3.481526e-07	3.481526e-07
1.750000e+01	2.000000e+01	1.407042e-06	5.318118e-07	5.318118e-07
2.000000e+01	2.500000e+01	1.005030e-06	3.178184e-07	3.178184e-07
2.500000e+01	3.000000e+01	1.105533e-06	3.333308e-07	3.333308e-07
3.000000e+01	3.500000e+01	1.909557e-06	4.380824e-07	4.380824e-07
3.500000e+01	4.000000e+01	1.206036e-06	3.481526e-07	3.481526e-07
4.000000e+01	4.500000e+01	1.809054e-06	4.263981e-07	4.263981e-07
4.500000e+01	5.000000e+01	1.708551e-06	4.143845e-07	4.143845e-07
5.000000e+01	6.000000e+01	1.557797e-06	2.797885e-07	2.797885e-07
6.000000e+01	7.000000e+01	1.356791e-06	2.611145e-07	2.611145e-07
7.000000e+01	8.000000e+01	1.909557e-06	3.097710e-07	3.097710e-07
8.000000e+01	9.000000e+01	1.407042e-06	2.659059e-07	2.659059e-07
9.000000e+01	1.000000e+02	1.256288e-06	2.512575e-07	2.512575e-07
1.000000e+02	1.100000e+02	1.155785e-06	2.409977e-07	2.409977e-07
1.100000e+02	1.300000e+02	1.005030e-06	1.589092e-07	1.589092e-07
1.300000e+02	1.500000e+02	8.040240e-07	1.421327e-07	1.421327e-07
1.500000e+02	1.700000e+02	6.783955e-07	1.305572e-07	1.305572e-07
1.700000e+02	1.900000e+02	5.276410e-07	1.151407e-07	1.151407e-07
1.900000e+02	2.200000e+02	5.025150e-07	9.174627e-08	9.174627e-08
2.200000e+02	2.500000e+02	5.527663e-07	9.622430e-08	9.622430e-08
2.500000e+02	4.000000e+02	2.244567e-07	2.742175e-08	2.742175e-08
4.000000e+02	1.000000e+03	1.005030e-08	2.901272e-09	2.901272e-09
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2018_I1667854/d03-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2018_I1667854/d03-x01-y01
ScaledBy=4.98359999999999918e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.250000e+00	2.500000e+00	7.973760e-07	5.638300e-07	5.638300e-07
2.500000e+00	3.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.750000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	6.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.250000e+00	7.500000e+00	1.196064e-06	6.905479e-07	6.905479e-07
7.500000e+00	8.750000e+00	7.973760e-07	5.638300e-07	5.638300e-07
8.750000e+00	1.000000e+01	7.973760e-07	5.638300e-07	5.638300e-07
