# BEGIN PLOT
Legend=1
LogY=0
XLabelSep=4.4
YLabelSep=5.4
ConnectBins=0
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
Title={$\sqrt{s}=13\,\mathrm{TeV}$}
FullRange=1
LogX=0
XLabel={Leading jet $|y|$}
YLabel={$d\sigma/d|y|$ [pb]}
LegendXPos=0.07
LegendYPos=0.4
RemoveOptions=1
DrawOnly=/CMS_2018_I1667854/d07-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2018_I1667854/d07-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2018_I1667854/d07-x01-y01
LegendOnly=/CMS_2018_I1667854/d07-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2018_I1667854/d07-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2018_I1667854/d07-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2018_I1667854/d07-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1667854/d07-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1667854/d07-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	7.037270e+01	3.504960e+00	3.504960e+00
2.000000e-01	4.000000e-01	6.951400e+01	3.497210e+00	3.497210e+00
4.000000e-01	6.000000e-01	6.673260e+01	3.396500e+00	3.396500e+00
6.000000e-01	8.000000e-01	6.466420e+01	3.384770e+00	3.384770e+00
8.000000e-01	1.000000e+00	6.229200e+01	3.245710e+00	3.245710e+00
1.000000e+00	1.200000e+00	5.726920e+01	2.974920e+00	2.974920e+00
1.200000e+00	1.400000e+00	5.196760e+01	2.840680e+00	2.840680e+00
1.400000e+00	1.600000e+00	4.775030e+01	2.941310e+00	2.941310e+00
1.600000e+00	1.800000e+00	4.348320e+01	2.765520e+00	2.765520e+00
1.800000e+00	2.000000e+00	3.888090e+01	2.638110e+00	2.638110e+00
2.000000e+00	2.200000e+00	3.430790e+01	2.483180e+00	2.483180e+00
2.200000e+00	2.400000e+00	2.946990e+01	2.134880e+00	2.134880e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2018_I1667854/d07-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2018_I1667854/d07-x01-y01
ScaledBy=5.02515000000000050e-07
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.155784e-04	1.704111e-05	1.704111e-05
2.000000e-01	4.000000e-01	1.331665e-04	1.829182e-05	1.829182e-05
4.000000e-01	6.000000e-01	1.030156e-04	1.608833e-05	1.608833e-05
6.000000e-01	8.000000e-01	1.256287e-04	1.776659e-05	1.776659e-05
8.000000e-01	1.000000e+00	1.080408e-04	1.647606e-05	1.647606e-05
1.000000e+00	1.200000e+00	1.080408e-04	1.647606e-05	1.647606e-05
1.200000e+00	1.400000e+00	1.206036e-04	1.740763e-05	1.740763e-05
1.400000e+00	1.600000e+00	1.482419e-04	1.929946e-05	1.929946e-05
1.600000e+00	1.800000e+00	9.547785e-05	1.548855e-05	1.548855e-05
1.800000e+00	2.000000e+00	1.080408e-04	1.647606e-05	1.647606e-05
2.000000e+00	2.200000e+00	1.231162e-04	1.758802e-05	1.758802e-05
2.200000e+00	2.400000e+00	7.788985e-05	1.398943e-05	1.398943e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2018_I1667854/d07-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2018_I1667854/d07-x01-y01
ScaledBy=4.98359999999999918e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.718020e-05	1.556129e-05	1.556129e-05
2.000000e-01	4.000000e-01	1.295736e-04	1.796863e-05	1.796863e-05
4.000000e-01	6.000000e-01	1.121310e-04	1.671550e-05	1.671550e-05
6.000000e-01	8.000000e-01	1.245900e-04	1.761968e-05	1.761968e-05
8.000000e-01	1.000000e+00	9.718020e-05	1.556129e-05	1.556129e-05
1.000000e+00	1.200000e+00	1.345572e-04	1.831092e-05	1.831092e-05
1.200000e+00	1.400000e+00	1.196064e-04	1.726370e-05	1.726370e-05
1.400000e+00	1.600000e+00	1.071474e-04	1.633983e-05	1.633983e-05
1.600000e+00	1.800000e+00	1.021638e-04	1.595530e-05	1.595530e-05
1.800000e+00	2.000000e+00	1.046556e-04	1.614871e-05	1.614871e-05
2.000000e+00	2.200000e+00	1.270818e-04	1.779501e-05	1.779501e-05
2.200000e+00	2.400000e+00	1.171146e-04	1.708292e-05	1.708292e-05
# END HISTO1D

