# BEGIN PLOT
Legend=1
LogY=0
XLabelSep=4.4
YLabelSep=5.4
ConnectBins=0
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
Title={$\sqrt{s}=13\,\mathrm{TeV}$}
FullRange=1
LogX=0
XLabel={Second jet $|y|$}
YLabel={$d\sigma/d|y|$ [pb]}
LegendXPos=0.07
LegendYPos=0.4
RemoveOptions=1
DrawOnly=/CMS_2018_I1667854/d08-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2018_I1667854/d08-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2018_I1667854/d08-x01-y01
LegendOnly=/CMS_2018_I1667854/d08-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2018_I1667854/d08-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2018_I1667854/d08-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2018_I1667854/d08-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1667854/d08-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2018_I1667854/d08-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.507740e+01	1.108630e+00	1.108630e+00
2.000000e-01	4.000000e-01	1.443460e+01	1.080550e+00	1.080550e+00
4.000000e-01	6.000000e-01	1.439430e+01	1.080250e+00	1.080250e+00
6.000000e-01	8.000000e-01	1.372480e+01	1.044360e+00	1.044360e+00
8.000000e-01	1.000000e+00	1.392050e+01	1.064680e+00	1.064680e+00
1.000000e+00	1.200000e+00	1.243220e+01	9.385120e-01	9.385120e-01
1.200000e+00	1.400000e+00	1.189030e+01	9.773800e-01	9.773800e-01
1.400000e+00	1.600000e+00	1.100460e+01	8.645240e-01	8.645240e-01
1.600000e+00	1.800000e+00	1.008570e+01	8.804010e-01	8.804010e-01
1.800000e+00	2.000000e+00	9.348960e+00	7.878760e-01	7.878760e-01
2.000000e+00	2.200000e+00	8.476940e+00	7.435550e-01	7.435550e-01
2.200000e+00	2.400000e+00	7.042990e+00	6.709140e-01	6.709140e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2018_I1667854/d08-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2018_I1667854/d08-x01-y01
ScaledBy=5.02515000000000050e-07
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.030156e-04	1.608833e-05	1.608833e-05
2.000000e-01	4.000000e-01	7.537725e-05	1.376194e-05	1.376194e-05
4.000000e-01	6.000000e-01	9.296530e-05	1.528340e-05	1.528340e-05
6.000000e-01	8.000000e-01	9.799045e-05	1.569103e-05	1.569103e-05
8.000000e-01	1.000000e+00	8.040240e-05	1.421327e-05	1.421327e-05
1.000000e+00	1.200000e+00	1.055282e-04	1.628335e-05	1.628335e-05
1.200000e+00	1.400000e+00	8.542755e-05	1.465070e-05	1.465070e-05
1.400000e+00	1.600000e+00	1.030156e-04	1.608833e-05	1.608833e-05
1.600000e+00	1.800000e+00	1.206036e-04	1.740763e-05	1.740763e-05
1.800000e+00	2.000000e+00	1.180911e-04	1.722534e-05	1.722534e-05
2.000000e+00	2.200000e+00	8.040240e-05	1.421327e-05	1.421327e-05
2.200000e+00	2.400000e+00	7.788985e-05	1.398943e-05	1.398943e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2018_I1667854/d08-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2018_I1667854/d08-x01-y01
ScaledBy=4.98359999999999918e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	7.724580e-05	1.387375e-05	1.387375e-05
2.000000e-01	4.000000e-01	9.718020e-05	1.556129e-05	1.556129e-05
4.000000e-01	6.000000e-01	1.196064e-04	1.726370e-05	1.726370e-05
6.000000e-01	8.000000e-01	8.721300e-05	1.474169e-05	1.474169e-05
8.000000e-01	1.000000e+00	9.468840e-05	1.536049e-05	1.536049e-05
1.000000e+00	1.200000e+00	7.724580e-05	1.387375e-05	1.387375e-05
1.200000e+00	1.400000e+00	8.970480e-05	1.495080e-05	1.495080e-05
1.400000e+00	1.600000e+00	1.270818e-04	1.779501e-05	1.779501e-05
1.600000e+00	1.800000e+00	9.718020e-05	1.556129e-05	1.556129e-05
1.800000e+00	2.000000e+00	1.021638e-04	1.595530e-05	1.595530e-05
2.000000e+00	2.200000e+00	8.222940e-05	1.431430e-05	1.431430e-05
2.200000e+00	2.400000e+00	1.046556e-04	1.614871e-05	1.614871e-05
# END HISTO1D

