# BEGIN PLOT
Legend=1
LogY=0
RatioPlotYMin=0.75
RatioPlotYMax=1.25
Title=CMS, 13 TeV, $Z \to e^+ e^-$
XLabel=$|y^{Z}|$
YLabel=$d\sigma/d|y^{Z}|$ [pb]
LegendXPos=0.05
LegendYPos=0.7
RemoveOptions=1
DrawOnly=/CMS_2019_I1753680/d26-x01-y02 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y02 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y02
LegendOnly=/CMS_2019_I1753680/d26-x01-y02 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y02 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y02
RatioPlot=1
RatioPlotReference=/CMS_2019_I1753680/d26-x01-y02
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d26-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d26-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.838700e+02	1.079000e+01	1.079000e+01
2.000000e-01	4.000000e-01	3.838200e+02	1.078900e+01	1.078900e+01
4.000000e-01	6.000000e-01	3.829000e+02	1.080000e+01	1.080000e+01
6.000000e-01	8.000000e-01	3.777000e+02	1.074100e+01	1.074100e+01
8.000000e-01	1.000000e+00	3.738600e+02	1.071300e+01	1.071300e+01
1.000000e+00	1.200000e+00	3.729400e+02	1.079900e+01	1.079900e+01
1.200000e+00	1.400000e+00	3.593300e+02	1.059100e+01	1.059100e+01
1.400000e+00	1.600000e+00	3.193200e+02	9.644600e+00	9.644600e+00
1.600000e+00	1.800000e+00	2.615200e+02	8.138400e+00	8.138400e+00
1.800000e+00	2.000000e+00	1.925500e+02	6.359900e+00	6.359900e+00
2.000000e+00	2.200000e+00	1.152300e+02	4.397000e+00	4.397000e+00
2.200000e+00	2.400000e+00	3.572300e+01	1.671800e+00	1.671800e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y02
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y02
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.110563e-04	3.256669e-05	3.256669e-05
2.000000e-01	4.000000e-01	1.809054e-04	3.015090e-05	3.015090e-05
4.000000e-01	6.000000e-01	1.507545e-04	2.752388e-05	2.752388e-05
6.000000e-01	8.000000e-01	1.256287e-04	2.512575e-05	2.512575e-05
8.000000e-01	1.000000e+00	1.658300e-04	2.886729e-05	2.886729e-05
1.000000e+00	1.200000e+00	1.557797e-04	2.797885e-05	2.797885e-05
1.200000e+00	1.400000e+00	1.256288e-04	2.512575e-05	2.512575e-05
1.400000e+00	1.600000e+00	1.306539e-04	2.562334e-05	2.562334e-05
1.600000e+00	1.800000e+00	1.005030e-04	2.247316e-05	2.247316e-05
1.800000e+00	2.000000e+00	5.025150e-05	1.589092e-05	1.589092e-05
2.000000e+00	2.200000e+00	3.517605e-05	1.329530e-05	1.329530e-05
2.200000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y02
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y02
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.694424e-04	2.905913e-05	2.905913e-05
2.000000e-01	4.000000e-01	1.943604e-04	3.112257e-05	3.112257e-05
4.000000e-01	6.000000e-01	2.093112e-04	3.229742e-05	3.229742e-05
6.000000e-01	8.000000e-01	1.694424e-04	2.905913e-05	2.905913e-05
8.000000e-01	1.000000e+00	1.445244e-04	2.683751e-05	2.683751e-05
1.000000e+00	1.200000e+00	1.495080e-04	2.729630e-05	2.729630e-05
1.200000e+00	1.400000e+00	1.245900e-04	2.491800e-05	2.491800e-05
1.400000e+00	1.600000e+00	8.970480e-05	2.114362e-05	2.114362e-05
1.600000e+00	1.800000e+00	9.468840e-05	2.172301e-05	2.172301e-05
1.800000e+00	2.000000e+00	5.481960e-05	1.652873e-05	1.652873e-05
2.000000e+00	2.200000e+00	2.990160e-05	1.220728e-05	1.220728e-05
2.200000e+00	2.400000e+00	4.983600e-06	4.983600e-06	4.983600e-06
# END HISTO1D

