# BEGIN PLOT
Legend=1
LogY=0
RatioPlotYMin=0.75
RatioPlotYMax=1.25
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$
XLabel=$|y^{Z}|$
YLabel=$d\sigma/d|y^{Z}|$ [pb]
LegendXPos=0.05
LegendYPos=0.7
RemoveOptions=1
DrawOnly=/CMS_2019_I1753680/d26-x01-y03 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y03 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y03
LegendOnly=/CMS_2019_I1753680/d26-x01-y03 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y03 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y03
RatioPlot=1
RatioPlotReference=/CMS_2019_I1753680/d26-x01-y03
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d26-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d26-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.793600e+02	9.818800e+00	9.818800e+00
2.000000e-01	4.000000e-01	3.781800e+02	9.794000e+00	9.794000e+00
4.000000e-01	6.000000e-01	3.768500e+02	9.767900e+00	9.767900e+00
6.000000e-01	8.000000e-01	3.740800e+02	9.702400e+00	9.702400e+00
8.000000e-01	1.000000e+00	3.705900e+02	9.629400e+00	9.629400e+00
1.000000e+00	1.200000e+00	3.657300e+02	9.546600e+00	9.546600e+00
1.200000e+00	1.400000e+00	3.494100e+02	9.160500e+00	9.160500e+00
1.400000e+00	1.600000e+00	3.116300e+02	8.196300e+00	8.196300e+00
1.600000e+00	1.800000e+00	2.558300e+02	6.761800e+00	6.761800e+00
1.800000e+00	2.000000e+00	1.880400e+02	5.041300e+00	5.041300e+00
2.000000e+00	2.200000e+00	1.132500e+02	3.183200e+00	3.183200e+00
2.200000e+00	2.400000e+00	3.664600e+01	1.133500e+00	1.133500e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y03
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y03
ScaledBy=5.02515000000000050e-07
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.060311e-04	2.275234e-05	2.275234e-05
2.000000e-01	4.000000e-01	1.834180e-04	2.146745e-05	2.146745e-05
4.000000e-01	6.000000e-01	2.010060e-04	2.247316e-05	2.247316e-05
6.000000e-01	8.000000e-01	1.482419e-04	1.929946e-05	1.929946e-05
8.000000e-01	1.000000e+00	1.608048e-04	2.010060e-05	2.010060e-05
1.000000e+00	1.200000e+00	1.633174e-04	2.025703e-05	2.025703e-05
1.200000e+00	1.400000e+00	1.231162e-04	1.758802e-05	1.758802e-05
1.400000e+00	1.600000e+00	1.030156e-04	1.608833e-05	1.608833e-05
1.600000e+00	1.800000e+00	8.291495e-05	1.443364e-05	1.443364e-05
1.800000e+00	2.000000e+00	5.778925e-05	1.204989e-05	1.204989e-05
2.000000e+00	2.200000e+00	3.768862e-05	9.731161e-06	9.731161e-06
2.200000e+00	2.400000e+00	7.537725e-06	4.351908e-06	4.351908e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y03
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2019_I1753680/d26-x01-y03
ScaledBy=4.98359999999999918e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.819014e-04	2.128995e-05	2.128995e-05
2.000000e-01	4.000000e-01	1.993440e-04	2.228734e-05	2.228734e-05
4.000000e-01	6.000000e-01	1.918686e-04	2.186546e-05	2.186546e-05
6.000000e-01	8.000000e-01	1.470162e-04	1.913988e-05	1.913988e-05
8.000000e-01	1.000000e+00	1.544916e-04	1.962045e-05	1.962045e-05
1.000000e+00	1.200000e+00	1.196064e-04	1.726370e-05	1.726370e-05
1.200000e+00	1.400000e+00	1.295736e-04	1.796863e-05	1.796863e-05
1.400000e+00	1.600000e+00	9.967200e-05	1.575953e-05	1.575953e-05
1.600000e+00	1.800000e+00	9.468840e-05	1.536049e-05	1.536049e-05
1.800000e+00	2.000000e+00	5.980320e-05	1.220728e-05	1.220728e-05
2.000000e+00	2.200000e+00	2.242620e-05	7.475400e-06	7.475400e-06
2.200000e+00	2.400000e+00	9.967200e-06	4.983600e-06	4.983600e-06
# END HISTO1D

