# BEGIN PLOT
Legend=1
LogY=0
RatioPlotYMin=0.75
RatioPlotYMax=1.25
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$
XLabel=$|y^{Z}|$
YLabel=$1/\sigma d\sigma/d|y^{Z}|$
LegendXPos=0.05
LegendYPos=0.7
RemoveOptions=1
DrawOnly=/CMS_2019_I1753680/d32-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2019_I1753680/d32-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2019_I1753680/d32-x01-y01
LegendOnly=/CMS_2019_I1753680/d32-x01-y01 //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2019_I1753680/d32-x01-y01 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2019_I1753680/d32-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2019_I1753680/d32-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d32-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d32-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.084000e-01	1.129100e-03	1.129100e-03
2.000000e-01	4.000000e-01	1.080600e-01	1.137600e-03	1.137600e-03
4.000000e-01	6.000000e-01	1.076800e-01	1.141100e-03	1.141100e-03
6.000000e-01	8.000000e-01	1.068900e-01	1.018600e-03	1.018600e-03
8.000000e-01	1.000000e+00	1.059000e-01	9.708800e-04	9.708800e-04
1.000000e+00	1.200000e+00	1.045100e-01	1.045300e-03	1.045300e-03
1.200000e+00	1.400000e+00	9.984400e-02	1.238500e-03	1.238500e-03
1.400000e+00	1.600000e+00	8.904600e-02	9.042000e-04	9.042000e-04
1.600000e+00	1.800000e+00	7.310300e-02	6.387300e-04	6.387300e-04
1.800000e+00	2.000000e+00	5.373200e-02	4.748700e-04	4.748700e-04
2.000000e+00	2.200000e+00	3.236100e-02	2.316500e-04	2.316500e-04
2.200000e+00	2.400000e+00	1.047200e-02	9.063100e-05	9.063100e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2019_I1753680/d32-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/CMS_2019_I1753680/d32-x01-y01
ScaledBy=3.40715502555366360e-04
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.396933e-01	1.542655e-02	1.542655e-02
2.000000e-01	4.000000e-01	1.243611e-01	1.455537e-02	1.455537e-02
4.000000e-01	6.000000e-01	1.362862e-01	1.523726e-02	1.523726e-02
6.000000e-01	8.000000e-01	1.005110e-01	1.308543e-02	1.308543e-02
8.000000e-01	1.000000e+00	1.090290e-01	1.362862e-02	1.362862e-02
1.000000e+00	1.200000e+00	1.107326e-01	1.373468e-02	1.373468e-02
1.200000e+00	1.400000e+00	8.347530e-02	1.192504e-02	1.192504e-02
1.400000e+00	1.600000e+00	6.984670e-02	1.090822e-02	1.090822e-02
1.600000e+00	1.800000e+00	5.621805e-02	9.786308e-03	9.786308e-03
1.800000e+00	2.000000e+00	3.918229e-02	8.170070e-03	8.170070e-03
2.000000e+00	2.200000e+00	2.555366e-02	6.597928e-03	6.597928e-03
2.200000e+00	2.400000e+00	5.110735e-03	2.950683e-03	2.950683e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2019_I1753680/d32-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/CMS_2019_I1753680/d32-x01-y01
ScaledBy=3.53356890459363996e-04
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.289752e-01	1.509541e-02	1.509541e-02
2.000000e-01	4.000000e-01	1.413427e-01	1.580260e-02	1.580260e-02
4.000000e-01	6.000000e-01	1.360424e-01	1.550347e-02	1.550347e-02
6.000000e-01	8.000000e-01	1.042403e-01	1.357093e-02	1.357093e-02
8.000000e-01	1.000000e+00	1.095407e-01	1.391167e-02	1.391167e-02
1.000000e+00	1.200000e+00	8.480565e-02	1.224064e-02	1.224064e-02
1.200000e+00	1.400000e+00	9.187280e-02	1.274046e-02	1.274046e-02
1.400000e+00	1.600000e+00	7.067140e-02	1.117413e-02	1.117413e-02
1.600000e+00	1.800000e+00	6.713780e-02	1.089119e-02	1.089119e-02
1.800000e+00	2.000000e+00	4.240283e-02	8.655440e-03	8.655440e-03
2.000000e+00	2.200000e+00	1.590106e-02	5.300354e-03	5.300354e-03
2.200000e+00	2.400000e+00	7.067140e-03	3.533569e-03	3.533569e-03
# END HISTO1D

