# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of leading electron
XLabel=$p_\perp(\mathrm{e1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{e1})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_1
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.084224e+00	2.386564e-05	1.687556e-05	1.687556e-05
1.084224e+00	1.175541e+00	6.603568e-05	2.695895e-05	2.695895e-05
1.175541e+00	1.274549e+00	2.030200e-05	1.435568e-05	1.435568e-05
1.274549e+00	1.381896e+00	2.808732e-05	1.621622e-05	1.621622e-05
1.381896e+00	1.498284e+00	1.727034e-05	1.221197e-05	1.221197e-05
1.498284e+00	1.624475e+00	2.389307e-05	1.379467e-05	1.379467e-05
1.624475e+00	1.761294e+00	1.469138e-05	1.038838e-05	1.038838e-05
1.761294e+00	1.909636e+00	6.775087e-06	6.775086e-06	6.775086e-06
1.909636e+00	2.070473e+00	1.874625e-05	1.082315e-05	1.082315e-05
2.070473e+00	2.244855e+00	2.305353e-05	1.152676e-05	1.152676e-05
2.244855e+00	2.433925e+00	3.720955e-05	1.406389e-05	1.406389e-05
2.433925e+00	2.638919e+00	1.961092e-05	9.805457e-06	9.805457e-06
2.638919e+00	2.861178e+00	1.808755e-05	9.043773e-06	9.043773e-06
2.861178e+00	3.102156e+00	8.341259e-06	5.898162e-06	5.898162e-06
3.102156e+00	3.363431e+00	7.693273e-06	5.439966e-06	5.439966e-06
3.363431e+00	3.646711e+00	7.095665e-06	5.017393e-06	5.017393e-06
3.646711e+00	3.953850e+00	3.272232e-06	3.272231e-06	3.272231e-06
3.953850e+00	4.286857e+00	1.207218e-05	6.036089e-06	6.036089e-06
4.286857e+00	4.647911e+00	1.113440e-05	5.567200e-06	5.567200e-06
4.647911e+00	5.039375e+00	5.134725e-06	3.630799e-06	3.630799e-06
5.039375e+00	5.463809e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.463809e+00	5.923990e+00	8.735954e-06	4.367977e-06	4.367977e-06
