# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between electrons
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\mathrm{e1,~e2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{e1,~e2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dR_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dR_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dR_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dR_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dR_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dR_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dR_12
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.206036e-04	2.461811e-05	2.461811e-05
2.000000e-01	4.000000e-01	3.015090e-05	1.230905e-05	1.230905e-05
4.000000e-01	6.000000e-01	8.542755e-05	2.071922e-05	2.071922e-05
6.000000e-01	8.000000e-01	1.608048e-04	2.842654e-05	2.842654e-05
8.000000e-01	1.000000e+00	2.010060e-04	3.178184e-05	3.178184e-05
1.000000e+00	1.200000e+00	1.859306e-04	3.056680e-05	3.056680e-05
1.200000e+00	1.400000e+00	1.708551e-04	2.930141e-05	2.930141e-05
1.400000e+00	1.600000e+00	1.507545e-04	2.752388e-05	2.752388e-05
1.600000e+00	1.800000e+00	1.909557e-04	3.097710e-05	3.097710e-05
1.800000e+00	2.000000e+00	2.361821e-04	3.445069e-05	3.445069e-05
2.000000e+00	2.200000e+00	1.809054e-04	3.015090e-05	3.015090e-05
2.200000e+00	2.400000e+00	1.909557e-04	3.097710e-05	3.097710e-05
2.400000e+00	2.600000e+00	2.261317e-04	3.370973e-05	3.370973e-05
2.600000e+00	2.800000e+00	2.361821e-04	3.445069e-05	3.445069e-05
2.800000e+00	3.000000e+00	2.160814e-04	3.295211e-05	3.295211e-05
3.000000e+00	3.200000e+00	1.708551e-04	2.930141e-05	2.930141e-05
3.200000e+00	3.400000e+00	1.407042e-04	2.659060e-05	2.659060e-05
3.400000e+00	3.600000e+00	7.537725e-05	1.946232e-05	1.946232e-05
3.600000e+00	3.800000e+00	5.025150e-05	1.589092e-05	1.589092e-05
3.800000e+00	4.000000e+00	2.512575e-05	1.123658e-05	1.123658e-05
4.000000e+00	4.200000e+00	3.015090e-05	1.230905e-05	1.230905e-05
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	5.025150e-06	5.025149e-06	5.025149e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dR_12
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dR_12
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.967200e-05	2.228734e-05	2.228734e-05
2.000000e-01	4.000000e-01	4.983600e-05	1.575953e-05	1.575953e-05
4.000000e-01	6.000000e-01	8.970480e-05	2.114362e-05	2.114362e-05
6.000000e-01	8.000000e-01	1.893768e-04	3.072097e-05	3.072097e-05
8.000000e-01	1.000000e+00	1.544916e-04	2.774751e-05	2.774751e-05
1.000000e+00	1.200000e+00	1.943604e-04	3.112257e-05	3.112257e-05
1.200000e+00	1.400000e+00	1.644588e-04	2.862860e-05	2.862860e-05
1.400000e+00	1.600000e+00	2.392128e-04	3.452739e-05	3.452739e-05
1.600000e+00	1.800000e+00	2.093112e-04	3.229742e-05	3.229742e-05
1.800000e+00	2.000000e+00	1.544916e-04	2.774751e-05	2.774751e-05
2.000000e+00	2.200000e+00	2.342292e-04	3.416584e-05	3.416584e-05
2.200000e+00	2.400000e+00	1.295736e-04	2.541147e-05	2.541147e-05
2.400000e+00	2.600000e+00	2.840652e-04	3.762535e-05	3.762535e-05
2.600000e+00	2.800000e+00	2.691144e-04	3.662183e-05	3.662183e-05
2.800000e+00	3.000000e+00	2.840652e-04	3.762535e-05	3.762535e-05
3.000000e+00	3.200000e+00	2.043276e-04	3.191061e-05	3.191061e-05
3.200000e+00	3.400000e+00	1.644588e-04	2.862860e-05	2.862860e-05
3.400000e+00	3.600000e+00	6.478680e-05	1.796863e-05	1.796863e-05
3.600000e+00	3.800000e+00	4.983600e-05	1.575953e-05	1.575953e-05
3.800000e+00	4.000000e+00	2.990160e-05	1.220728e-05	1.220728e-05
4.000000e+00	4.200000e+00	9.967200e-06	7.047876e-06	7.047876e-06
4.200000e+00	4.400000e+00	4.983600e-06	4.983600e-06	4.983600e-06
4.400000e+00	4.600000e+00	4.983600e-06	4.983600e-06	4.983600e-06
4.600000e+00	4.800000e+00	1.993440e-05	9.967200e-06	9.967200e-06
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

