# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between electrons
LegendYPos=0.5
LegendXPos=0.30
XLabel=$\Delta\eta(\mathrm{e1,~e2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\mathrm{e1,~e2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_deta_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_deta_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_deta_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_deta_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_deta_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_deta_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_deta_12
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.512575e-06	2.512575e-06	2.512575e-06
-4.600000e+00	-4.200000e+00	2.512575e-06	2.512575e-06	2.512575e-06
-4.200000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.000000e+00	1.256288e-05	5.618289e-06	5.618289e-06
-3.000000e+00	-2.600000e+00	2.763833e-05	8.333269e-06	8.333269e-06
-2.600000e+00	-2.200000e+00	2.763833e-05	8.333269e-06	8.333269e-06
-2.200000e+00	-1.800000e+00	5.276407e-05	1.151406e-05	1.151406e-05
-1.800000e+00	-1.400000e+00	6.532695e-05	1.281167e-05	1.281167e-05
-1.400000e+00	-1.000000e+00	1.130659e-04	1.685487e-05	1.685487e-05
-1.000000e+00	-6.000000e-01	1.557796e-04	1.978404e-05	1.978404e-05
-6.000000e-01	-2.000000e-01	1.959809e-04	2.219046e-05	2.219046e-05
-2.000000e-01	2.000000e-01	2.537700e-04	2.525106e-05	2.525106e-05
2.000000e-01	6.000000e-01	2.311569e-04	2.409977e-05	2.409977e-05
6.000000e-01	1.000000e+00	1.407042e-04	1.880239e-05	1.880239e-05
1.000000e+00	1.400000e+00	1.005030e-04	1.589092e-05	1.589092e-05
1.400000e+00	1.800000e+00	5.025150e-05	1.123658e-05	1.123658e-05
1.800000e+00	2.200000e+00	4.773892e-05	1.095206e-05	1.095206e-05
2.200000e+00	2.600000e+00	2.010060e-05	7.106635e-06	7.106635e-06
2.600000e+00	3.000000e+00	3.015090e-05	8.703814e-06	8.703814e-06
3.000000e+00	3.400000e+00	1.256288e-05	5.618289e-06	5.618289e-06
3.400000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_deta_12
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_deta_12
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	2.491800e-06	2.491800e-06	2.491800e-06
-4.200000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.400000e+00	2.491800e-06	2.491800e-06	2.491800e-06
-3.400000e+00	-3.000000e+00	7.475400e-06	4.315924e-06	4.315924e-06
-3.000000e+00	-2.600000e+00	2.242620e-05	7.475400e-06	7.475400e-06
-2.600000e+00	-2.200000e+00	2.990160e-05	8.631849e-06	8.631849e-06
-2.200000e+00	-1.800000e+00	5.731140e-05	1.195025e-05	1.195025e-05
-1.800000e+00	-1.400000e+00	6.727860e-05	1.294777e-05	1.294777e-05
-1.400000e+00	-1.000000e+00	1.220982e-04	1.744260e-05	1.744260e-05
-1.000000e+00	-6.000000e-01	1.819014e-04	2.128995e-05	2.128995e-05
-6.000000e-01	-2.000000e-01	2.043276e-04	2.256421e-05	2.256421e-05
-2.000000e-01	2.000000e-01	2.765897e-04	2.625274e-05	2.625274e-05
2.000000e-01	6.000000e-01	2.142948e-04	2.310800e-05	2.310800e-05
6.000000e-01	1.000000e+00	1.669506e-04	2.039626e-05	2.039626e-05
1.000000e+00	1.400000e+00	1.046556e-04	1.614871e-05	1.614871e-05
1.400000e+00	1.800000e+00	4.983600e-05	1.114367e-05	1.114367e-05
1.800000e+00	2.200000e+00	6.727860e-05	1.294777e-05	1.294777e-05
2.200000e+00	2.600000e+00	2.491800e-05	7.879764e-06	7.879764e-06
2.600000e+00	3.000000e+00	2.491800e-05	7.879764e-06	7.879764e-06
3.000000e+00	3.400000e+00	7.475400e-06	4.315924e-06	4.315924e-06
3.400000e+00	3.800000e+00	4.983600e-06	3.523938e-06	3.523938e-06
3.800000e+00	4.200000e+00	2.491800e-06	2.491800e-06	2.491800e-06
4.200000e+00	4.600000e+00	7.475400e-06	4.315924e-06	4.315924e-06
4.600000e+00	5.000000e+00	2.491800e-06	2.491800e-06	2.491800e-06
# END HISTO1D

