# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between electrons
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{e1,~e2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{e1,~e2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dphi_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dphi_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dphi_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dphi_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dphi_12
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	3.279088e-04	5.121075e-05	5.121075e-05
1.256637e-01	2.513274e-01	2.239377e-04	4.232025e-05	4.232025e-05
2.513274e-01	3.769911e-01	1.679533e-04	3.665041e-05	3.665041e-05
3.769911e-01	5.026548e-01	1.839488e-04	3.835598e-05	3.835598e-05
5.026548e-01	6.283185e-01	1.919466e-04	3.918094e-05	3.918094e-05
6.283185e-01	7.539822e-01	1.519577e-04	3.486149e-05	3.486149e-05
7.539822e-01	8.796459e-01	1.999444e-04	3.998887e-05	3.998887e-05
8.796459e-01	1.005310e+00	2.159392e-04	4.155752e-05	4.155752e-05
1.005310e+00	1.130973e+00	1.679542e-04	3.665061e-05	3.665061e-05
1.130973e+00	1.256637e+00	1.119686e-04	2.992486e-05	2.992486e-05
1.256637e+00	1.382301e+00	2.079417e-04	4.078072e-05	4.078072e-05
1.382301e+00	1.507964e+00	1.839498e-04	3.835619e-05	3.835619e-05
1.507964e+00	1.633628e+00	1.599551e-04	3.576706e-05	3.576706e-05
1.633628e+00	1.759292e+00	1.519574e-04	3.486141e-05	3.486141e-05
1.759292e+00	1.884956e+00	1.999439e-04	3.998878e-05	3.998878e-05
1.884956e+00	2.010619e+00	1.759520e-04	3.751310e-05	3.751310e-05
2.010619e+00	2.136283e+00	2.559282e-04	4.524214e-05	4.524214e-05
2.136283e+00	2.261947e+00	1.679529e-04	3.665032e-05	3.665032e-05
2.261947e+00	2.387610e+00	2.079433e-04	4.078104e-05	4.078104e-05
2.387610e+00	2.513274e+00	2.559282e-04	4.524214e-05	4.524214e-05
2.513274e+00	2.638938e+00	1.919461e-04	3.918084e-05	3.918084e-05
2.638938e+00	2.764602e+00	1.759506e-04	3.751280e-05	3.751280e-05
2.764602e+00	2.890265e+00	2.719259e-04	4.663490e-05	4.663490e-05
2.890265e+00	3.015929e+00	1.999439e-04	3.998878e-05	3.998878e-05
3.015929e+00	3.141593e+00	2.239372e-04	4.232015e-05	4.232015e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dphi_12
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13000/electrons_dphi_12
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	2.538127e-04	4.486816e-05	4.486816e-05
1.256637e-01	2.513274e-01	1.507013e-04	3.457324e-05	3.457324e-05
2.513274e-01	3.769911e-01	2.458810e-04	4.416153e-05	4.416153e-05
3.769911e-01	5.026548e-01	1.744962e-04	3.720272e-05	3.720272e-05
5.026548e-01	6.283185e-01	1.982912e-04	3.965823e-05	3.965823e-05
6.283185e-01	7.539822e-01	1.744962e-04	3.720272e-05	3.720272e-05
7.539822e-01	8.796459e-01	1.586329e-04	3.547140e-05	3.547140e-05
8.796459e-01	1.005310e+00	1.903589e-04	3.885685e-05	3.885685e-05
1.005310e+00	1.130973e+00	1.665655e-04	3.634757e-05	3.634757e-05
1.130973e+00	1.256637e+00	2.538121e-04	4.486806e-05	4.486806e-05
1.256637e+00	1.382301e+00	1.982907e-04	3.965814e-05	3.965814e-05
1.382301e+00	1.507964e+00	1.982923e-04	3.965845e-05	3.965845e-05
1.507964e+00	1.633628e+00	2.300172e-04	4.271312e-05	4.271312e-05
1.633628e+00	1.759292e+00	2.776070e-04	4.692414e-05	4.692414e-05
1.759292e+00	1.884956e+00	1.507009e-04	3.457316e-05	3.457316e-05
1.884956e+00	2.010619e+00	1.903606e-04	3.885719e-05	3.885719e-05
2.010619e+00	2.136283e+00	2.220856e-04	4.197023e-05	4.197023e-05
2.136283e+00	2.261947e+00	1.665642e-04	3.634729e-05	3.634729e-05
2.261947e+00	2.387610e+00	1.982923e-04	3.965845e-05	3.965845e-05
2.387610e+00	2.513274e+00	2.617437e-04	4.556373e-05	4.556373e-05
2.513274e+00	2.638938e+00	3.014018e-04	4.889383e-05	4.889383e-05
2.638938e+00	2.764602e+00	2.696753e-04	4.624894e-05	4.624894e-05
2.764602e+00	2.890265e+00	2.458824e-04	4.416178e-05	4.416178e-05
2.890265e+00	3.015929e+00	1.903591e-04	3.885688e-05	3.885688e-05
3.015929e+00	3.141593e+00	2.538121e-04	4.486806e-05	4.486806e-05
# END HISTO1D

