# BEGIN PLOT
Legend=1
LogY=1
Title=Scalar sum of jet transverse momenta ($H_\mathrm{T}$)
XLabel=$H_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}H_\mathrm{T}$ [pb/GeV]
LogX=1
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_HT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_HT
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_HT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_HT
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_HT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_HT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_HT
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.245265e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.245265e+01	2.520608e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.520608e+01	2.829717e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.829717e+01	3.176733e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.176733e+01	3.566304e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.566304e+01	4.003649e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.003649e+01	4.494627e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.494627e+01	5.045815e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.045815e+01	5.664597e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.664597e+01	6.359261e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.359261e+01	7.139114e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.139114e+01	8.014603e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.014603e+01	8.997455e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.997455e+01	1.010084e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.010084e+02	1.133953e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.133953e+02	1.273013e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.273013e+02	1.429125e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.429125e+02	1.604383e+02	2.867287e-07	1.282290e-07	1.282290e-07
1.604383e+02	1.801133e+02	3.064895e-07	1.251238e-07	1.251238e-07
1.801133e+02	2.022010e+02	2.275090e-07	1.017451e-07	1.017451e-07
2.022010e+02	2.269975e+02	4.458424e-07	1.344265e-07	1.344265e-07
2.269975e+02	2.548348e+02	9.025929e-07	1.805186e-07	1.805186e-07
2.548348e+02	2.860858e+02	1.093438e-06	1.875230e-07	1.875230e-07
2.860858e+02	3.211693e+02	1.747455e-06	2.237387e-07	2.237387e-07
3.211693e+02	3.605551e+02	1.888300e-06	2.195105e-07	2.195105e-07
3.605551e+02	4.047710e+02	1.818405e-06	2.033038e-07	2.033038e-07
4.047710e+02	4.544091e+02	1.741255e-06	1.877643e-07	1.877643e-07
4.544091e+02	5.101345e+02	1.767469e-06	1.785414e-07	1.785414e-07
5.101345e+02	5.726936e+02	1.686856e-06	1.646203e-07	1.646203e-07
5.726936e+02	6.429246e+02	1.330862e-06	1.380040e-07	1.380040e-07
6.429246e+02	7.217681e+02	1.007025e-06	1.132992e-07	1.132992e-07
7.217681e+02	8.102804e+02	5.904440e-07	8.187986e-08	8.187986e-08
8.102804e+02	9.096473e+02	7.383464e-07	8.641691e-08	8.641691e-08
9.096473e+02	1.021200e+03	3.783975e-07	5.838800e-08	5.838800e-08
