# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of fourth jet
XLabel=$\eta(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~4})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_4
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_4
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_4
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-3.800000e+00	1.256287e-05	5.618289e-06	5.618289e-06
-3.800000e+00	-3.400000e+00	4.020120e-05	1.005030e-05	1.005030e-05
-3.400000e+00	-3.000000e+00	4.522635e-05	1.065995e-05	1.065995e-05
-3.000000e+00	-2.600000e+00	6.030180e-05	1.230905e-05	1.230905e-05
-2.600000e+00	-2.200000e+00	9.296528e-05	1.528340e-05	1.528340e-05
-2.200000e+00	-1.800000e+00	1.281413e-04	1.794337e-05	1.794337e-05
-1.800000e+00	-1.400000e+00	1.834180e-04	2.146745e-05	2.146745e-05
-1.400000e+00	-1.000000e+00	1.733677e-04	2.087102e-05	2.087102e-05
-1.000000e+00	-6.000000e-01	2.286443e-04	2.396844e-05	2.396844e-05
-6.000000e-01	-2.000000e-01	1.984934e-04	2.233226e-05	2.233226e-05
-2.000000e-01	2.000000e-01	1.809054e-04	2.131991e-05	2.131991e-05
2.000000e-01	6.000000e-01	2.010060e-04	2.247315e-05	2.247315e-05
6.000000e-01	1.000000e+00	2.110563e-04	2.302813e-05	2.302813e-05
1.000000e+00	1.400000e+00	2.060312e-04	2.275233e-05	2.275233e-05
1.400000e+00	1.800000e+00	1.306539e-04	1.811844e-05	1.811844e-05
1.800000e+00	2.200000e+00	1.507545e-04	1.946232e-05	1.946232e-05
2.200000e+00	2.600000e+00	9.296528e-05	1.528340e-05	1.528340e-05
