# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity $+/-$ ratio of first jet
XLabel=$|\eta(\mathrm{jet~1}|$
YLabel=$\eta(\mathrm{jet~1})_+/\eta(\mathrm{jet~1})_-$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_pmratio_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_pmratio_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_pmratio_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_pmratio_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_pmratio_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_pmratio_1
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.17162171355953412, dn: 0.17162171355953412}}, 1: {"": {up: 0.15946125454259294, dn: 0.15946125454259294}}, 2: {"": {up: 0.34481149673265016, dn: 0.34481149673265016}}, 3: {"": {up: 0.16143491616212857, dn: 0.16143491616212857}}, 4: {"": {up: 0.1652085288400772, dn: 0.1652085288400772}}, 5: {"": {up: 0.2183061883008206, dn: 0.2183061883008206}}, 6: {"": {up: 0.28454182389442267, dn: 0.28454182389442267}}, 7: {"": {up: 0.16626244448736599, dn: 0.16626244448736599}}, 8: {"": {up: 0.31716623651025011, dn: 0.31716623651025011}}, 9: {"": {up: 0.46004370622823609, dn: 0.46004370622823609}}, 10: {"": {up: 0.38316576047449752, dn: 0.38316576047449752}}, 11: {"": {up: 0.20169200460859146, dn: 0.20169200460859146}}, 12: {"": {up: 0.26411150312210313, dn: 0.26411150312210313}}, 13: {"": {up: 0.58382915436065841, dn: 0.58382915436065841}}, 14: {"": {up: 0.36099238314107274, dn: 0.36099238314107274}}, 15: {"": {up: 0.33071891388307373, dn: 0.33071891388307373}}, 16: {"": {up: 0.3042903097250923, dn: 0.3042903097250923}}, 17: {"": {up: 0.72663608498339805, dn: 0.72663608498339805}}, 18: {"": {up: 2.4494897427831779, dn: 2.4494897427831779}}, 19: {"": {up: 2.0916500663351889, dn: 2.0916500663351889}}, 20: {"": {up: 1.4142135623730951, dn: 1.4142135623730951}}, 21: {"": {up: 2.4494897427831779, dn: 2.4494897427831779}}, 22: {"": {up: .nan, dn: .nan}}, 23: {"": {up: .nan, dn: .nan}}, 24: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_pmratio_1
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	7.073171e-01	1.716217e-01	1.716217e-01
2.000000e-01	4.000000e-01	7.021277e-01	1.594613e-01	1.594613e-01
4.000000e-01	6.000000e-01	1.483871e+00	3.448115e-01	3.448115e-01
6.000000e-01	8.000000e-01	6.818182e-01	1.614349e-01	1.614349e-01
8.000000e-01	1.000000e+00	7.045455e-01	1.652085e-01	1.652085e-01
1.000000e+00	1.200000e+00	9.189189e-01	2.183062e-01	2.183062e-01
1.200000e+00	1.400000e+00	1.161290e+00	2.845418e-01	2.845418e-01
1.400000e+00	1.600000e+00	7.446809e-01	1.662624e-01	1.662624e-01
1.600000e+00	1.800000e+00	1.222222e+00	3.171662e-01	3.171662e-01
1.800000e+00	2.000000e+00	1.666667e+00	4.600437e-01	4.600437e-01
2.000000e+00	2.200000e+00	1.480000e+00	3.831658e-01	3.831658e-01
2.200000e+00	2.400000e+00	6.785714e-01	2.016920e-01	2.016920e-01
2.400000e+00	2.600000e+00	8.095238e-01	2.641115e-01	2.641115e-01
2.600000e+00	2.800000e+00	1.583333e+00	5.838292e-01	5.838292e-01
2.800000e+00	3.000000e+00	1.111111e+00	3.609924e-01	3.609924e-01
3.000000e+00	3.200000e+00	7.500000e-01	3.307189e-01	3.307189e-01
3.200000e+00	3.400000e+00	6.666667e-01	3.042903e-01	3.042903e-01
3.400000e+00	3.600000e+00	1.200000e+00	7.266361e-01	7.266361e-01
3.600000e+00	3.800000e+00	3.000000e+00	2.449490e+00	2.449490e+00
3.800000e+00	4.000000e+00	2.500000e+00	2.091650e+00	2.091650e+00
4.000000e+00	4.200000e+00	1.000000e+00	1.414214e+00	1.414214e+00
4.200000e+00	4.400000e+00	2.000000e+00	2.449490e+00	2.449490e+00
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_eta_pmratio_1
ErrorBars=1
