# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of second jet
XLabel=$m(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~2})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_2
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	4.166877e-05	2.083439e-05	2.083439e-05
1.096478e+00	1.202264e+00	2.850179e-05	1.645551e-05	1.645551e-05
1.202264e+00	1.318257e+00	3.465830e-05	1.732915e-05	1.732915e-05
1.318257e+00	1.445440e+00	3.951118e-05	1.766994e-05	1.766994e-05
1.445440e+00	1.584893e+00	3.603472e-05	1.611522e-05	1.611522e-05
1.584893e+00	1.737801e+00	3.943665e-05	1.609995e-05	1.609995e-05
1.737801e+00	1.905461e+00	2.397781e-05	1.198891e-05	1.198891e-05
1.905461e+00	2.089296e+00	3.280213e-05	1.339141e-05	1.339141e-05
2.089296e+00	2.290868e+00	2.991576e-05	1.221306e-05	1.221306e-05
2.290868e+00	2.511886e+00	2.728366e-05	1.113851e-05	1.113851e-05
2.511886e+00	2.754229e+00	4.147139e-05	1.311440e-05	1.311440e-05
2.754229e+00	3.019952e+00	2.269348e-05	9.264575e-06	9.264575e-06
3.019952e+00	3.311311e+00	5.519129e-05	1.379782e-05	1.379782e-05
3.311311e+00	3.630781e+00	4.404301e-05	1.177099e-05	1.177099e-05
3.630781e+00	3.981072e+00	4.590606e-05	1.147651e-05	1.147651e-05
3.981072e+00	4.365158e+00	4.448355e-05	1.078885e-05	1.078885e-05
4.365158e+00	4.786301e+00	5.250155e-05	1.119337e-05	1.119337e-05
4.786301e+00	5.248075e+00	4.352909e-05	9.733400e-06	9.733400e-06
5.248075e+00	5.754399e+00	4.366899e-05	9.310262e-06	9.310262e-06
5.754399e+00	6.309573e+00	5.068832e-05	9.579193e-06	9.579193e-06
6.309573e+00	6.918310e+00	4.787925e-05	8.890953e-06	8.890953e-06
6.918310e+00	7.585776e+00	6.022958e-05	9.523133e-06	9.523133e-06
7.585776e+00	8.317638e+00	7.003579e-05	9.806972e-06	9.806972e-06
8.317638e+00	9.120108e+00	5.635893e-05	8.401493e-06	8.401493e-06
9.120108e+00	1.000000e+01	5.025767e-05	7.576628e-06	7.576628e-06
1.000000e+01	1.096478e+01	5.000253e-05	7.217243e-06	7.217243e-06
1.096478e+01	1.202264e+01	5.035316e-05	6.916538e-06	6.916538e-06
1.202264e+01	1.318257e+01	5.285390e-05	6.767249e-06	6.767249e-06
1.318257e+01	1.445440e+01	3.872095e-05	5.531565e-06	5.531565e-06
1.445440e+01	1.584893e+01	3.819680e-05	5.246735e-06	5.246735e-06
1.584893e+01	1.737801e+01	2.497655e-05	4.051731e-06	4.051731e-06
1.737801e+01	1.905461e+01	1.258835e-05	2.747003e-06	2.747003e-06
1.905461e+01	2.089296e+01	2.296149e-05	3.543035e-06	3.543035e-06
2.089296e+01	2.290868e+01	9.473325e-06	2.173330e-06	2.173330e-06
2.290868e+01	2.511886e+01	8.185098e-06	1.929246e-06	1.929246e-06
2.511886e+01	2.754229e+01	6.635422e-06	1.658855e-06	1.658855e-06
2.754229e+01	3.019952e+01	6.808044e-06	1.604672e-06	1.604672e-06
3.019952e+01	3.311311e+01	2.759565e-06	9.756534e-07	9.756534e-07
3.311311e+01	3.630781e+01	3.460522e-06	1.043387e-06	1.043387e-06
3.630781e+01	3.981072e+01	1.434564e-06	6.415567e-07	6.415567e-07
3.981072e+01	4.365158e+01	1.046672e-06	5.233359e-07	5.233359e-07
4.365158e+01	4.786301e+01	9.545736e-07	4.772868e-07	4.772868e-07
4.786301e+01	5.248075e+01	8.705817e-07	4.352908e-07	4.352908e-07
5.248075e+01	5.754399e+01	1.984954e-07	1.984954e-07	1.984954e-07
5.754399e+01	6.309573e+01	1.810297e-07	1.810297e-07	1.810297e-07
6.309573e+01	6.918310e+01	1.651009e-07	1.651008e-07	1.651008e-07
6.918310e+01	7.585776e+01	3.011479e-07	2.129438e-07	2.129438e-07
7.585776e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	9.120108e+01	2.504841e-07	1.771190e-07	1.771190e-07
9.120108e+01	1.000000e+02	1.142220e-07	1.142220e-07	1.142220e-07
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_2
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	2.066212e-05	1.461033e-05	1.461033e-05
1.096478e+00	1.202264e+00	8.479837e-05	2.826612e-05	2.826612e-05
1.202264e+00	1.318257e+00	3.437173e-05	1.718586e-05	1.718586e-05
1.318257e+00	1.445440e+00	4.702138e-05	1.919640e-05	1.919640e-05
1.445440e+00	1.584893e+00	3.573677e-05	1.598197e-05	1.598197e-05
1.584893e+00	1.737801e+00	1.303686e-05	9.218452e-06	9.218452e-06
1.737801e+00	1.905461e+00	5.944888e-06	5.944889e-06	5.944889e-06
1.905461e+00	2.089296e+00	7.590546e-05	2.028659e-05	2.028659e-05
2.089296e+00	2.290868e+00	2.472367e-05	1.105676e-05	1.105676e-05
2.290868e+00	2.511886e+00	3.156775e-05	1.193149e-05	1.193149e-05
2.511886e+00	2.754229e+00	1.645139e-05	8.225697e-06	8.225697e-06
2.754229e+00	3.019952e+00	7.126850e-05	1.635011e-05	1.635011e-05
3.019952e+00	3.311311e+00	1.710467e-05	7.649442e-06	7.649442e-06
3.311311e+00	3.630781e+00	6.239835e-05	1.395270e-05	1.395270e-05
3.630781e+00	3.981072e+00	4.837190e-05	1.173191e-05	1.173191e-05
3.981072e+00	4.365158e+00	3.633061e-05	9.709765e-06	9.709765e-06
4.365158e+00	4.786301e+00	5.206745e-05	1.110082e-05	1.110082e-05
4.786301e+00	5.248075e+00	3.885225e-05	9.157563e-06	9.157563e-06
5.248075e+00	5.754399e+00	4.133938e-05	9.020993e-06	9.020993e-06
5.754399e+00	6.309573e+00	4.488323e-05	8.976645e-06	8.976645e-06
6.309573e+00	6.918310e+00	5.075808e-05	9.116419e-06	9.116419e-06
6.918310e+00	7.585776e+00	4.629198e-05	8.314284e-06	8.314284e-06
7.585776e+00	8.317638e+00	5.856153e-05	8.930550e-06	8.930550e-06
8.317638e+00	9.120108e+00	5.216674e-05	8.049502e-06	8.049502e-06
9.120108e+00	1.000000e+01	5.210767e-05	7.682856e-06	7.682856e-06
1.000000e+01	1.096478e+01	4.855598e-05	7.082618e-06	7.082618e-06
1.096478e+01	1.202264e+01	3.580375e-05	5.808136e-06	5.808136e-06
1.202264e+01	1.318257e+01	4.983901e-05	6.544182e-06	6.544182e-06
1.318257e+01	1.445440e+01	3.448234e-05	5.198409e-06	5.198409e-06
1.445440e+01	1.584893e+01	3.859571e-05	5.252211e-06	5.252211e-06
1.584893e+01	1.737801e+01	2.802925e-05	4.274420e-06	4.274420e-06
1.737801e+01	1.905461e+01	2.080711e-05	3.517044e-06	3.517044e-06
1.905461e+01	2.089296e+01	1.626546e-05	2.969652e-06	2.969652e-06
2.089296e+01	2.290868e+01	1.285631e-05	2.521330e-06	2.521330e-06
2.290868e+01	2.511886e+01	9.470324e-06	2.066594e-06	2.066594e-06
2.511886e+01	2.754229e+01	9.048266e-06	1.929097e-06	1.929097e-06
2.754229e+01	3.019952e+01	6.751753e-06	1.591403e-06	1.591403e-06
3.019952e+01	3.311311e+01	3.078841e-06	1.026280e-06	1.026280e-06
3.311311e+01	3.630781e+01	2.495934e-06	8.824459e-07	8.824459e-07
3.630781e+01	3.981072e+01	1.707243e-06	6.969792e-07	6.969792e-07
3.981072e+01	4.365158e+01	2.076035e-06	7.339892e-07	7.339892e-07
4.365158e+01	4.786301e+01	7.100106e-07	4.099248e-07	4.099248e-07
4.786301e+01	5.248075e+01	4.316917e-07	3.052522e-07	3.052522e-07
5.248075e+01	5.754399e+01	7.874168e-07	3.937084e-07	3.937084e-07
5.754399e+01	6.309573e+01	5.385987e-07	3.109601e-07	3.109601e-07
6.309573e+01	6.918310e+01	1.637357e-07	1.637357e-07	1.637357e-07
6.918310e+01	7.585776e+01	2.986579e-07	2.111831e-07	2.111831e-07
7.585776e+01	8.317638e+01	2.723792e-07	1.926012e-07	1.926012e-07
8.317638e+01	9.120108e+01	1.242065e-07	1.242065e-07	1.242065e-07
9.120108e+01	1.000000e+02	2.265551e-07	1.601987e-07	1.601987e-07
# END HISTO1D

