# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of third jet
XLabel=$m(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~3})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_3
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_3
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_3
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	1.140882e-04	2.767046e-05	2.767046e-05
1.149757e+00	1.321941e+00	4.669563e-05	1.650940e-05	1.650940e-05
1.321941e+00	1.519911e+00	6.599682e-05	1.830422e-05	1.830422e-05
1.519911e+00	1.747528e+00	6.623165e-05	1.710094e-05	1.710094e-05
1.747528e+00	2.009233e+00	6.144506e-05	1.536126e-05	1.536126e-05
2.009233e+00	2.310130e+00	8.016271e-05	1.636315e-05	1.636315e-05
2.310130e+00	2.656088e+00	7.843672e-05	1.509515e-05	1.509515e-05
2.656088e+00	3.053856e+00	7.327354e-05	1.360655e-05	1.360655e-05
3.053856e+00	3.511192e+00	7.691511e-05	1.300103e-05	1.300103e-05
3.511192e+00	4.037017e+00	6.880822e-05	1.146804e-05	1.146804e-05
4.037017e+00	4.641589e+00	6.815769e-05	1.064444e-05	1.064444e-05
4.641589e+00	5.336699e+00	6.506359e-05	9.699107e-06	9.699107e-06
5.336699e+00	6.135907e+00	6.413416e-05	8.980578e-06	8.980578e-06
6.135907e+00	7.054802e+00	5.687435e-05	7.887054e-06	7.887054e-06
7.054802e+00	8.111308e+00	6.944323e-05	8.127716e-06	8.127716e-06
8.111308e+00	9.326033e+00	7.363615e-05	7.805416e-06	7.805416e-06
9.326033e+00	1.072267e+01	4.461564e-05	5.666193e-06	5.666193e-06
1.072267e+01	1.232847e+01	4.756650e-05	5.456251e-06	5.456251e-06
1.232847e+01	1.417474e+01	3.592756e-05	4.422377e-06	4.422377e-06
1.417474e+01	1.629751e+01	1.799118e-05	2.918555e-06	2.918555e-06
1.629751e+01	1.873817e+01	1.605966e-05	2.571604e-06	2.571604e-06
1.873817e+01	2.154435e+01	5.730381e-06	1.432595e-06	1.432595e-06
2.154435e+01	2.477076e+01	2.803509e-06	9.345031e-07	9.345031e-07
2.477076e+01	2.848036e+01	1.896487e-06	7.168049e-07	7.168049e-07
2.848036e+01	3.274549e+01	1.649471e-06	6.234416e-07	6.234416e-07
3.274549e+01	3.764936e+01	8.197852e-07	4.098926e-07	4.098926e-07
3.764936e+01	4.328761e+01	8.912606e-07	3.985839e-07	3.985839e-07
4.328761e+01	4.977024e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.977024e+01	5.722368e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.722368e+01	6.579332e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.579332e+01	7.564633e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.564633e+01	8.697490e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.697490e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_3
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_3
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	7.321140e-05	2.207407e-05	2.207407e-05
1.149757e+00	1.321941e+00	5.209822e-05	1.736607e-05	1.736607e-05
1.321941e+00	1.519911e+00	7.048583e-05	1.883813e-05	1.883813e-05
1.519911e+00	1.747528e+00	4.378935e-05	1.384741e-05	1.384741e-05
1.747528e+00	2.009233e+00	8.759695e-05	1.826523e-05	1.826523e-05
2.009233e+00	2.310130e+00	6.956241e-05	1.517976e-05	1.517976e-05
2.310130e+00	2.656088e+00	4.321565e-05	1.115823e-05	1.115823e-05
2.656088e+00	3.053856e+00	8.269081e-05	1.439462e-05	1.439462e-05
3.053856e+00	3.511192e+00	8.281736e-05	1.343475e-05	1.343475e-05
3.511192e+00	4.037017e+00	5.497053e-05	1.020777e-05	1.020777e-05
4.037017e+00	4.641589e+00	6.264822e-05	1.016288e-05	1.016288e-05
4.641589e+00	5.336699e+00	7.026122e-05	1.003732e-05	1.003732e-05
5.336699e+00	6.135907e+00	6.235673e-05	8.818574e-06	8.818574e-06
6.135907e+00	7.054802e+00	7.267451e-05	8.878604e-06	8.878604e-06
7.054802e+00	8.111308e+00	5.094423e-05	6.932631e-06	6.932631e-06
8.111308e+00	9.326033e+00	6.071932e-05	7.058478e-06	7.058478e-06
9.326033e+00	1.072267e+01	5.138332e-05	6.055582e-06	6.055582e-06
1.072267e+01	1.232847e+01	4.717320e-05	5.411137e-06	5.411137e-06
1.232847e+01	1.417474e+01	2.969208e-05	4.003679e-06	4.003679e-06
1.417474e+01	1.629751e+01	2.347687e-05	3.320131e-06	3.320131e-06
1.629751e+01	1.873817e+01	1.511011e-05	2.484087e-06	2.484087e-06
1.873817e+01	2.154435e+01	4.617437e-06	1.280647e-06	1.280647e-06
2.154435e+01	2.477076e+01	4.324956e-06	1.155893e-06	1.155893e-06
2.477076e+01	2.848036e+01	2.149493e-06	7.599606e-07	7.599606e-07
2.848036e+01	3.274549e+01	1.402142e-06	5.724223e-07	5.724223e-07
3.274549e+01	3.764936e+01	4.065034e-07	2.874414e-07	2.874414e-07
3.764936e+01	4.328761e+01	1.767783e-07	1.767783e-07	1.767783e-07
4.328761e+01	4.977024e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.977024e+01	5.722368e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.722368e+01	6.579332e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.579332e+01	7.564633e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.564633e+01	8.697490e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.697490e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

