# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of fourth jet
XLabel=$m(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~4})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_4
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_4
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_4
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	1.142847e-04	2.383002e-05	2.383002e-05
1.202264e+00	1.445440e+00	7.025985e-05	1.704052e-05	1.704052e-05
1.445440e+00	1.737801e+00	6.187740e-05	1.458465e-05	1.458465e-05
1.737801e+00	2.089296e+00	7.720113e-05	1.485736e-05	1.485736e-05
2.089296e+00	2.511886e+00	9.750877e-05	1.522831e-05	1.522831e-05
2.511886e+00	3.019952e+00	8.110409e-05	1.266633e-05	1.266633e-05
3.019952e+00	3.630781e+00	1.069480e-04	1.326527e-05	1.326527e-05
3.630781e+00	4.365158e+00	8.758706e-05	1.094838e-05	1.094838e-05
4.365158e+00	5.248075e+00	7.171330e-05	9.035026e-06	9.035026e-06
5.248075e+00	6.309573e+00	7.763789e-05	8.573670e-06	8.573670e-06
6.309573e+00	7.585776e+00	9.056435e-05	8.445166e-06	8.445166e-06
7.585776e+00	9.120108e+00	6.091758e-05	6.316859e-06	6.316859e-06
9.120108e+00	1.096478e+01	4.195180e-05	4.780851e-06	4.780851e-06
1.096478e+01	1.318257e+01	2.673687e-05	3.480844e-06	3.480844e-06
1.318257e+01	1.584893e+01	9.046310e-06	1.846570e-06	1.846570e-06
1.584893e+01	1.905461e+01	6.897338e-06	1.470518e-06	1.470518e-06
1.905461e+01	2.290868e+01	1.825398e-06	6.899354e-07	6.899354e-07
2.290868e+01	2.754229e+01	8.676000e-07	4.338000e-07	4.338000e-07
2.754229e+01	3.311311e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e+01	3.981072e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+01	4.786301e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+01	5.754399e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+01	6.918310e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_mass_4
ErrorBars=1
LineColor=blue
