# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of fourth jet
XLabel=$p_\perp(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~4})$ [pb/GeV]
LogX=1
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_4
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_4
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_4
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.214948e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.214948e+01	1.476099e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.476099e+01	1.793384e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.793384e+01	2.178868e+01	3.389347e-06	9.400357e-07	9.400357e-07
2.178868e+01	2.647212e+01	7.939914e-06	1.305314e-06	1.305314e-06
2.647212e+01	3.216225e+01	1.165738e-05	1.434924e-06	1.434924e-06
3.216225e+01	3.907546e+01	1.308404e-05	1.379179e-06	1.379179e-06
3.907546e+01	4.747466e+01	1.591449e-05	1.379961e-06	1.379961e-06
4.747466e+01	5.767925e+01	1.664448e-05	1.280344e-06	1.280344e-06
5.767925e+01	7.007730e+01	1.483463e-05	1.096607e-06	1.096607e-06
7.007730e+01	8.514028e+01	9.007454e-06	7.752379e-07	7.752379e-07
8.514028e+01	1.034410e+02	4.173731e-06	4.787598e-07	4.787598e-07
1.034410e+02	1.256755e+02	2.440874e-06	3.321609e-07	3.321609e-07
1.256755e+02	1.526892e+02	8.557025e-07	1.784263e-07	1.784263e-07
1.526892e+02	1.855094e+02	3.980899e-07	1.104103e-07	1.104103e-07
1.855094e+02	2.253843e+02	1.008183e-07	5.040915e-08	5.040915e-08
2.253843e+02	2.738303e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.738303e+02	3.326896e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.326896e+02	4.042006e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.042006e+02	4.910828e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.910828e+02	5.966401e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.966401e+02	7.248867e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.248867e+02	8.806998e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.806998e+02	1.070005e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.070005e+03	1.300000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_4
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.214948e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.214948e+01	1.476099e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.476099e+01	1.793384e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.793384e+01	2.178868e+01	1.551380e-06	6.333481e-07	6.333481e-07
2.178868e+01	2.647212e+01	6.810174e-06	1.203880e-06	1.203880e-06
2.647212e+01	3.216225e+01	9.809322e-06	1.310826e-06	1.310826e-06
3.216225e+01	3.907546e+01	1.470596e-05	1.456108e-06	1.456108e-06
3.907546e+01	4.747466e+01	1.791893e-05	1.458222e-06	1.458222e-06
4.747466e+01	5.767925e+01	1.728824e-05	1.299464e-06	1.299464e-06
5.767925e+01	7.007730e+01	1.358647e-05	1.045113e-06	1.045113e-06
7.007730e+01	8.514028e+01	8.205103e-06	7.368399e-07	7.368399e-07
8.514028e+01	1.034410e+02	5.010636e-06	5.223949e-07	5.223949e-07
1.034410e+02	1.256755e+02	1.748278e-06	2.799485e-07	2.799485e-07
1.256755e+02	1.526892e+02	7.748335e-07	1.690826e-07	1.690826e-07
1.526892e+02	1.855094e+02	3.644292e-07	1.052017e-07	1.052017e-07
1.855094e+02	2.253843e+02	4.999235e-08	3.534993e-08	3.534993e-08
2.253843e+02	2.738303e+02	2.057383e-08	2.057384e-08	2.057384e-08
