# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity $+/-$ ratio of first jet
XLabel=$|y(\mathrm{jet~1}|$
YLabel=$y(\mathrm{jet~1})_+/y(\mathrm{jet~1})_-$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_y_pmratio_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_y_pmratio_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_y_pmratio_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_y_pmratio_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_y_pmratio_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_y_pmratio_1
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.1667071541363922, dn: 0.1667071541363922}}, 1: {"": {up: 0.17066316051951788, dn: 0.17066316051951788}}, 2: {"": {up: 0.33282384165909418, dn: 0.33282384165909418}}, 3: {"": {up: 0.1652085288400772, dn: 0.1652085288400772}}, 4: {"": {up: 0.15713484026367724, dn: 0.15713484026367724}}, 5: {"": {up: 0.2183061883008206, dn: 0.2183061883008206}}, 6: {"": {up: 0.30300959525205606, dn: 0.30300959525205606}}, 7: {"": {up: 0.16207320198270264, dn: 0.16207320198270264}}, 8: {"": {up: 0.32495929509457944, dn: 0.32495929509457944}}, 9: {"": {up: 0.47071684059880792, dn: 0.47071684059880792}}, 10: {"": {up: 0.36417582672654397, dn: 0.36417582672654397}}, 11: {"": {up: 0.20286020648339487, dn: 0.20286020648339487}}, 12: {"": {up: 0.27532117475983753, dn: 0.27532117475983753}}, 13: {"": {up: 0.55901699437494723, dn: 0.55901699437494723}}, 14: {"": {up: 0.33722277658799343, dn: 0.33722277658799343}}, 15: {"": {up: 0.35681201607403135, dn: 0.35681201607403135}}, 16: {"": {up: 0.3076778589915089, dn: 0.3076778589915089}}, 17: {"": {up: 0.81975606127676803, dn: 0.81975606127676803}}, 18: {"": {up: 2.4494897427831779, dn: 2.4494897427831779}}, 19: {"": {up: 1.7320508075688774, dn: 1.7320508075688774}}, 20: {"": {up: 1.4142135623730951, dn: 1.4142135623730951}}, 21: {"": {up: 2.4494897427831779, dn: 2.4494897427831779}}, 22: {"": {up: .nan, dn: .nan}}, 23: {"": {up: .nan, dn: .nan}}, 24: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_y_pmratio_1
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.904762e-01	1.667072e-01	1.667072e-01
2.000000e-01	4.000000e-01	7.608696e-01	1.706632e-01	1.706632e-01
4.000000e-01	6.000000e-01	1.419355e+00	3.328238e-01	3.328238e-01
6.000000e-01	8.000000e-01	7.045455e-01	1.652085e-01	1.652085e-01
8.000000e-01	1.000000e+00	6.666667e-01	1.571348e-01	1.571348e-01
1.000000e+00	1.200000e+00	9.189189e-01	2.183062e-01	2.183062e-01
1.200000e+00	1.400000e+00	1.233333e+00	3.030096e-01	3.030096e-01
1.400000e+00	1.600000e+00	7.291667e-01	1.620732e-01	1.620732e-01
1.600000e+00	1.800000e+00	1.230769e+00	3.249593e-01	3.249593e-01
1.800000e+00	2.000000e+00	1.714286e+00	4.707168e-01	4.707168e-01
2.000000e+00	2.200000e+00	1.423077e+00	3.641758e-01	3.641758e-01
2.200000e+00	2.400000e+00	6.666667e-01	2.028602e-01	2.028602e-01
2.400000e+00	2.600000e+00	8.571429e-01	2.753212e-01	2.753212e-01
2.600000e+00	2.800000e+00	1.500000e+00	5.590170e-01	5.590170e-01
2.800000e+00	3.000000e+00	1.052632e+00	3.372228e-01	3.372228e-01
3.000000e+00	3.200000e+00	8.333333e-01	3.568120e-01	3.568120e-01
3.200000e+00	3.400000e+00	6.363636e-01	3.076779e-01	3.076779e-01
3.400000e+00	3.600000e+00	1.400000e+00	8.197561e-01	8.197561e-01
3.600000e+00	3.800000e+00	3.000000e+00	2.449490e+00	2.449490e+00
3.800000e+00	4.000000e+00	2.000000e+00	1.732051e+00	1.732051e+00
4.000000e+00	4.200000e+00	1.000000e+00	1.414214e+00	1.414214e+00
4.200000e+00	4.400000e+00	2.000000e+00	2.449490e+00	2.449490e+00
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jet_y_pmratio_1
ErrorBars=1
