# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between jets
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{jet~1,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_13
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_13
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_13
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_13
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dR_13
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	5.025150e-05	1.589092e-05	1.589092e-05
6.000000e-01	8.000000e-01	7.537725e-05	1.946232e-05	1.946232e-05
8.000000e-01	1.000000e+00	6.030180e-05	1.740763e-05	1.740763e-05
1.000000e+00	1.200000e+00	4.522635e-05	1.507545e-05	1.507545e-05
1.200000e+00	1.400000e+00	4.020120e-05	1.421327e-05	1.421327e-05
1.400000e+00	1.600000e+00	9.045270e-05	2.131991e-05	2.131991e-05
1.600000e+00	1.800000e+00	1.055282e-04	2.302813e-05	2.302813e-05
1.800000e+00	2.000000e+00	1.758803e-04	2.972919e-05	2.972919e-05
2.000000e+00	2.200000e+00	2.412072e-04	3.481526e-05	3.481526e-05
2.200000e+00	2.400000e+00	2.864336e-04	3.793905e-05	3.793905e-05
2.400000e+00	2.600000e+00	2.864335e-04	3.793905e-05	3.793905e-05
2.600000e+00	2.800000e+00	3.517605e-04	4.204342e-05	4.204342e-05
2.800000e+00	3.000000e+00	4.472383e-04	4.740717e-05	4.740717e-05
3.000000e+00	3.200000e+00	4.472383e-04	4.740717e-05	4.740717e-05
3.200000e+00	3.400000e+00	3.517605e-04	4.204342e-05	4.204342e-05
3.400000e+00	3.600000e+00	2.864335e-04	3.793905e-05	3.793905e-05
3.600000e+00	3.800000e+00	3.417102e-04	4.143845e-05	4.143845e-05
3.800000e+00	4.000000e+00	2.361820e-04	3.445069e-05	3.445069e-05
4.000000e+00	4.200000e+00	1.859305e-04	3.056680e-05	3.056680e-05
4.200000e+00	4.400000e+00	1.356790e-04	2.611144e-05	2.611144e-05
