# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendYPos=0.5
LegendXPos=0.30
XLabel=$\Delta\eta(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\mathrm{jet~1,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_deta_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_deta_13
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_deta_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_deta_13
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_deta_13
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_deta_13
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_deta_13
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.261317e-05	7.537725e-06	7.537725e-06
-4.600000e+00	-4.200000e+00	5.276408e-05	1.151406e-05	1.151406e-05
-4.200000e+00	-3.800000e+00	5.276407e-05	1.151406e-05	1.151406e-05
-3.800000e+00	-3.400000e+00	7.788983e-05	1.398942e-05	1.398942e-05
-3.400000e+00	-3.000000e+00	7.537725e-05	1.376194e-05	1.376194e-05
-3.000000e+00	-2.600000e+00	1.130659e-04	1.685487e-05	1.685487e-05
-2.600000e+00	-2.200000e+00	1.030156e-04	1.608833e-05	1.608833e-05
-2.200000e+00	-1.800000e+00	1.005030e-04	1.589092e-05	1.589092e-05
-1.800000e+00	-1.400000e+00	1.256287e-04	1.776659e-05	1.776659e-05
-1.400000e+00	-1.000000e+00	1.582922e-04	1.994295e-05	1.994295e-05
-1.000000e+00	-6.000000e-01	1.306539e-04	1.811844e-05	1.811844e-05
-6.000000e-01	-2.000000e-01	1.130659e-04	1.685487e-05	1.685487e-05
-2.000000e-01	2.000000e-01	1.432168e-04	1.896952e-05	1.896952e-05
2.000000e-01	6.000000e-01	1.256288e-04	1.776659e-05	1.776659e-05
6.000000e-01	1.000000e+00	1.331665e-04	1.829182e-05	1.829182e-05
1.000000e+00	1.400000e+00	1.331665e-04	1.829182e-05	1.829182e-05
1.400000e+00	1.800000e+00	1.080407e-04	1.647606e-05	1.647606e-05
1.800000e+00	2.200000e+00	1.633174e-04	2.025703e-05	2.025703e-05
2.200000e+00	2.600000e+00	1.231162e-04	1.758803e-05	1.758803e-05
