# BEGIN PLOT
Legend=1
LogY=1
Title=Azimuthal separation between jets
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dphi_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dphi_13
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dphi_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dphi_13
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dphi_13
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dphi_13
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dphi_13
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.199666e-04	3.097525e-05	3.097525e-05
1.256637e-01	2.513274e-01	7.997775e-05	2.529118e-05	2.529118e-05
2.513274e-01	3.769911e-01	1.039711e-04	2.883639e-05	2.883639e-05
3.769911e-01	5.026548e-01	1.199666e-04	3.097525e-05	3.097525e-05
5.026548e-01	6.283185e-01	1.119689e-04	2.992493e-05	2.992493e-05
6.283185e-01	7.539822e-01	6.398220e-05	2.262112e-05	2.262112e-05
7.539822e-01	8.796459e-01	1.199666e-04	3.097525e-05	3.097525e-05
8.796459e-01	1.005310e+00	9.597299e-05	2.770501e-05	2.770501e-05
1.005310e+00	1.130973e+00	1.039717e-04	2.883655e-05	2.883655e-05
1.130973e+00	1.256637e+00	1.359619e-04	3.297559e-05	3.297559e-05
1.256637e+00	1.382301e+00	1.519574e-04	3.486141e-05	3.486141e-05
1.382301e+00	1.507964e+00	2.079433e-04	4.078104e-05	4.078104e-05
1.507964e+00	1.633628e+00	2.319349e-04	4.306923e-05	4.306923e-05
1.633628e+00	1.759292e+00	2.959170e-04	4.864845e-05	4.864845e-05
1.759292e+00	1.884956e+00	2.879192e-04	4.798653e-05	4.798653e-05
1.884956e+00	2.010619e+00	4.558757e-04	6.038221e-05	6.038221e-05
2.010619e+00	2.136283e+00	4.238811e-04	5.822454e-05	5.822454e-05
2.136283e+00	2.261947e+00	5.358496e-04	6.546446e-05	6.546446e-05
2.261947e+00	2.387610e+00	5.838408e-04	6.833340e-05	6.833340e-05
2.387610e+00	2.513274e+00	6.238250e-04	7.063427e-05	7.063427e-05
2.513274e+00	2.638938e+00	6.318227e-04	7.108561e-05	7.108561e-05
2.638938e+00	2.764602e+00	6.238250e-04	7.063427e-05	7.063427e-05
2.764602e+00	2.890265e+00	6.238299e-04	7.063483e-05	7.063483e-05
2.890265e+00	3.015929e+00	6.318227e-04	7.108561e-05	7.108561e-05
3.015929e+00	3.141593e+00	6.318227e-04	7.108561e-05	7.108561e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dphi_13
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_dphi_13
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	3.172658e-05	1.586329e-05	1.586329e-05
1.256637e-01	2.513274e-01	3.172658e-05	1.586329e-05	1.586329e-05
2.513274e-01	3.769911e-01	7.138482e-05	2.379494e-05	2.379494e-05
3.769911e-01	5.026548e-01	7.138482e-05	2.379494e-05	2.379494e-05
5.026548e-01	6.283185e-01	1.348380e-04	3.270301e-05	3.270301e-05
6.283185e-01	7.539822e-01	1.269063e-04	3.172658e-05	3.172658e-05
7.539822e-01	8.796459e-01	1.189747e-04	3.071913e-05	3.071913e-05
8.796459e-01	1.005310e+00	1.348376e-04	3.270291e-05	3.270291e-05
1.005310e+00	1.130973e+00	1.427704e-04	3.365131e-05	3.365131e-05
1.130973e+00	1.256637e+00	1.031112e-04	2.859789e-05	2.859789e-05
1.256637e+00	1.382301e+00	1.507009e-04	3.457316e-05	3.457316e-05
1.382301e+00	1.507964e+00	2.379507e-04	4.344366e-05	4.344366e-05
1.507964e+00	1.633628e+00	2.855386e-04	4.758976e-05	4.758976e-05
1.633628e+00	1.759292e+00	3.410600e-04	5.201116e-05	5.201116e-05
1.759292e+00	1.884956e+00	3.410600e-04	5.201116e-05	5.201116e-05
1.884956e+00	2.010619e+00	3.886528e-04	5.552183e-05	5.552183e-05
2.010619e+00	2.136283e+00	3.727865e-04	5.437650e-05	5.437650e-05
2.136283e+00	2.261947e+00	5.234874e-04	6.443684e-05	6.443684e-05
2.261947e+00	2.387610e+00	5.314233e-04	6.492368e-05	6.492368e-05
2.387610e+00	2.513274e+00	4.679660e-04	6.092398e-05	6.092398e-05
2.513274e+00	2.638938e+00	6.503934e-04	7.182394e-05	7.182394e-05
2.638938e+00	2.764602e+00	6.900516e-04	7.398130e-05	7.398130e-05
2.764602e+00	2.890265e+00	6.424669e-04	7.138521e-05	7.138521e-05
2.890265e+00	3.015929e+00	5.948720e-04	6.868991e-05	6.868991e-05
3.015929e+00	3.141593e+00	7.297097e-04	7.607750e-05	7.607750e-05
# END HISTO1D

