# BEGIN PLOT
Legend=1
LogY=1
Title=Dijet invariant mass spectrum
XLabel=$m_{jj}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
LegendAlign=r
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_mjj //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_mjj
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_mjj //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_mjj
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_mjj
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_mjj
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_mjj
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.625000e+02	3.587184e-07	4.710203e-08	4.710203e-08
1.625000e+02	3.250000e+02	1.274069e-06	8.876859e-08	8.876859e-08
3.250000e+02	4.875000e+02	1.131818e-06	8.366642e-08	8.366642e-08
4.875000e+02	6.500000e+02	8.040240e-07	7.051757e-08	7.051757e-08
6.500000e+02	8.125000e+02	6.494043e-07	6.337535e-08	6.337535e-08
8.125000e+02	9.750000e+02	4.638600e-07	5.356194e-08	5.356194e-08
9.750000e+02	1.137500e+03	3.216096e-07	4.459923e-08	4.459923e-08
1.137500e+03	1.300000e+03	1.917288e-07	3.443551e-08	3.443551e-08
1.300000e+03	1.462500e+03	1.917288e-07	3.443551e-08	3.443551e-08
1.462500e+03	1.625000e+03	1.360656e-07	2.900929e-08	2.900929e-08
1.625000e+03	1.787500e+03	1.298808e-07	2.834231e-08	2.834231e-08
1.787500e+03	1.950000e+03	1.236960e-07	2.765927e-08	2.765927e-08
1.950000e+03	2.112500e+03	1.175112e-07	2.695892e-08	2.695892e-08
2.112500e+03	2.275000e+03	4.947840e-08	1.749326e-08	1.749326e-08
2.275000e+03	2.437500e+03	4.329360e-08	1.636344e-08	1.636344e-08
2.437500e+03	2.600000e+03	4.947840e-08	1.749326e-08	1.749326e-08
2.600000e+03	2.762500e+03	4.329360e-08	1.636344e-08	1.636344e-08
2.762500e+03	2.925000e+03	3.092400e-08	1.382963e-08	1.382963e-08
2.925000e+03	3.087500e+03	6.184800e-09	6.184799e-09	6.184799e-09
3.087500e+03	3.250000e+03	1.236960e-08	8.746629e-09	8.746629e-09
3.250000e+03	3.412500e+03	1.236960e-08	8.746629e-09	8.746629e-09
3.412500e+03	3.575000e+03	6.184800e-09	6.184799e-09	6.184799e-09
3.575000e+03	3.737500e+03	6.184800e-09	6.184799e-09	6.184799e-09
3.737500e+03	3.900000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+03	4.062500e+03	6.184800e-09	6.184799e-09	6.184799e-09
4.062500e+03	4.225000e+03	1.855440e-08	1.071239e-08	1.071239e-08
4.225000e+03	4.387500e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.387500e+03	4.550000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+03	4.712500e+03	6.184800e-09	6.184799e-09	6.184799e-09
4.712500e+03	4.875000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.875000e+03	5.037500e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.037500e+03	5.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+03	5.362500e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.362500e+03	5.525000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.525000e+03	5.687500e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.687500e+03	5.850000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.850000e+03	6.012500e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.012500e+03	6.175000e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.175000e+03	6.337500e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.337500e+03	6.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_mjj
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13000/jets_mjj
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.625000e+02	3.312177e-07	4.507302e-08	4.507302e-08
1.625000e+02	3.250000e+02	1.312604e-06	8.972774e-08	8.972774e-08
3.250000e+02	4.875000e+02	1.005921e-06	7.854919e-08	7.854919e-08
4.875000e+02	6.500000e+02	8.035095e-07	7.020295e-08	7.020295e-08
6.500000e+02	8.125000e+02	5.642969e-07	5.883201e-08	5.883201e-08
8.125000e+02	9.750000e+02	4.293563e-07	5.131789e-08	5.131789e-08
9.750000e+02	1.137500e+03	3.312177e-07	4.507302e-08	4.507302e-08
1.137500e+03	1.300000e+03	2.821484e-07	4.160051e-08	4.160051e-08
1.300000e+03	1.462500e+03	2.330791e-07	3.781043e-08	3.781043e-08
1.462500e+03	1.625000e+03	1.901435e-07	3.415078e-08	3.415078e-08
1.625000e+03	1.787500e+03	1.349406e-07	2.876942e-08	2.876942e-08
1.787500e+03	1.950000e+03	1.165396e-07	2.673601e-08	2.673601e-08
1.950000e+03	2.112500e+03	7.973760e-08	2.211523e-08	2.211523e-08
2.112500e+03	2.275000e+03	7.973760e-08	2.211523e-08	2.211523e-08
2.275000e+03	2.437500e+03	7.973760e-08	2.211523e-08	2.211523e-08
2.437500e+03	2.600000e+03	2.453465e-08	1.226732e-08	1.226732e-08
2.600000e+03	2.762500e+03	4.293563e-08	1.622814e-08	1.622814e-08
2.762500e+03	2.925000e+03	4.293563e-08	1.622814e-08	1.622814e-08
2.925000e+03	3.087500e+03	6.133662e-09	6.133662e-09	6.133662e-09
3.087500e+03	3.250000e+03	1.226732e-08	8.674308e-09	8.674308e-09
3.250000e+03	3.412500e+03	6.133662e-09	6.133662e-09	6.133662e-09
3.412500e+03	3.575000e+03	1.226732e-08	8.674308e-09	8.674308e-09
3.575000e+03	3.737500e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.737500e+03	3.900000e+03	1.226732e-08	8.674308e-09	8.674308e-09
3.900000e+03	4.062500e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.062500e+03	4.225000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.225000e+03	4.387500e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.387500e+03	4.550000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+03	4.712500e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.712500e+03	4.875000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.875000e+03	5.037500e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.037500e+03	5.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+03	5.362500e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.362500e+03	5.525000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.525000e+03	5.687500e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.687500e+03	5.850000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.850000e+03	6.012500e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.012500e+03	6.175000e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.175000e+03	6.337500e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.337500e+03	6.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

