# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of leading muon
XLabel=$p_\perp(\mu\mathrm{1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mu\mathrm{1}$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.084224e+00	2.386564e-05	1.687556e-05	1.687556e-05
1.084224e+00	1.175541e+00	3.301784e-05	1.906286e-05	1.906286e-05
1.175541e+00	1.274549e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.274549e+00	1.381896e+00	9.362441e-06	9.362440e-06	9.362440e-06
1.381896e+00	1.498284e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.498284e+00	1.624475e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.624475e+00	1.761294e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.761294e+00	1.909636e+00	1.355017e-05	9.581421e-06	9.581421e-06
1.909636e+00	2.070473e+00	6.248749e-06	6.248748e-06	6.248748e-06
2.070473e+00	2.244855e+00	1.729014e-05	9.982470e-06	9.982470e-06
2.244855e+00	2.433925e+00	1.063130e-05	7.517465e-06	7.517465e-06
2.433925e+00	2.638919e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.638919e+00	2.861178e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.861178e+00	3.102156e+00	1.251189e-05	7.223743e-06	7.223743e-06
3.102156e+00	3.363431e+00	7.693273e-06	5.439966e-06	5.439966e-06
3.363431e+00	3.646711e+00	3.547833e-06	3.547832e-06	3.547832e-06
3.646711e+00	3.953850e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.953850e+00	4.286857e+00	3.018045e-06	3.018044e-06	3.018044e-06
4.286857e+00	4.647911e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.647911e+00	5.039375e+00	2.567363e-06	2.567362e-06	2.567362e-06
5.039375e+00	5.463809e+00	7.103790e-06	4.101375e-06	4.101375e-06
5.463809e+00	5.923990e+00	8.735954e-06	4.367977e-06	4.367977e-06
5.923990e+00	6.422930e+00	2.014330e-06	2.014330e-06	2.014330e-06
6.422930e+00	6.963892e+00	5.573571e-06	3.217903e-06	3.217903e-06
6.963892e+00	7.550415e+00	1.028123e-05	4.197296e-06	4.197296e-06
7.550415e+00	8.186338e+00	4.741282e-06	2.737380e-06	2.737380e-06
8.186338e+00	8.875820e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.875820e+00	9.623373e+00	5.377706e-06	2.688853e-06	2.688853e-06
9.623373e+00	1.043389e+01	6.199932e-06	2.772694e-06	2.772694e-06
1.043389e+01	1.131267e+01	5.718325e-06	2.557313e-06	2.557313e-06
1.131267e+01	1.226546e+01	3.164485e-06	1.827017e-06	1.827017e-06
1.226546e+01	1.329850e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.329850e+01	1.441855e+01	3.589233e-06	1.794616e-06	1.794616e-06
1.441855e+01	1.563293e+01	3.310430e-06	1.655215e-06	1.655215e-06
1.563293e+01	1.694959e+01	3.053271e-06	1.526636e-06	1.526636e-06
1.694959e+01	1.837714e+01	3.520122e-06	1.574246e-06	1.574246e-06
1.837714e+01	1.992493e+01	2.597329e-06	1.298665e-06	1.298665e-06
1.992493e+01	2.160308e+01	5.988916e-07	5.988915e-07	5.988915e-07
2.160308e+01	2.342257e+01	3.314214e-06	1.353022e-06	1.353022e-06
2.342257e+01	2.539530e+01	2.037846e-06	1.018923e-06	1.018923e-06
2.539530e+01	2.753418e+01	2.349431e-06	1.050697e-06	1.050697e-06
2.753418e+01	2.985321e+01	8.667676e-07	6.128973e-07	6.128973e-07
2.985321e+01	3.236755e+01	3.197754e-06	1.130577e-06	1.130577e-06
3.236755e+01	3.509366e+01	2.580677e-06	9.754043e-07	9.754043e-07
3.509366e+01	3.804937e+01	2.040180e-06	8.329000e-07	8.329000e-07
3.804937e+01	4.125403e+01	3.763382e-06	1.086395e-06	1.086395e-06
4.125403e+01	4.472859e+01	2.892539e-06	9.147010e-07	9.147010e-07
4.472859e+01	4.849579e+01	3.468197e-06	9.619047e-07	9.619047e-07
4.849579e+01	5.258027e+01	5.167275e-06	1.127592e-06	1.127592e-06
5.258027e+01	5.700877e+01	7.943107e-06	1.342630e-06	1.342630e-06
5.700877e+01	6.181025e+01	4.186334e-06	9.360929e-07	9.360929e-07
6.181025e+01	6.701613e+01	6.950041e-06	1.158340e-06	1.158340e-06
6.701613e+01	7.266047e+01	6.410152e-06	1.068359e-06	1.068359e-06
7.266047e+01	7.878019e+01	5.255299e-06	9.290144e-07	9.290144e-07
7.878019e+01	8.541534e+01	6.361764e-06	9.816415e-07	9.816415e-07
8.541534e+01	9.260932e+01	3.772016e-06	7.259248e-07	7.259248e-07
9.260932e+01	1.004092e+02	3.607856e-06	6.818206e-07	6.818206e-07
1.004092e+02	1.088660e+02	1.901485e-06	4.753712e-07	4.753712e-07
1.088660e+02	1.180351e+02	3.726758e-06	6.391338e-07	6.391338e-07
1.180351e+02	1.279764e+02	2.527411e-06	5.054822e-07	5.054822e-07
1.279764e+02	1.387551e+02	2.237813e-06	4.567918e-07	4.567918e-07
1.387551e+02	1.504415e+02	2.063999e-06	4.213121e-07	4.213121e-07
1.504415e+02	1.631122e+02	1.189788e-06	3.072020e-07	3.072020e-07
1.631122e+02	1.768501e+02	1.097362e-06	2.833377e-07	2.833377e-07
1.768501e+02	1.917451e+02	1.282012e-06	2.941137e-07	2.941137e-07
1.917451e+02	2.078945e+02	8.712658e-07	2.328555e-07	2.328555e-07
2.078945e+02	2.254041e+02	1.205375e-06	2.630343e-07	2.630343e-07
2.254041e+02	2.443885e+02	6.882172e-07	1.908771e-07	1.908771e-07
2.443885e+02	2.649717e+02	2.441384e-07	1.091820e-07	1.091820e-07
2.649717e+02	2.872886e+02	5.854482e-07	1.623741e-07	1.623741e-07
2.872886e+02	3.114850e+02	4.153634e-07	1.313494e-07	1.313494e-07
3.114850e+02	3.377194e+02	1.915481e-07	8.566293e-08	8.566293e-08
3.377194e+02	3.661633e+02	2.120026e-07	8.654969e-08	8.654969e-08
3.661633e+02	3.970029e+02	6.517789e-08	4.608773e-08	4.608773e-08
3.970029e+02	4.304399e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.304399e+02	4.666931e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.666931e+02	5.059996e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.059996e+02	5.486167e+02	2.358279e-08	2.358278e-08	2.358278e-08
5.486167e+02	5.948231e+02	2.175088e-08	2.175088e-08	2.175088e-08
5.948231e+02	6.449213e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.449213e+02	6.992388e+02	1.850288e-08	1.850287e-08	1.850287e-08
6.992388e+02	7.581312e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.581312e+02	8.219837e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.219837e+02	8.912140e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.912140e+02	9.662753e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.662753e+02	1.047658e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.047658e+03	1.135896e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.135896e+03	1.231565e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.231565e+03	1.335292e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.335292e+03	1.447755e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.447755e+03	1.569690e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.569690e+03	1.701895e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.701895e+03	1.845234e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.845234e+03	2.000647e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.000647e+03	2.169148e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.169148e+03	2.351841e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.351841e+03	2.549922e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.549922e+03	2.764685e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.764685e+03	2.997537e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.997537e+03	3.250000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.084224e+00	2.366831e-05	1.673603e-05	1.673603e-05
1.084224e+00	1.175541e+00	3.274483e-05	1.890524e-05	1.890524e-05
1.175541e+00	1.274549e+00	1.006707e-05	1.006707e-05	1.006707e-05
1.274549e+00	1.381896e+00	1.857006e-05	1.313102e-05	1.313102e-05
1.381896e+00	1.498284e+00	8.563769e-06	8.563770e-06	8.563770e-06
1.498284e+00	1.624475e+00	2.369551e-05	1.368061e-05	1.368061e-05
1.624475e+00	1.761294e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.761294e+00	1.909636e+00	2.687627e-05	1.343814e-05	1.343814e-05
1.909636e+00	2.070473e+00	6.197082e-06	6.197082e-06	6.197082e-06
2.070473e+00	2.244855e+00	1.143146e-05	8.083260e-06	8.083260e-06
2.244855e+00	2.433925e+00	5.271698e-06	5.271698e-06	5.271698e-06
2.433925e+00	2.638919e+00	4.862191e-06	4.862191e-06	4.862191e-06
2.638919e+00	2.861178e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.861178e+00	3.102156e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.102156e+00	3.363431e+00	1.144449e-05	6.607481e-06	6.607481e-06
3.363431e+00	3.646711e+00	3.518498e-06	3.518498e-06	3.518498e-06
3.646711e+00	3.953850e+00	9.735527e-06	5.620809e-06	5.620809e-06
3.953850e+00	4.286857e+00	2.993090e-06	2.993090e-06	2.993090e-06
4.286857e+00	4.647911e+00	5.521169e-06	3.904056e-06	3.904056e-06
4.647911e+00	5.039375e+00	1.273067e-05	5.693330e-06	5.693330e-06
5.039375e+00	5.463809e+00	4.696702e-06	3.321070e-06	3.321070e-06
5.463809e+00	5.923990e+00	6.497791e-06	3.751501e-06	3.751501e-06
5.923990e+00	6.422930e+00	7.990700e-06	3.995350e-06	3.995350e-06
6.422930e+00	6.963892e+00	5.527486e-06	3.191296e-06	3.191296e-06
6.963892e+00	7.550415e+00	1.699371e-06	1.699371e-06	1.699371e-06
7.550415e+00	8.186338e+00	9.404157e-06	3.839231e-06	3.839231e-06
8.186338e+00	8.875820e+00	2.891214e-06	2.044397e-06	2.044397e-06
8.875820e+00	9.623373e+00	3.999930e-06	2.309361e-06	2.309361e-06
9.623373e+00	1.043389e+01	2.459467e-06	1.739106e-06	1.739106e-06
1.043389e+01	1.131267e+01	2.268418e-06	1.604014e-06	1.604014e-06
1.131267e+01	1.226546e+01	1.046107e-06	1.046107e-06	1.046107e-06
1.226546e+01	1.329850e+01	3.859367e-06	1.929683e-06	1.929683e-06
1.329850e+01	1.441855e+01	2.669667e-06	1.541333e-06	1.541333e-06
1.441855e+01	1.563293e+01	2.462294e-06	1.421606e-06	1.421606e-06
1.563293e+01	1.694959e+01	3.785032e-06	1.692718e-06	1.692718e-06
1.694959e+01	1.837714e+01	4.189219e-06	1.710242e-06	1.710242e-06
1.837714e+01	1.992493e+01	3.863780e-06	1.577382e-06	1.577382e-06
1.992493e+01	2.160308e+01	2.375759e-06	1.187880e-06	1.187880e-06
2.160308e+01	2.342257e+01	1.095604e-06	7.747089e-07	7.747089e-07
2.342257e+01	2.539530e+01	2.020996e-06	1.010498e-06	1.010498e-06
2.539530e+01	2.753418e+01	2.330004e-06	1.042010e-06	1.042010e-06
2.753418e+01	2.985321e+01	3.008603e-06	1.137145e-06	1.137145e-06
2.985321e+01	3.236755e+01	7.928283e-07	5.606144e-07	5.606144e-07
3.236755e+01	3.509366e+01	1.096860e-06	6.332722e-07	6.332722e-07
3.509366e+01	3.804937e+01	4.383840e-06	1.215858e-06	1.215858e-06
3.804937e+01	4.125403e+01	1.244088e-06	6.220441e-07	6.220441e-07
4.125403e+01	4.472859e+01	2.581760e-06	8.605867e-07	8.605867e-07
4.472859e+01	4.849579e+01	4.233255e-06	1.058314e-06	1.058314e-06
4.849579e+01	5.258027e+01	5.612602e-06	1.170308e-06	1.170308e-06
5.258027e+01	5.700877e+01	3.826180e-06	9.279850e-07	9.279850e-07
5.700877e+01	6.181025e+01	5.812408e-06	1.098442e-06	1.098442e-06
6.181025e+01	6.701613e+01	6.126734e-06	1.083064e-06	1.083064e-06
6.701613e+01	7.266047e+01	7.416676e-06	1.144418e-06	1.144418e-06
7.266047e+01	7.878019e+01	6.677678e-06	1.042878e-06	1.042878e-06
7.878019e+01	8.541534e+01	3.905672e-06	7.659653e-07	7.659653e-07
8.541534e+01	9.260932e+01	4.849221e-06	8.196680e-07	8.196680e-07
9.260932e+01	1.004092e+02	3.833597e-06	6.999159e-07	6.999159e-07
1.004092e+02	1.088660e+02	4.007246e-06	6.872371e-07	6.872371e-07
1.088660e+02	1.180351e+02	3.152423e-06	5.853902e-07	5.853902e-07
1.180351e+02	1.279764e+02	2.707034e-06	5.209690e-07	5.209690e-07
1.279764e+02	1.387551e+02	2.219310e-06	4.530148e-07	4.530148e-07
1.387551e+02	1.504415e+02	1.705778e-06	3.814235e-07	3.814235e-07
1.504415e+02	1.631122e+02	1.651931e-06	3.604809e-07	3.604809e-07
1.631122e+02	1.768501e+02	1.305946e-06	3.078145e-07	3.078145e-07
1.768501e+02	1.917451e+02	1.204495e-06	2.839023e-07	2.839023e-07
1.917451e+02	2.078945e+02	4.937496e-07	1.745668e-07	1.745668e-07
2.078945e+02	2.254041e+02	5.123178e-07	1.707726e-07	1.707726e-07
2.254041e+02	2.443885e+02	4.725185e-07	1.575062e-07	1.575062e-07
2.443885e+02	2.649717e+02	5.810875e-07	1.677455e-07	1.677455e-07
2.649717e+02	2.872886e+02	3.572969e-07	1.263235e-07	1.263235e-07
2.872886e+02	3.114850e+02	8.238581e-08	5.825557e-08	5.825557e-08
3.114850e+02	3.377194e+02	1.899643e-07	8.495463e-08	8.495463e-08
3.377194e+02	3.661633e+02	2.102496e-07	8.583406e-08	8.583406e-08
3.661633e+02	3.970029e+02	9.695846e-08	5.597899e-08	5.597899e-08
3.970029e+02	4.304399e+02	5.961779e-08	4.215615e-08	4.215615e-08
4.304399e+02	4.666931e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.666931e+02	5.059996e+02	2.535764e-08	2.535764e-08	2.535764e-08
5.059996e+02	5.486167e+02	4.677559e-08	3.307534e-08	3.307534e-08
5.486167e+02	5.948231e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.948231e+02	6.449213e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.449213e+02	6.992388e+02	1.834989e-08	1.834989e-08	1.834989e-08
6.992388e+02	7.581312e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.581312e+02	8.219837e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.219837e+02	8.912140e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.912140e+02	9.662753e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.662753e+02	1.047658e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.047658e+03	1.135896e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.135896e+03	1.231565e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.231565e+03	1.335292e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.335292e+03	1.447755e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.447755e+03	1.569690e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.569690e+03	1.701895e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.701895e+03	1.845234e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.845234e+03	2.000647e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.000647e+03	2.169148e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.169148e+03	2.351841e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.351841e+03	2.549922e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.549922e+03	2.764685e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.764685e+03	2.997537e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.997537e+03	3.250000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

