# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of second muon
XLabel=$p_\perp(\mu\mathrm{2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mu\mathrm{2})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_2
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.166046e+00	1.210544e-05	8.559840e-06	8.559840e-06
1.166046e+00	1.359664e+00	5.190788e-06	5.190787e-06	5.190787e-06
1.359664e+00	1.585432e+00	4.451605e-06	4.451605e-06	4.451605e-06
1.585432e+00	1.848687e+00	3.817705e-06	3.817705e-06	3.817705e-06
1.848687e+00	2.155655e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.155655e+00	2.513594e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.513594e+00	2.930967e+00	9.631960e-06	4.815980e-06	4.815980e-06
2.930967e+00	3.417643e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.417643e+00	3.985131e+00	1.771015e-06	1.771015e-06	1.771015e-06
3.985131e+00	4.646848e+00	1.518821e-06	1.518821e-06	1.518821e-06
4.646848e+00	5.418440e+00	5.210163e-06	2.605081e-06	2.605081e-06
5.418440e+00	6.318153e+00	4.468225e-06	2.234112e-06	2.234112e-06
6.318153e+00	7.367259e+00	3.831948e-06	1.915974e-06	1.915974e-06
7.367259e+00	8.590566e+00	1.643136e-06	1.161873e-06	1.161873e-06
8.590566e+00	1.001700e+01	4.227451e-06	1.725850e-06	1.725850e-06
1.001700e+01	1.168029e+01	4.229695e-06	1.598675e-06	1.598675e-06
1.168029e+01	1.361976e+01	3.109190e-06	1.269321e-06	1.269321e-06
1.361976e+01	1.588127e+01	8.443726e-06	1.937123e-06	1.937123e-06
1.588127e+01	1.851830e+01	6.097951e-06	1.524488e-06	1.524488e-06
