# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of first muon
XLabel=$y(\mu\mathrm{1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mu\mathrm{1})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	5.025150e-06	5.025149e-06	5.025149e-06
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	5.025150e-06	5.025149e-06	5.025149e-06
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.800000e+00	2.010060e-05	1.005030e-05	1.005030e-05
-2.800000e+00	-2.600000e+00	2.512575e-05	1.123658e-05	1.123658e-05
-2.600000e+00	-2.400000e+00	7.537725e-05	1.946232e-05	1.946232e-05
-2.400000e+00	-2.200000e+00	2.010060e-05	1.005030e-05	1.005030e-05
-2.200000e+00	-2.000000e+00	6.030180e-05	1.740763e-05	1.740763e-05
-2.000000e+00	-1.800000e+00	6.532695e-05	1.811844e-05	1.811844e-05
-1.800000e+00	-1.600000e+00	7.537725e-05	1.946232e-05	1.946232e-05
-1.600000e+00	-1.400000e+00	1.206036e-04	2.461811e-05	2.461811e-05
-1.400000e+00	-1.200000e+00	1.055282e-04	2.302813e-05	2.302813e-05
-1.200000e+00	-1.000000e+00	1.557797e-04	2.797885e-05	2.797885e-05
-1.000000e+00	-8.000000e-01	2.211066e-04	3.333307e-05	3.333307e-05
