# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between muons
LegendYPos=0.5
LegendXPos=0.30
XLabel=$\Delta\eta(\mu\mathrm{1,~}\mu\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\mu\mathrm{1,~}\mu\mathrm{2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_deta_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_deta_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_deta_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_deta_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_deta_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_deta_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_deta_12
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-3.800000e+00	2.512575e-06	2.512575e-06	2.512575e-06
-3.800000e+00	-3.400000e+00	7.537725e-06	4.351908e-06	4.351908e-06
-3.400000e+00	-3.000000e+00	5.025150e-06	3.553318e-06	3.553318e-06
-3.000000e+00	-2.600000e+00	1.256288e-05	5.618289e-06	5.618289e-06
-2.600000e+00	-2.200000e+00	3.015090e-05	8.703814e-06	8.703814e-06
-2.200000e+00	-1.800000e+00	3.517605e-05	9.401193e-06	9.401193e-06
-1.800000e+00	-1.400000e+00	7.286467e-05	1.353063e-05	1.353063e-05
-1.400000e+00	-1.000000e+00	1.055282e-04	1.628335e-05	1.628335e-05
-1.000000e+00	-6.000000e-01	1.683425e-04	2.056631e-05	2.056631e-05
-6.000000e-01	-2.000000e-01	1.984934e-04	2.233226e-05	2.233226e-05
-2.000000e-01	2.000000e-01	2.135689e-04	2.316480e-05	2.316480e-05
2.000000e-01	6.000000e-01	2.361821e-04	2.436032e-05	2.436032e-05
6.000000e-01	1.000000e+00	1.708551e-04	2.071922e-05	2.071922e-05
1.000000e+00	1.400000e+00	7.788983e-05	1.398942e-05	1.398942e-05
1.400000e+00	1.800000e+00	6.030180e-05	1.230905e-05	1.230905e-05
1.800000e+00	2.200000e+00	6.281437e-05	1.256287e-05	1.256287e-05
