# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between muons
LegendXPos=0.1
XLabel=$\Delta\phi(\mu\mathrm{1,~}\mu\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mu\mathrm{1,~}\mu\mathrm{2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dphi_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dphi_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dphi_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dphi_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dphi_12
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.679533e-04	3.665041e-05	3.665041e-05
1.256637e-01	2.513274e-01	7.997775e-05	2.529118e-05	2.529118e-05
2.513274e-01	3.769911e-01	2.159399e-04	4.155766e-05	4.155766e-05
3.769911e-01	5.026548e-01	1.759511e-04	3.751289e-05	3.751289e-05
5.026548e-01	6.283185e-01	1.519577e-04	3.486149e-05	3.486149e-05
6.283185e-01	7.539822e-01	1.999444e-04	3.998887e-05	3.998887e-05
7.539822e-01	8.796459e-01	1.759511e-04	3.751289e-05	3.751289e-05
8.796459e-01	1.005310e+00	2.159392e-04	4.155752e-05	4.155752e-05
1.005310e+00	1.130973e+00	2.399346e-04	4.380586e-05	4.380586e-05
1.130973e+00	1.256637e+00	2.319349e-04	4.306923e-05	4.306923e-05
1.256637e+00	1.382301e+00	1.839484e-04	3.835589e-05	3.835589e-05
1.382301e+00	1.507964e+00	1.759520e-04	3.751310e-05	3.751310e-05
1.507964e+00	1.633628e+00	1.519574e-04	3.486141e-05	3.486141e-05
1.633628e+00	1.759292e+00	1.599551e-04	3.576706e-05	3.576706e-05
1.759292e+00	1.884956e+00	1.759506e-04	3.751280e-05	3.751280e-05
1.884956e+00	2.010619e+00	1.679542e-04	3.665061e-05	3.665061e-05
2.010619e+00	2.136283e+00	2.319349e-04	4.306923e-05	4.306923e-05
2.136283e+00	2.261947e+00	2.159394e-04	4.155756e-05	4.155756e-05
2.261947e+00	2.387610e+00	1.679542e-04	3.665061e-05	3.665061e-05
2.387610e+00	2.513274e+00	2.159394e-04	4.155756e-05	4.155756e-05
2.513274e+00	2.638938e+00	2.159394e-04	4.155756e-05	4.155756e-05
2.638938e+00	2.764602e+00	2.319349e-04	4.306923e-05	4.306923e-05
2.764602e+00	2.890265e+00	1.839498e-04	3.835619e-05	3.835619e-05
2.890265e+00	3.015929e+00	2.239372e-04	4.232015e-05	4.232015e-05
3.015929e+00	3.141593e+00	2.319349e-04	4.306923e-05	4.306923e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dphi_12
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13000/muons_dphi_12
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	8.724811e-05	2.630630e-05	2.630630e-05
1.256637e-01	2.513274e-01	1.665646e-04	3.634737e-05	3.634737e-05
2.513274e-01	3.769911e-01	1.348380e-04	3.270301e-05	3.270301e-05
3.769911e-01	5.026548e-01	8.724811e-05	2.630630e-05	2.630630e-05
5.026548e-01	6.283185e-01	2.062228e-04	4.044362e-05	4.044362e-05
6.283185e-01	7.539822e-01	1.507013e-04	3.457324e-05	3.457324e-05
7.539822e-01	8.796459e-01	1.982912e-04	3.965823e-05	3.965823e-05
8.796459e-01	1.005310e+00	1.586324e-04	3.547129e-05	3.547129e-05
1.005310e+00	1.130973e+00	1.586338e-04	3.547160e-05	3.547160e-05
1.130973e+00	1.256637e+00	2.379488e-04	4.344331e-05	4.344331e-05
1.256637e+00	1.382301e+00	2.379488e-04	4.344331e-05	4.344331e-05
1.382301e+00	1.507964e+00	2.776092e-04	4.692452e-05	4.692452e-05
1.507964e+00	1.633628e+00	2.141539e-04	4.121394e-05	4.121394e-05
1.633628e+00	1.759292e+00	1.665642e-04	3.634729e-05	3.634729e-05
1.759292e+00	1.884956e+00	1.031112e-04	2.859789e-05	2.859789e-05
1.884956e+00	2.010619e+00	1.507021e-04	3.457343e-05	3.457343e-05
2.010619e+00	2.136283e+00	2.458804e-04	4.416143e-05	4.416143e-05
2.136283e+00	2.261947e+00	1.348377e-04	3.270293e-05	3.270293e-05
2.261947e+00	2.387610e+00	2.141556e-04	4.121427e-05	4.121427e-05
2.387610e+00	2.513274e+00	1.665642e-04	3.634729e-05	3.634729e-05
2.513274e+00	2.638938e+00	2.062223e-04	4.044352e-05	4.044352e-05
2.638938e+00	2.764602e+00	2.934702e-04	4.824621e-05	4.824621e-05
2.764602e+00	2.890265e+00	2.300190e-04	4.271346e-05	4.271346e-05
2.890265e+00	3.015929e+00	1.824274e-04	3.803875e-05	3.803875e-05
3.015929e+00	3.141593e+00	1.903591e-04	3.885688e-05	3.885688e-05
# END HISTO1D

