# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta{R}$ between photons and associated leptons
XLabel=$\Delta{R}$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR
ScaledBy=6.16557022276205233e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	1.193038e-01	4.288286e-03	4.288286e-03
4.000000e-02	8.000000e-02	4.423797e-02	2.611284e-03	2.611284e-03
8.000000e-02	1.200000e-01	4.978698e-02	2.770221e-03	2.770221e-03
1.200000e-01	1.600000e-01	6.042260e-02	3.051802e-03	3.051802e-03
1.600000e-01	2.000000e-01	6.381365e-02	3.136270e-03	3.136270e-03
2.000000e-01	2.400000e-01	7.521995e-02	3.405048e-03	3.405048e-03
2.400000e-01	2.800000e-01	9.556635e-02	3.838037e-03	3.838037e-03
2.800000e-01	3.200000e-01	9.618290e-02	3.850398e-03	3.850398e-03
3.200000e-01	3.600000e-01	1.179165e-01	4.263281e-03	4.263281e-03
3.600000e-01	4.000000e-01	1.176082e-01	4.257705e-03	4.257705e-03
4.000000e-01	4.400000e-01	1.459699e-01	4.743384e-03	4.743384e-03
4.400000e-01	4.800000e-01	1.453533e-01	4.733355e-03	4.733355e-03
4.800000e-01	5.200000e-01	1.630793e-01	5.013674e-03	5.013674e-03
5.200000e-01	5.600000e-01	1.663162e-01	5.063187e-03	5.063187e-03
5.600000e-01	6.000000e-01	1.866627e-01	5.363957e-03	5.363957e-03
6.000000e-01	6.400000e-01	1.976065e-01	5.518960e-03	5.518960e-03
6.400000e-01	6.800000e-01	2.011517e-01	5.568247e-03	5.568247e-03
6.800000e-01	7.200000e-01	1.966817e-01	5.506030e-03	5.506030e-03
7.200000e-01	7.600000e-01	2.125580e-01	5.723944e-03	5.723944e-03
7.600000e-01	8.000000e-01	2.154867e-01	5.763242e-03	5.763242e-03
8.000000e-01	8.400000e-01	2.127122e-01	5.726019e-03	5.726019e-03
8.400000e-01	8.800000e-01	2.421528e-01	6.109439e-03	6.109439e-03
8.800000e-01	9.200000e-01	2.484725e-01	6.188648e-03	6.188648e-03
9.200000e-01	9.600000e-01	2.473935e-01	6.175196e-03	6.175196e-03
9.600000e-01	1.000000e+00	2.486266e-01	6.190567e-03	6.190567e-03
1.000000e+00	1.040000e+00	2.515552e-01	6.226921e-03	6.226921e-03
1.040000e+00	1.080000e+00	2.563335e-01	6.285783e-03	6.285783e-03
1.080000e+00	1.120000e+00	2.575667e-01	6.300884e-03	6.300884e-03
1.120000e+00	1.160000e+00	2.688188e-01	6.437044e-03	6.437044e-03
1.160000e+00	1.200000e+00	2.683565e-01	6.431505e-03	6.431505e-03
1.200000e+00	1.240000e+00	2.829997e-01	6.604647e-03	6.604647e-03
1.240000e+00	1.280000e+00	2.763717e-01	6.526846e-03	6.526846e-03
1.280000e+00	1.320000e+00	2.725182e-01	6.481184e-03	6.481184e-03
1.320000e+00	1.360000e+00	2.746762e-01	6.506795e-03	6.506795e-03
1.360000e+00	1.400000e+00	2.715933e-01	6.470178e-03	6.470178e-03
1.400000e+00	1.440000e+00	2.891652e-01	6.676205e-03	6.676205e-03
1.440000e+00	1.480000e+00	2.743677e-01	6.503143e-03	6.503143e-03
1.480000e+00	1.520000e+00	2.919397e-01	6.708157e-03	6.708157e-03
1.520000e+00	1.560000e+00	2.843870e-01	6.620815e-03	6.620815e-03
1.560000e+00	1.600000e+00	2.896277e-01	6.681541e-03	6.681541e-03
1.600000e+00	1.640000e+00	2.814583e-01	6.586636e-03	6.586636e-03
1.640000e+00	1.680000e+00	2.970262e-01	6.766345e-03	6.766345e-03
1.680000e+00	1.720000e+00	2.896277e-01	6.681541e-03	6.681541e-03
1.720000e+00	1.760000e+00	2.845410e-01	6.622609e-03	6.622609e-03
1.760000e+00	1.800000e+00	2.890110e-01	6.674426e-03	6.674426e-03
1.800000e+00	1.840000e+00	2.866990e-01	6.647674e-03	6.647674e-03
1.840000e+00	1.880000e+00	2.833080e-01	6.608243e-03	6.608243e-03
1.880000e+00	1.920000e+00	2.879322e-01	6.661955e-03	6.661955e-03
1.920000e+00	1.960000e+00	2.928645e-01	6.718775e-03	6.718775e-03
1.960000e+00	2.000000e+00	2.896277e-01	6.681541e-03	6.681541e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR
ScaledBy=6.27037873087534487e-06
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	1.214886e-01	4.363999e-03	4.363999e-03
4.000000e-02	8.000000e-02	4.232505e-02	2.575821e-03	2.575821e-03
8.000000e-02	1.200000e-01	5.157388e-02	2.843360e-03	2.843360e-03
1.200000e-01	1.600000e-01	5.580637e-02	2.957731e-03	2.957731e-03
1.600000e-01	2.000000e-01	6.536870e-02	3.201119e-03	3.201119e-03
2.000000e-01	2.400000e-01	8.010410e-02	3.543596e-03	3.543596e-03
2.400000e-01	2.800000e-01	8.417982e-02	3.632628e-03	3.632628e-03
