# BEGIN PLOT
Legend=1
LogY=1
Title=Phase-space weighted $\Delta{R}$ between photons and associated leptons
XLabel=$\Delta{R}$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R
ScaledBy=4.38632928542397427e-07
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	2.374876e+01	2.567425e+00	2.567425e+00
4.000000e-02	8.000000e-02	5.581038e-02	3.361016e-03	3.361016e-03
8.000000e-02	1.200000e-01	3.567988e-02	1.998880e-03	1.998880e-03
1.200000e-01	1.600000e-01	3.074925e-02	1.558290e-03	1.558290e-03
1.600000e-01	2.000000e-01	2.520902e-02	1.241462e-03	1.241462e-03
2.000000e-01	2.400000e-01	2.435949e-02	1.104190e-03	1.104190e-03
2.400000e-01	2.800000e-01	2.613090e-02	1.050427e-03	1.050427e-03
2.800000e-01	3.200000e-01	2.282987e-02	9.146119e-04	9.146119e-04
3.200000e-01	3.600000e-01	2.467073e-02	8.924489e-04	8.924489e-04
3.600000e-01	4.000000e-01	2.200138e-02	7.968720e-04	7.968720e-04
4.000000e-01	4.400000e-01	2.473985e-02	8.042256e-04	8.042256e-04
4.400000e-01	4.800000e-01	2.250130e-02	7.329713e-04	7.329713e-04
4.800000e-01	5.200000e-01	2.320296e-02	7.135374e-04	7.135374e-04
5.200000e-01	5.600000e-01	2.189209e-02	6.666162e-04	6.666162e-04
5.600000e-01	6.000000e-01	2.290089e-02	6.582028e-04	6.582028e-04
6.000000e-01	6.400000e-01	2.267650e-02	6.334427e-04	6.334427e-04
6.400000e-01	6.800000e-01	2.169076e-02	6.005300e-04	6.005300e-04
6.800000e-01	7.200000e-01	1.999416e-02	5.598038e-04	5.598038e-04
7.200000e-01	7.600000e-01	2.044228e-02	5.505545e-04	5.505545e-04
7.600000e-01	8.000000e-01	1.966189e-02	5.259212e-04	5.259212e-04
8.000000e-01	8.400000e-01	1.845555e-02	4.968551e-04	4.968551e-04
8.400000e-01	8.800000e-01	2.003685e-02	5.055705e-04	5.055705e-04
8.800000e-01	9.200000e-01	1.964580e-02	4.893535e-04	4.893535e-04
9.200000e-01	9.600000e-01	1.872342e-02	4.673907e-04	4.673907e-04
9.600000e-01	1.000000e+00	1.805032e-02	4.494666e-04	4.494666e-04
1.000000e+00	1.040000e+00	1.754573e-02	4.343494e-04	4.343494e-04
1.040000e+00	1.080000e+00	1.720601e-02	4.219489e-04	4.219489e-04
1.080000e+00	1.120000e+00	1.666548e-02	4.077124e-04	4.077124e-04
1.120000e+00	1.160000e+00	1.677639e-02	4.017420e-04	4.017420e-04
1.160000e+00	1.200000e+00	1.618414e-02	3.878920e-04	3.878920e-04
1.200000e+00	1.240000e+00	1.650097e-02	3.851164e-04	3.851164e-04
1.240000e+00	1.280000e+00	1.560974e-02	3.686581e-04	3.686581e-04
1.280000e+00	1.320000e+00	1.491404e-02	3.547078e-04	3.547078e-04
1.320000e+00	1.360000e+00	1.457909e-02	3.453770e-04	3.453770e-04
1.360000e+00	1.400000e+00	1.399641e-02	3.334485e-04	3.334485e-04
1.400000e+00	1.440000e+00	1.448542e-02	3.344481e-04	3.344481e-04
1.440000e+00	1.480000e+00	1.336532e-02	3.167984e-04	3.167984e-04
1.480000e+00	1.520000e+00	1.384920e-02	3.182347e-04	3.182347e-04
1.520000e+00	1.560000e+00	1.314010e-02	3.059235e-04	3.059235e-04
1.560000e+00	1.600000e+00	1.304095e-02	3.008551e-04	3.008551e-04
1.600000e+00	1.640000e+00	1.235781e-02	2.892026e-04	2.892026e-04
1.640000e+00	1.680000e+00	1.273148e-02	2.900339e-04	2.900339e-04
1.680000e+00	1.720000e+00	1.212148e-02	2.796420e-04	2.796420e-04
1.720000e+00	1.760000e+00	1.163500e-02	2.708072e-04	2.708072e-04
1.760000e+00	1.800000e+00	1.155025e-02	2.667471e-04	2.667471e-04
1.800000e+00	1.840000e+00	1.120544e-02	2.598249e-04	2.598249e-04
1.840000e+00	1.880000e+00	1.083834e-02	2.528123e-04	2.528123e-04
1.880000e+00	1.920000e+00	1.078192e-02	2.494684e-04	2.494684e-04
1.920000e+00	1.960000e+00	1.073817e-02	2.463551e-04	2.463551e-04
1.960000e+00	2.000000e+00	1.040385e-02	2.400148e-04	2.400148e-04
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R
ScaledBy=3.91634483776600229e-07
Title=VBSZZ@NLO(v352)
