# BEGIN PLOT
Legend=1
LogY=1
Title=Phase-space \& $p_\perp$-weighted $\Delta{R}$ between photons and associated leptons
XLabel=$\Delta{R}$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_ptweighted //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_ptweighted
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_ptweighted //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_ptweighted
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_ptweighted
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_ptweighted
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_ptweighted
ScaledBy=4.61339879561688351e-08
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	2.486015e+01	8.440346e+00	8.440346e+00
4.000000e-02	8.000000e-02	1.947495e-02	4.645768e-03	4.645768e-03
8.000000e-02	1.200000e-01	6.846880e-03	1.217191e-03	1.217191e-03
1.200000e-01	1.600000e-01	2.938260e-03	6.051910e-04	6.051910e-04
1.600000e-01	2.000000e-01	3.095637e-03	5.802482e-04	5.802482e-04
2.000000e-01	2.400000e-01	2.556568e-03	6.160519e-04	6.160519e-04
2.400000e-01	2.800000e-01	2.214975e-03	6.019981e-04	6.019981e-04
2.800000e-01	3.200000e-01	2.192897e-03	3.775902e-04	3.775902e-04
3.200000e-01	3.600000e-01	3.224835e-03	6.922621e-04	6.922621e-04
3.600000e-01	4.000000e-01	2.560397e-03	6.024851e-04	6.024851e-04
4.000000e-01	4.400000e-01	2.065756e-03	3.077973e-04	3.077973e-04
4.400000e-01	4.800000e-01	2.003404e-03	2.708773e-04	2.708773e-04
4.800000e-01	5.200000e-01	1.985078e-03	2.855035e-04	2.855035e-04
5.200000e-01	5.600000e-01	1.473009e-03	1.432039e-04	1.432039e-04
5.600000e-01	6.000000e-01	2.706225e-03	3.780581e-04	3.780581e-04
6.000000e-01	6.400000e-01	2.334689e-03	3.373736e-04	3.373736e-04
6.400000e-01	6.800000e-01	2.150092e-03	2.496167e-04	2.496167e-04
6.800000e-01	7.200000e-01	1.362267e-03	1.458349e-04	1.458349e-04
