# BEGIN PLOT
Legend=1
LogY=1
Title=Phase-space weighted $\Delta{R}$ between photons and associated leptons
XLabel=Lepton $p_\perp$ [GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_vs_pTlep
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_vs_pTlep
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_vs_pTlep
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_vs_pTlep
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_R_vs_pTlep
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	4.146665e-01	4.121013e-01	4.121013e-01
1.220000e+01	1.440000e+01	2.292655e-01	4.910656e-01	4.910656e-01
1.440000e+01	1.660000e+01	2.161945e-01	4.871348e-01	4.871348e-01
1.660000e+01	1.880000e+01	1.613906e-01	3.693831e-01	3.693831e-01
1.880000e+01	2.100000e+01	4.170034e-01	2.809962e-01	2.809962e-01
2.100000e+01	2.320000e+01	2.444811e-01	4.404768e-01	4.404768e-01
2.320000e+01	2.540000e+01	1.216807e-01	3.802402e-01	3.802402e-01
2.540000e+01	2.760000e+01	5.045992e-01	3.806780e-01	3.806780e-01
2.760000e+01	2.980000e+01	7.691011e-02	1.952985e-01	1.952985e-01
2.980000e+01	3.200000e+01	7.986550e-02	2.531915e-01	2.531915e-01
3.200000e+01	3.420000e+01	9.718848e-02	4.104590e-01	4.104590e-01
3.420000e+01	3.640000e+01	2.512521e-01	3.879010e-01	3.879010e-01
3.640000e+01	3.860000e+01	1.728715e-01	6.230753e-01	6.230753e-01
3.860000e+01	4.080000e+01	6.774822e-02	2.505201e-01	2.505201e-01
4.080000e+01	4.300000e+01	8.033631e-02	1.960506e-01	1.960506e-01
4.300000e+01	4.520000e+01	1.783421e-01	3.273270e-01	3.273270e-01
4.520000e+01	4.740000e+01	6.260804e-02	2.008640e-01	2.008640e-01
4.740000e+01	4.960000e+01	4.477151e-02	1.812368e-01	1.812368e-01
4.960000e+01	5.180000e+01	7.333821e-01	2.034274e-01	2.034274e-01
5.180000e+01	5.400000e+01	1.632426e-01	4.080845e-01	4.080845e-01
5.400000e+01	5.620000e+01	4.254014e-02	2.556366e-01	2.556366e-01
5.620000e+01	5.840000e+01	7.881995e-02	3.753699e-01	3.753699e-01
5.840000e+01	6.060000e+01	3.445234e-02	2.614721e-01	2.614721e-01
6.060000e+01	6.280000e+01	1.775036e-01	9.184909e-01	9.184909e-01
6.280000e+01	6.500000e+01	6.066390e-02	3.296835e-01	3.296835e-01
6.500000e+01	6.720000e+01	4.521581e-02	2.774681e-01	2.774681e-01
6.720000e+01	6.940000e+01	3.192675e-01	6.094863e-01	6.094863e-01
