# BEGIN PLOT
Legend=1
LogY=1
Title=$p_\perp$-weighted $\Delta{R}$ between photons and associated leptons
XLabel=$\Delta{R}$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted
ScaledBy=7.03605089541487306e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	7.224955e-01	8.402020e-02	8.402020e-02
4.000000e-02	8.000000e-02	1.645582e-01	3.938356e-02	3.938356e-02
8.000000e-02	1.200000e-01	1.039517e-01	1.884275e-02	1.884275e-02
1.200000e-01	1.600000e-01	6.244982e-02	1.300627e-02	1.300627e-02
1.600000e-01	2.000000e-01	8.501800e-02	1.606631e-02	1.606631e-02
2.000000e-01	2.400000e-01	8.595915e-02	2.039738e-02	2.039738e-02
2.400000e-01	2.800000e-01	8.753402e-02	2.340079e-02	2.340079e-02
2.800000e-01	3.200000e-01	1.001375e-01	1.731142e-02	1.731142e-02
3.200000e-01	3.600000e-01	1.660834e-01	3.547918e-02	3.547918e-02
3.600000e-01	4.000000e-01	1.494400e-01	3.528781e-02	3.528781e-02
4.000000e-01	4.400000e-01	1.321408e-01	1.980383e-02	1.980383e-02
4.400000e-01	4.800000e-01	1.414759e-01	1.931630e-02	1.931630e-02
4.800000e-01	5.200000e-01	1.501104e-01	2.144202e-02	2.144202e-02
5.200000e-01	5.600000e-01	1.217161e-01	1.189336e-02	1.189336e-02
5.600000e-01	6.000000e-01	2.387991e-01	3.323455e-02	3.323455e-02
6.000000e-01	6.400000e-01	2.202207e-01	3.177612e-02	3.177612e-02
6.400000e-01	6.800000e-01	2.170129e-01	2.527122e-02	2.527122e-02
6.800000e-01	7.200000e-01	1.452981e-01	1.556154e-02	1.556154e-02
7.200000e-01	7.600000e-01	2.805122e-01	3.414200e-02	3.414200e-02
7.600000e-01	8.000000e-01	2.922902e-01	5.038386e-02	5.038386e-02
8.000000e-01	8.400000e-01	2.241276e-01	2.347904e-02	2.347904e-02
8.400000e-01	8.800000e-01	2.961965e-01	3.564594e-02	3.564594e-02
8.800000e-01	9.200000e-01	3.011462e-01	3.632751e-02	3.632751e-02
9.200000e-01	9.600000e-01	2.966183e-01	3.045903e-02	3.045903e-02
9.600000e-01	1.000000e+00	3.007587e-01	3.346452e-02	3.346452e-02
1.000000e+00	1.040000e+00	3.493980e-01	5.985458e-02	5.985458e-02
1.040000e+00	1.080000e+00	2.327274e-01	3.115459e-02	3.115459e-02
1.080000e+00	1.120000e+00	2.635240e-01	2.608455e-02	2.608455e-02
1.120000e+00	1.160000e+00	3.578898e-01	4.193584e-02	4.193584e-02
1.160000e+00	1.200000e+00	3.506772e-01	3.119653e-02	3.119653e-02
1.200000e+00	1.240000e+00	3.077522e-01	2.234260e-02	2.234260e-02
1.240000e+00	1.280000e+00	2.527455e-01	2.554673e-02	2.554673e-02
1.280000e+00	1.320000e+00	3.341780e-01	3.758038e-02	3.758038e-02
1.320000e+00	1.360000e+00	3.455107e-01	4.432203e-02	4.432203e-02
