# BEGIN PLOT
Legend=1
LogY=1
Title=$p_\perp$-weighted $\Delta{R}_{\gamma\ell}$ vs. lepton $p_\perp$
XLabel=Lepton $p_\perp$ [GeV]
YLabel=$\langle\mathrm{Weighted}\quad\Delta{R}_{\gamma\ell}\rangle$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted_vs_pTlep
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted_vs_pTlep
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted_vs_pTlep
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted_vs_pTlep
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_ptweighted_vs_pTlep
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	1.975067e+00	7.778321e-02	7.778321e-02
1.220000e+01	1.440000e+01	1.900959e+00	8.645815e-02	8.645815e-02
1.440000e+01	1.660000e+01	1.929153e+00	7.758126e-02	7.758126e-02
1.660000e+01	1.880000e+01	1.949683e+00	8.119509e-02	8.119509e-02
1.880000e+01	2.100000e+01	2.018935e+00	9.373180e-02	9.373180e-02
2.100000e+01	2.320000e+01	2.009152e+00	7.994996e-02	7.994996e-02
2.320000e+01	2.540000e+01	2.015150e+00	1.011605e-01	1.011605e-01
2.540000e+01	2.760000e+01	2.148678e+00	6.568231e-02	6.568231e-02
2.760000e+01	2.980000e+01	1.731431e+00	8.984449e-02	8.984449e-02
2.980000e+01	3.200000e+01	1.846323e+00	7.524842e-02	7.524842e-02
3.200000e+01	3.420000e+01	1.952758e+00	7.929329e-02	7.929329e-02
3.420000e+01	3.640000e+01	2.116060e+00	9.100449e-02	9.100449e-02
3.640000e+01	3.860000e+01	2.321593e+00	1.194447e-01	1.194447e-01
3.860000e+01	4.080000e+01	1.892748e+00	1.076993e-01	1.076993e-01
4.080000e+01	4.300000e+01	1.951743e+00	8.734381e-02	8.734381e-02
4.300000e+01	4.520000e+01	2.101343e+00	7.288008e-02	7.288008e-02
4.520000e+01	4.740000e+01	1.877577e+00	8.664361e-02	8.664361e-02
4.740000e+01	4.960000e+01	1.924224e+00	1.213168e-01	1.213168e-01
4.960000e+01	5.180000e+01	1.739347e+00	8.635985e-02	8.635985e-02
5.180000e+01	5.400000e+01	1.890436e+00	6.540246e-02	6.540246e-02
