# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta{R}_{\gamma\ell}$ vs. lepton $p_\perp$
XLabel=Lepton $p_\perp$ [GeV]
YLabel=$\langle\Delta{R}_{\gamma\ell}\rangle$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	2.535131e+00	2.030166e-02	2.030166e-02
1.220000e+01	1.440000e+01	2.386289e+00	2.433503e-02	2.433503e-02
1.440000e+01	1.660000e+01	2.368047e+00	1.920944e-02	1.920944e-02
1.660000e+01	1.880000e+01	2.461007e+00	2.126104e-02	2.126104e-02
1.880000e+01	2.100000e+01	2.331566e+00	2.136406e-02	2.136406e-02
2.100000e+01	2.320000e+01	2.348651e+00	1.786181e-02	1.786181e-02
2.320000e+01	2.540000e+01	2.422214e+00	1.963357e-02	1.963357e-02
2.540000e+01	2.760000e+01	2.502043e+00	1.884804e-02	1.884804e-02
2.760000e+01	2.980000e+01	2.260938e+00	1.872707e-02	1.872707e-02
2.980000e+01	3.200000e+01	2.321025e+00	1.874528e-02	1.874528e-02
3.200000e+01	3.420000e+01	2.376006e+00	1.948011e-02	1.948011e-02
3.420000e+01	3.640000e+01	2.382955e+00	2.012029e-02	2.012029e-02
3.640000e+01	3.860000e+01	2.584910e+00	2.271666e-02	2.271666e-02
3.860000e+01	4.080000e+01	2.421990e+00	2.031822e-02	2.031822e-02
4.080000e+01	4.300000e+01	2.352908e+00	2.170322e-02	2.170322e-02
4.300000e+01	4.520000e+01	2.459260e+00	2.160901e-02	2.160901e-02
4.520000e+01	4.740000e+01	2.304177e+00	2.401365e-02	2.401365e-02
4.740000e+01	4.960000e+01	2.203359e+00	2.325016e-02	2.325016e-02
4.960000e+01	5.180000e+01	2.326309e+00	2.523839e-02	2.523839e-02
5.180000e+01	5.400000e+01	2.317551e+00	2.231674e-02	2.231674e-02
5.400000e+01	5.620000e+01	2.503347e+00	2.564455e-02	2.564455e-02
5.620000e+01	5.840000e+01	2.538008e+00	2.392592e-02	2.392592e-02
5.840000e+01	6.060000e+01	2.148939e+00	2.583446e-02	2.583446e-02
6.060000e+01	6.280000e+01	2.273325e+00	2.728936e-02	2.728936e-02
6.280000e+01	6.500000e+01	2.543471e+00	2.563957e-02	2.563957e-02
6.500000e+01	6.720000e+01	2.339319e+00	2.586816e-02	2.586816e-02
6.720000e+01	6.940000e+01	2.519995e+00	3.264472e-02	3.264472e-02
6.940000e+01	7.160000e+01	2.452340e+00	2.826149e-02	2.826149e-02
7.160000e+01	7.380000e+01	2.587507e+00	3.064381e-02	3.064381e-02
7.380000e+01	7.600000e+01	2.387561e+00	2.970937e-02	2.970937e-02
7.600000e+01	7.820000e+01	2.393783e+00	2.527173e-02	2.527173e-02
7.820000e+01	8.040000e+01	2.347065e+00	2.628541e-02	2.628541e-02
8.040000e+01	8.260000e+01	2.214657e+00	3.632484e-02	3.632484e-02
8.260000e+01	8.480000e+01	2.434934e+00	4.066119e-02	4.066119e-02
8.480000e+01	8.700000e+01	2.456005e+00	3.389170e-02	3.389170e-02
8.700000e+01	8.920000e+01	2.293438e+00	3.581109e-02	3.581109e-02
8.920000e+01	9.140000e+01	2.218024e+00	3.473415e-02	3.473415e-02
9.140000e+01	9.360000e+01	2.404690e+00	3.021451e-02	3.021451e-02
9.360000e+01	9.580000e+01	2.668258e+00	3.556562e-02	3.556562e-02
9.580000e+01	9.800000e+01	2.396665e+00	4.344263e-02	4.344263e-02
9.800000e+01	1.002000e+02	2.306965e+00	4.104617e-02	4.104617e-02
1.002000e+02	1.024000e+02	2.472420e+00	3.806043e-02	3.806043e-02
1.024000e+02	1.046000e+02	2.334170e+00	3.543225e-02	3.543225e-02
1.046000e+02	1.068000e+02	2.464126e+00	4.374133e-02	4.374133e-02
1.068000e+02	1.090000e+02	2.561805e+00	4.480494e-02	4.480494e-02
1.090000e+02	1.112000e+02	2.426328e+00	3.693536e-02	3.693536e-02
1.112000e+02	1.134000e+02	2.507137e+00	4.826732e-02	4.826732e-02
1.134000e+02	1.156000e+02	2.096944e+00	4.175613e-02	4.175613e-02
1.156000e+02	1.178000e+02	2.435768e+00	4.330066e-02	4.330066e-02
1.178000e+02	1.200000e+02	2.405815e+00	4.699707e-02	4.699707e-02
# END HISTO1D


