# BEGIN PLOT
Legend=1
LogY=1
Title=Photon energy
XLabel=$E_\gamma$ [GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/Egamma //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/Egamma
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/Egamma //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/Egamma
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/Egamma
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/Egamma
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/Egamma
ScaledBy=5.98365266093033842e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	1.219047e-02	5.381402e-01	3.834089e-02	3.834089e-02
1.219047e-02	1.486077e-02	5.714081e-01	3.578297e-02	3.578297e-02
1.486077e-02	1.811598e-02	6.286565e-01	3.399385e-02	3.399385e-02
1.811598e-02	2.208424e-02	7.041792e-01	3.258552e-02	3.258552e-02
2.208424e-02	2.692173e-02	7.644247e-01	3.074967e-02	3.074967e-02
2.692173e-02	3.281887e-02	8.401469e-01	2.919712e-02	2.919712e-02
3.281887e-02	4.000776e-02	9.313965e-01	2.784323e-02	2.784323e-02
4.000776e-02	4.877135e-02	9.128843e-01	2.496606e-02	2.496606e-02
4.877135e-02	5.945459e-02	8.888743e-01	2.231269e-02	2.231269e-02
5.945459e-02	7.247797e-02	9.671522e-01	2.107991e-02	2.107991e-02
7.247797e-02	8.835408e-02	9.592022e-01	1.901368e-02	1.901368e-02
8.835408e-02	1.077078e-01	9.040226e-01	1.671824e-02	1.671824e-02
1.077078e-01	1.313009e-01	9.051655e-01	1.515146e-02	1.515146e-02
1.313009e-01	1.600621e-01	8.367610e-01	1.319412e-02	1.319412e-02
1.600621e-01	1.951232e-01	7.794205e-01	1.153337e-02	1.153337e-02
1.951232e-01	2.378645e-01	7.057247e-01	9.939786e-03	9.939786e-03
2.378645e-01	2.899681e-01	6.238187e-01	8.464057e-03	8.464057e-03
2.899681e-01	3.534848e-01	5.611850e-01	7.270968e-03	7.270968e-03
3.534848e-01	4.309148e-01	4.806705e-01	6.094700e-03	6.094700e-03
4.309148e-01	5.253056e-01	4.152197e-01	5.130472e-03	5.130472e-03
5.253056e-01	6.403724e-01	3.440423e-01	4.229744e-03	4.229744e-03
6.403724e-01	7.806443e-01	2.907537e-01	3.521766e-03	3.521766e-03
7.806443e-01	9.516424e-01	2.375642e-01	2.883221e-03	2.883221e-03
9.516424e-01	1.160097e+00	1.928964e-01	2.353095e-03	2.353095e-03
1.160097e+00	1.414214e+00	1.570104e-01	1.922784e-03	1.922784e-03
1.414214e+00	1.723993e+00	1.270984e-01	1.566850e-03	1.566850e-03
1.723993e+00	2.101630e+00	9.968080e-02	1.256758e-03	1.256758e-03
2.101630e+00	2.561986e+00	8.270551e-02	1.036820e-03	1.036820e-03
2.561986e+00	3.123183e+00	6.514668e-02	8.334347e-04	8.334347e-04
3.123183e+00	3.807308e+00	5.121910e-02	6.693164e-04	6.693164e-04
3.807308e+00	4.641289e+00	3.983453e-02	5.346074e-04	5.346074e-04
4.641289e+00	5.657951e+00	3.132898e-02	4.294059e-04	4.294059e-04
5.657951e+00	6.897311e+00	2.391317e-02	3.397841e-04	3.397841e-04
6.897311e+00	8.408149e+00	1.806773e-02	2.675014e-04	2.675014e-04
8.408149e+00	1.024993e+01	1.364838e-02	2.105740e-04	2.105740e-04
1.024993e+01	1.249515e+01	1.021519e-02	1.649973e-04	1.649973e-04
1.249515e+01	1.523218e+01	7.000164e-03	1.237079e-04	1.237079e-04
1.523218e+01	1.856876e+01	4.989097e-03	9.458960e-05	9.458960e-05
1.856876e+01	2.263619e+01	3.554210e-03	7.230940e-05	7.230940e-05
2.263619e+01	2.759459e+01	2.377339e-03	5.356214e-05	5.356214e-05
2.759459e+01	3.363912e+01	1.610614e-03	3.992984e-05	3.992984e-05
3.363912e+01	4.100768e+01	9.931394e-04	2.839860e-05	2.839860e-05
4.100768e+01	4.999031e+01	6.608068e-04	2.098064e-05	2.098064e-05
4.999031e+01	6.094055e+01	4.251306e-04	1.524167e-05	1.524167e-05
6.094055e+01	7.428942e+01	2.590894e-04	1.077670e-05	1.077670e-05
7.428942e+01	9.056233e+01	1.617908e-04	7.713073e-06	7.713073e-06
9.056233e+01	1.103998e+02	1.013490e-04	5.529041e-06	5.529041e-06
1.103998e+02	1.345826e+02	6.754954e-05	4.088285e-06	4.088285e-06
1.345826e+02	1.640625e+02	3.755020e-05	2.760745e-06	2.760745e-06
1.640625e+02	2.000000e+02	2.164521e-05	1.898411e-06	1.898411e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/Egamma
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/Egamma
ScaledBy=6.00070808355385937e-06
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	1.219047e-02	5.725474e-01	3.960393e-02	3.960393e-02
1.219047e-02	1.486077e-02	5.325873e-01	3.459526e-02	3.459526e-02
1.486077e-02	1.811598e-02	6.212315e-01	3.384062e-02	3.384062e-02
1.811598e-02	2.208424e-02	6.895523e-01	3.229124e-02	3.229124e-02
2.208424e-02	2.692173e-02	7.666038e-01	3.083732e-02	3.083732e-02
2.692173e-02	3.281887e-02	8.313486e-01	2.908520e-02	2.908520e-02
3.281887e-02	4.000776e-02	8.255377e-01	2.625057e-02	2.625057e-02
4.000776e-02	4.877135e-02	8.928901e-01	2.472631e-02	2.472631e-02
4.877135e-02	5.945459e-02	9.571263e-01	2.318645e-02	2.318645e-02
5.945459e-02	7.247797e-02	9.454880e-01	2.087216e-02	2.087216e-02
7.247797e-02	8.835408e-02	9.505968e-01	1.895516e-02	1.895516e-02
8.835408e-02	1.077078e-01	9.394654e-01	1.706708e-02	1.706708e-02
1.077078e-01	1.313009e-01	8.810394e-01	1.496947e-02	1.496947e-02
