# BEGIN PLOT
Legend=1
LogY=1
Title=Scalar sum of photon $p_\perp$
XLabel=$\sum{p_\perp^\gamma}$ [GeV]
YLabel=$1/\sigma \, \mathrm{d}\sigma/\mathrm{d}\sum{p_\perp^\gamma}$ [GeV$^{-1}$]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma
ScaledBy=1.00000000000000002e-03
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	1.800000e+01	5.000000e-04	5.000000e-04	5.000000e-04
1.800000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.200000e+01	5.000000e-04	5.000000e-04	5.000000e-04
2.200000e+01	2.400000e+01	5.000000e-04	5.000000e-04	5.000000e-04
2.400000e+01	2.600000e+01	1.000000e-03	7.071068e-04	7.071068e-04
2.600000e+01	2.800000e+01	5.000000e-04	5.000000e-04	5.000000e-04
2.800000e+01	3.000000e+01	2.000000e-03	1.000000e-03	1.000000e-03
3.000000e+01	3.200000e+01	5.000000e-04	5.000000e-04	5.000000e-04
3.200000e+01	3.400000e+01	2.000000e-03	1.000000e-03	1.000000e-03
3.400000e+01	3.600000e+01	1.000000e-03	7.071068e-04	7.071068e-04
3.600000e+01	3.800000e+01	1.500000e-03	8.660254e-04	8.660254e-04
3.800000e+01	4.000000e+01	2.000000e-03	1.000000e-03	1.000000e-03
4.000000e+01	4.200000e+01	1.000000e-03	7.071068e-04	7.071068e-04
4.200000e+01	4.400000e+01	2.500000e-03	1.118034e-03	1.118034e-03
4.400000e+01	4.600000e+01	3.500000e-03	1.322876e-03	1.322876e-03
4.600000e+01	4.800000e+01	3.500000e-03	1.322876e-03	1.322876e-03
4.800000e+01	5.000000e+01	4.000000e-03	1.414214e-03	1.414214e-03
