# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of leading tau
XLabel=$p_\perp(\tau\mathrm{1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\tau\mathrm{1})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_pt_1
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.084224e+00	1.193282e-05	1.193282e-05	1.193282e-05
1.084224e+00	1.175541e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.175541e+00	1.274549e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.274549e+00	1.381896e+00	9.362441e-06	9.362440e-06	9.362440e-06
1.381896e+00	1.498284e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.498284e+00	1.624475e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.624475e+00	1.761294e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.761294e+00	1.909636e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.909636e+00	2.070473e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.070473e+00	2.244855e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.244855e+00	2.433925e+00	5.315650e-06	5.315649e-06	5.315649e-06
2.433925e+00	2.638919e+00	4.902729e-06	4.902728e-06	4.902728e-06
2.638919e+00	2.861178e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.861178e+00	3.102156e+00	8.341259e-06	5.898162e-06	5.898162e-06
3.102156e+00	3.363431e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.363431e+00	3.646711e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.646711e+00	3.953850e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.953850e+00	4.286857e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.286857e+00	4.647911e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.647911e+00	5.039375e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.039375e+00	5.463809e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.463809e+00	5.923990e+00	2.183988e-06	2.183988e-06	2.183988e-06
5.923990e+00	6.422930e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.422930e+00	6.963892e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.963892e+00	7.550415e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.550415e+00	8.186338e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.186338e+00	8.875820e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.875820e+00	9.623373e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.623373e+00	1.043389e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.043389e+01	1.131267e+01	0.000000e+00	0.000000e+00	0.000000e+00
