# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between taus
LegendYPos=0.5
LegendXPos=0.30
XLabel=$\Delta\eta(\tau\mathrm{1,~}\tau\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\tau\mathrm{1,~}\tau\mathrm{2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/taus_deta_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/taus_deta_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/taus_deta_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/taus_deta_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/taus_deta_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/taus_deta_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/taus_deta_12
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.000000e+00	1.256288e-05	5.618289e-06	5.618289e-06
-3.000000e+00	-2.600000e+00	7.537725e-06	4.351908e-06	4.351908e-06
-2.600000e+00	-2.200000e+00	2.010060e-05	7.106635e-06	7.106635e-06
-2.200000e+00	-1.800000e+00	4.773892e-05	1.095206e-05	1.095206e-05
-1.800000e+00	-1.400000e+00	7.286467e-05	1.353063e-05	1.353063e-05
-1.400000e+00	-1.000000e+00	1.030156e-04	1.608833e-05	1.608833e-05
-1.000000e+00	-6.000000e-01	1.482419e-04	1.929945e-05	1.929945e-05
-6.000000e-01	-2.000000e-01	2.110563e-04	2.302813e-05	2.302813e-05
-2.000000e-01	2.000000e-01	1.834180e-04	2.146745e-05	2.146745e-05
2.000000e-01	6.000000e-01	2.211066e-04	2.357004e-05	2.357004e-05
6.000000e-01	1.000000e+00	1.432168e-04	1.896952e-05	1.896952e-05
1.000000e+00	1.400000e+00	7.286468e-05	1.353063e-05	1.353063e-05
1.400000e+00	1.800000e+00	3.768862e-05	9.731161e-06	9.731161e-06
1.800000e+00	2.200000e+00	3.266347e-05	9.059218e-06	9.059218e-06
