# BEGIN PLOT
Legend=1
LogY=1
Title=Z $p_\perp$
XLabel=$p_\perp^{\mathrm{Z}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp^{\mathrm{Z}}$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_pT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_pT
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_pT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_pT
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_pT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_pT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_pT
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.091765e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.091765e+00	1.191951e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.191951e+00	1.301330e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.301330e+00	1.420746e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.420746e+00	1.551121e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.551121e+00	1.693459e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.693459e+00	1.848860e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.848860e+00	2.018520e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.018520e+00	2.203749e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.203749e+00	2.405976e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.405976e+00	2.626760e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.626760e+00	2.867805e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.867805e+00	3.130969e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.130969e+00	3.418282e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.418282e+00	3.731960e+00	3.204018e-06	3.204018e-06	3.204018e-06
3.731960e+00	4.074423e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.074423e+00	4.448312e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.448312e+00	4.856511e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.856511e+00	5.302169e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.302169e+00	5.788722e+00	2.065613e-06	2.065612e-06	2.065612e-06
5.788722e+00	6.319923e+00	1.891996e-06	1.891995e-06	1.891995e-06
6.319923e+00	6.899870e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.899870e+00	7.533037e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.533037e+00	8.224305e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.224305e+00	8.979008e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.979008e+00	9.802965e+00	2.439521e-06	1.725002e-06	1.725002e-06
9.802965e+00	1.070253e+01	1.117240e-06	1.117240e-06	1.117240e-06
1.070253e+01	1.168465e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.168465e+01	1.275689e+01	1.874636e-06	1.325568e-06	1.325568e-06
1.275689e+01	1.392753e+01	8.585304e-07	8.585302e-07	8.585302e-07
1.392753e+01	1.520559e+01	2.359115e-06	1.362035e-06	1.362035e-06
1.520559e+01	1.660092e+01	7.202812e-07	7.202811e-07	7.202811e-07
1.660092e+01	1.812431e+01	1.979198e-06	1.142690e-06	1.142690e-06
1.812431e+01	1.978748e+01	1.208572e-06	8.545892e-07	8.545892e-07
1.978748e+01	2.160328e+01	2.213966e-06	1.106983e-06	1.106983e-06
2.160328e+01	2.358570e+01	1.013943e-06	7.169657e-07	7.169657e-07
2.358570e+01	2.575004e+01	9.287173e-07	6.567024e-07	6.567024e-07
2.575004e+01	2.811299e+01	2.551971e-06	1.041838e-06	1.041838e-06
2.811299e+01	3.069278e+01	3.116626e-06	1.101894e-06	1.101894e-06
3.069278e+01	3.350930e+01	3.568340e-06	1.128408e-06	1.128408e-06
3.350930e+01	3.658428e+01	1.634206e-06	7.308391e-07	7.308391e-07
3.658428e+01	3.994143e+01	2.694330e-06	8.981100e-07	8.981100e-07
3.994143e+01	4.360665e+01	3.290487e-06	9.498817e-07	9.498817e-07
4.360665e+01	4.760821e+01	2.009276e-06	7.103865e-07	7.103865e-07
4.760821e+01	5.197698e+01	2.070439e-06	6.901462e-07	6.901462e-07
5.197698e+01	5.674664e+01	1.053566e-06	4.711689e-07	4.711689e-07
5.674664e+01	6.195399e+01	1.930022e-06	6.103265e-07	6.103265e-07
6.195399e+01	6.763919e+01	3.005261e-06	7.288829e-07	7.288829e-07
6.763919e+01	7.384610e+01	2.914581e-06	6.869733e-07	6.869733e-07
7.384610e+01	8.062258e+01	3.114542e-06	6.796487e-07	6.796487e-07
8.062258e+01	8.802090e+01	1.901840e-06	5.082880e-07	5.082880e-07
8.802090e+01	9.609813e+01	2.115268e-06	5.130280e-07	5.130280e-07
9.609813e+01	1.049166e+02	2.165406e-06	4.967783e-07	4.967783e-07
1.049166e+02	1.145442e+02	2.087810e-06	4.668486e-07	4.668486e-07
1.145442e+02	1.250554e+02	1.434227e-06	3.703159e-07	3.703159e-07
1.250554e+02	1.365311e+02	1.138527e-06	3.157705e-07	3.157705e-07
