# BEGIN PLOT
Legend=1
LogY=1
Title=Z azimuthal angle
XLabel=$\phi_{\mathrm{Z}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi_{\mathrm{Z}}$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_phi //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_phi
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_phi //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_phi
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	6.798109e-05	1.648784e-05	1.648784e-05
2.513274e-01	5.026548e-01	7.597886e-05	1.743075e-05	1.743075e-05
5.026548e-01	7.539822e-01	8.797553e-05	1.875645e-05	1.875645e-05
7.539822e-01	1.005310e+00	6.398210e-05	1.599552e-05	1.599552e-05
1.005310e+00	1.256637e+00	7.198009e-05	1.696587e-05	1.696587e-05
1.256637e+00	1.507964e+00	6.798120e-05	1.648786e-05	1.648786e-05
1.507964e+00	1.759292e+00	8.797532e-05	1.875640e-05	1.875640e-05
1.759292e+00	2.010619e+00	5.198562e-05	1.441822e-05	1.441822e-05
2.010619e+00	2.261947e+00	6.398205e-05	1.599551e-05	1.599551e-05
2.261947e+00	2.513274e+00	5.198562e-05	1.441822e-05	1.441822e-05
2.513274e+00	2.764602e+00	4.798654e-05	1.385252e-05	1.385252e-05
2.764602e+00	3.015929e+00	5.598451e-05	1.496249e-05	1.496249e-05
3.015929e+00	3.267256e+00	4.798673e-05	1.385257e-05	1.385257e-05
3.267256e+00	3.518584e+00	5.198541e-05	1.441816e-05	1.441816e-05
3.518584e+00	3.769911e+00	5.598451e-05	1.496249e-05	1.496249e-05
3.769911e+00	4.021239e+00	8.397644e-05	1.832516e-05	1.832516e-05
4.021239e+00	4.272566e+00	4.798673e-05	1.385257e-05	1.385257e-05
4.272566e+00	4.523893e+00	7.997788e-05	1.788360e-05	1.788360e-05
4.523893e+00	4.775221e+00	5.998317e-05	1.548759e-05	1.548759e-05
4.775221e+00	5.026548e+00	8.397677e-05	1.832523e-05	1.832523e-05
5.026548e+00	5.277876e+00	5.198541e-05	1.441816e-05	1.441816e-05
5.277876e+00	5.529203e+00	4.798673e-05	1.385257e-05	1.385257e-05
5.529203e+00	5.780530e+00	5.198562e-05	1.441822e-05	1.441822e-05
5.780530e+00	6.031858e+00	9.197419e-05	1.917794e-05	1.917794e-05
6.031858e+00	6.283185e+00	7.997788e-05	1.788360e-05	1.788360e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_phi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_phi
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	6.345317e-05	1.586329e-05	1.586329e-05
2.513274e-01	5.026548e-01	5.948735e-05	1.535957e-05	1.535957e-05
5.026548e-01	7.539822e-01	6.345317e-05	1.586329e-05	1.586329e-05
7.539822e-01	1.005310e+00	5.155562e-05	1.429896e-05	1.429896e-05
1.005310e+00	1.256637e+00	5.155578e-05	1.429900e-05	1.429900e-05
1.256637e+00	1.507964e+00	5.155578e-05	1.429900e-05	1.429900e-05
1.507964e+00	1.759292e+00	1.031112e-04	2.022176e-05	2.022176e-05
