# BEGIN PLOT
Legend=1
LogY=1
Title=Z rapidity
XLabel=$y_{\mathrm{Z}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y_{\mathrm{Z}}$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_y //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_y
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_y //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_y
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_y
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_y
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/Z_y
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.800000e+00	5.025150e-06	5.025149e-06	5.025149e-06
-2.800000e+00	-2.600000e+00	1.005030e-05	7.106636e-06	7.106636e-06
-2.600000e+00	-2.400000e+00	2.512575e-05	1.123658e-05	1.123658e-05
-2.400000e+00	-2.200000e+00	2.010060e-05	1.005030e-05	1.005030e-05
-2.200000e+00	-2.000000e+00	4.020120e-05	1.421327e-05	1.421327e-05
-2.000000e+00	-1.800000e+00	2.512575e-05	1.123658e-05	1.123658e-05
-1.800000e+00	-1.600000e+00	8.040240e-05	2.010060e-05	2.010060e-05
-1.600000e+00	-1.400000e+00	9.547785e-05	2.190412e-05	2.190412e-05
-1.400000e+00	-1.200000e+00	1.005030e-04	2.247316e-05	2.247316e-05
-1.200000e+00	-1.000000e+00	7.035210e-05	1.880239e-05	1.880239e-05
-1.000000e+00	-8.000000e-01	1.005030e-04	2.247316e-05	2.247316e-05
-8.000000e-01	-6.000000e-01	1.005030e-04	2.247316e-05	2.247316e-05
-6.000000e-01	-4.000000e-01	8.542755e-05	2.071922e-05	2.071922e-05
-4.000000e-01	-2.000000e-01	1.055281e-04	2.302813e-05	2.302813e-05
