# BEGIN PLOT
Legend=1
LogY=1
Title=Lepton $\eta$
XLabel=$\eta_{\mathrm{l}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_{\mathrm{l}}$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/lepton_eta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/lepton_eta
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/lepton_eta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/lepton_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/lepton_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/lepton_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZINC:ENERGY=13000/lepton_eta
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.800000e+00	2.512575e-05	1.123658e-05	1.123658e-05
-2.800000e+00	-2.600000e+00	4.522635e-05	1.507545e-05	1.507545e-05
-2.600000e+00	-2.400000e+00	6.030180e-05	1.740763e-05	1.740763e-05
-2.400000e+00	-2.200000e+00	2.512575e-05	1.123658e-05	1.123658e-05
-2.200000e+00	-2.000000e+00	6.532695e-05	1.811844e-05	1.811844e-05
-2.000000e+00	-1.800000e+00	9.547785e-05	2.190412e-05	2.190412e-05
-1.800000e+00	-1.600000e+00	1.507545e-04	2.752388e-05	2.752388e-05
-1.600000e+00	-1.400000e+00	1.909557e-04	3.097710e-05	3.097710e-05
-1.400000e+00	-1.200000e+00	1.758803e-04	2.972919e-05	2.972919e-05
-1.200000e+00	-1.000000e+00	1.256288e-04	2.512575e-05	2.512575e-05
-1.000000e+00	-8.000000e-01	1.959809e-04	3.138205e-05	3.138205e-05
-8.000000e-01	-6.000000e-01	2.311569e-04	3.408222e-05	3.408222e-05
-6.000000e-01	-4.000000e-01	2.261318e-04	3.370973e-05	3.370973e-05
-4.000000e-01	-2.000000e-01	2.060311e-04	3.217666e-05	3.217666e-05
