# BEGIN PLOT
Legend=1
LogY=1
Title=Separation between Z boson and leading jet
XLabel=$\Delta R(\mathrm{Z,~1st~jet})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R(\mathrm{Z,~1st~jet})$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	7.600000e-01	1.932750e-05	8.643521e-06	8.643521e-06
7.600000e-01	1.020000e+00	1.932750e-05	8.643521e-06	8.643521e-06
1.020000e+00	1.280000e+00	1.932750e-05	8.643521e-06	8.643521e-06
1.280000e+00	1.540000e+00	2.319300e-05	9.468503e-06	9.468503e-06
1.540000e+00	1.800000e+00	5.025150e-05	1.393726e-05	1.393726e-05
1.800000e+00	2.060000e+00	6.184800e-05	1.546200e-05	1.546200e-05
2.060000e+00	2.320000e+00	9.277200e-05	1.893701e-05	1.893701e-05
2.320000e+00	2.580000e+00	1.043685e-04	2.008573e-05	2.008573e-05
2.580000e+00	2.840000e+00	1.352925e-04	2.286861e-05	2.286861e-05
2.840000e+00	3.100000e+00	2.357955e-04	3.019052e-05	3.019052e-05
3.100000e+00	3.360000e+00	1.816785e-04	2.650053e-05	2.650053e-05
3.360000e+00	3.620000e+00	1.584855e-04	2.475128e-05	2.475128e-05
3.620000e+00	3.880000e+00	1.468890e-04	2.382854e-05	2.382854e-05
3.880000e+00	4.140000e+00	8.117550e-05	1.771395e-05	1.771395e-05
4.140000e+00	4.400000e+00	6.571350e-05	1.593786e-05	1.593786e-05
4.400000e+00	4.660000e+00	4.638600e-05	1.339048e-05	1.339048e-05
4.660000e+00	4.920000e+00	1.546200e-05	7.731000e-06	7.731000e-06
4.920000e+00	5.180000e+00	3.478950e-05	1.159650e-05	1.159650e-05
5.180000e+00	5.440000e+00	2.319300e-05	9.468503e-06	9.468503e-06
5.440000e+00	5.700000e+00	3.865500e-06	3.865499e-06	3.865499e-06
5.700000e+00	5.960000e+00	1.932750e-05	8.643521e-06	8.643521e-06
5.960000e+00	6.220000e+00	7.731000e-06	5.466643e-06	5.466643e-06
6.220000e+00	6.480000e+00	3.865500e-06	3.865499e-06	3.865499e-06
6.480000e+00	6.740000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.740000e+00	7.000000e+00	3.865500e-06	3.865499e-06	3.865499e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	7.600000e-01	1.533415e-05	7.667077e-06	7.667077e-06
7.600000e-01	1.020000e+00	1.916769e-05	8.572053e-06	8.572053e-06
1.020000e+00	1.280000e+00	4.216892e-05	1.271441e-05	1.271441e-05
1.280000e+00	1.540000e+00	3.833538e-05	1.212271e-05	1.212271e-05
1.540000e+00	1.800000e+00	5.750308e-05	1.484723e-05	1.484723e-05
1.800000e+00	2.060000e+00	8.817138e-05	1.838501e-05	1.838501e-05
2.060000e+00	2.320000e+00	8.050431e-05	1.756748e-05	1.756748e-05
2.320000e+00	2.580000e+00	1.111726e-04	2.064424e-05	2.064424e-05
2.580000e+00	2.840000e+00	1.840098e-04	2.655953e-05	2.655953e-05
2.840000e+00	3.100000e+00	1.916769e-04	2.710721e-05	2.710721e-05
3.100000e+00	3.360000e+00	1.878434e-04	2.683477e-05	2.683477e-05
3.360000e+00	3.620000e+00	1.303403e-04	2.235318e-05	2.235318e-05
3.620000e+00	3.880000e+00	6.133662e-05	1.533415e-05	1.533415e-05
3.880000e+00	4.140000e+00	8.433785e-05	1.798089e-05	1.798089e-05
4.140000e+00	4.400000e+00	9.200492e-05	1.878043e-05	1.878043e-05
4.400000e+00	4.660000e+00	5.750308e-05	1.484723e-05	1.484723e-05
4.660000e+00	4.920000e+00	6.517015e-05	1.580608e-05	1.580608e-05
4.920000e+00	5.180000e+00	1.916769e-05	8.572053e-06	8.572053e-06
5.180000e+00	5.440000e+00	1.533415e-05	7.667077e-06	7.667077e-06
5.440000e+00	5.700000e+00	1.150062e-05	6.639883e-06	6.639883e-06
5.700000e+00	5.960000e+00	7.667077e-06	5.421443e-06	5.421443e-06
5.960000e+00	6.220000e+00	1.533415e-05	7.667077e-06	7.667077e-06
6.220000e+00	6.480000e+00	3.833538e-06	3.833539e-06	3.833539e-06
6.480000e+00	6.740000e+00	3.833538e-06	3.833539e-06	3.833539e-06
6.740000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

