# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity $+/-$ ratio of second jet
XLabel=$\eta(\mathrm{jet~2})_+/\eta(\mathrm{jet~2})_-$
YLabel=$|\eta(\mathrm{jet~2}|$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.54680892457969266, dn: 0.54680892457969266}}, 1: {"": {up: 0.71055157884974141, dn: 0.71055157884974141}}, 2: {"": {up: 0.40824829046386302, dn: 0.40824829046386302}}, 3: {"": {up: 0.28174675412902817, dn: 0.28174675412902817}}, 4: {"": {up: 0.47140452079103168, dn: 0.47140452079103168}}, 5: {"": {up: 0.51380930314660511, dn: 0.51380930314660511}}, 6: {"": {up: 0.50917507721731547, dn: 0.50917507721731547}}, 7: {"": {up: 0.4806245936279166, dn: 0.4806245936279166}}, 8: {"": {up: 0.24392621835300934, dn: 0.24392621835300934}}, 9: {"": {up: 0.42640143271122088, dn: 0.42640143271122088}}, 10: {"": {up: 0.43750132274932324, dn: 0.43750132274932324}}, 11: {"": {up: 0.43368041655544431, dn: 0.43368041655544431}}, 12: {"": {up: 0.31657330729568506, dn: 0.31657330729568506}}, 13: {"": {up: 0.45285552331841999, dn: 0.45285552331841999}}, 14: {"": {up: 0.64793909658724669, dn: 0.64793909658724669}}, 15: {"": {up: 0, dn: 0}}, 16: {"": {up: 0.63245553203367588, dn: 0.63245553203367588}}, 17: {"": {up: 1, dn: 1}}, 18: {"": {up: 4.4721359549995796, dn: 4.4721359549995796}}, 19: {"": {up: 0.61237243569579447, dn: 0.61237243569579447}}, 20: {"": {up: 0.38490017945975047, dn: 0.38490017945975047}}, 21: {"": {up: 1.4142135623730951, dn: 1.4142135623730951}}, 22: {"": {up: .nan, dn: .nan}}, 23: {"": {up: .nan, dn: .nan}}, 24: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.300000e+00	5.468089e-01	5.468089e-01
2.000000e-01	4.000000e-01	1.909091e+00	7.105516e-01	7.105516e-01
4.000000e-01	6.000000e-01	1.000000e+00	4.082483e-01	4.082483e-01
6.000000e-01	8.000000e-01	7.647059e-01	2.817468e-01	2.817468e-01
8.000000e-01	1.000000e+00	1.000000e+00	4.714045e-01	4.714045e-01
1.000000e+00	1.200000e+00	1.200000e+00	5.138093e-01	5.138093e-01
1.200000e+00	1.400000e+00	1.333333e+00	5.091751e-01	5.091751e-01
1.400000e+00	1.600000e+00	1.100000e+00	4.806246e-01	4.806246e-01
1.600000e+00	1.800000e+00	7.000000e-01	2.439262e-01	2.439262e-01
1.800000e+00	2.000000e+00	1.000000e+00	4.264014e-01	4.264014e-01
2.000000e+00	2.200000e+00	1.266667e+00	4.375013e-01	4.375013e-01
2.200000e+00	2.400000e+00	1.083333e+00	4.336804e-01	4.336804e-01
2.400000e+00	2.600000e+00	7.857143e-01	3.165733e-01	3.165733e-01
2.600000e+00	2.800000e+00	8.750000e-01	4.528555e-01	4.528555e-01
2.800000e+00	3.000000e+00	1.285714e+00	6.479391e-01	6.479391e-01
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	1.000000e+00	6.324555e-01	6.324555e-01
3.400000e+00	3.600000e+00	1.000000e+00	1.000000e+00	1.000000e+00
3.600000e+00	3.800000e+00	4.000000e+00	4.472136e+00	4.472136e+00
3.800000e+00	4.000000e+00	5.000000e-01	6.123724e-01	6.123724e-01
4.000000e+00	4.200000e+00	3.333333e-01	3.849002e-01	3.849002e-01
4.200000e+00	4.400000e+00	1.000000e+00	1.414214e+00	1.414214e+00
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_pmratio_2
ErrorBars=1
