# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of first jet
XLabel=$m(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~1})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_1
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.047129e+00	1.096478e+00	2.036576e-05	2.036576e-05	2.036576e-05
1.096478e+00	1.148154e+00	1.944868e-05	1.944868e-05	1.944868e-05
1.148154e+00	1.202264e+00	1.857383e-05	1.857383e-05	1.857383e-05
1.202264e+00	1.258925e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.258925e+00	1.318257e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+00	1.380384e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.380384e+00	1.445440e+00	1.544869e-05	1.544869e-05	1.544869e-05
1.445440e+00	1.513561e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.513561e+00	1.584893e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+00	1.659587e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.659587e+00	1.737801e+00	1.284975e-05	1.284974e-05	1.284974e-05
1.737801e+00	1.819701e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.819701e+00	1.905461e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+00	1.995262e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.995262e+00	2.089296e+00	2.137589e-05	1.511503e-05	1.511503e-05
2.089296e+00	2.187762e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.187762e+00	2.290868e+00	9.747541e-06	9.747540e-06	9.747540e-06
2.290868e+00	2.398833e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.398833e+00	2.511886e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.511886e+00	2.630268e+00	8.489720e-06	8.489718e-06	8.489718e-06
2.630268e+00	2.754229e+00	8.107631e-06	8.107629e-06	8.107629e-06
2.754229e+00	2.884032e+00	7.742733e-06	7.742732e-06	7.742732e-06
2.884032e+00	3.019952e+00	7.394276e-06	7.394275e-06	7.394275e-06
3.019952e+00	3.162278e+00	7.061465e-06	7.061463e-06	7.061463e-06
3.162278e+00	3.311311e+00	1.348735e-05	9.536996e-06	9.536996e-06
3.311311e+00	3.467369e+00	1.288021e-05	9.107686e-06	9.107686e-06
3.467369e+00	3.630781e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e+00	3.801894e+00	1.762046e-05	1.017318e-05	1.017318e-05
3.801894e+00	3.981072e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+00	4.168694e+00	1.071335e-05	7.575483e-06	7.575483e-06
4.168694e+00	4.365158e+00	5.115594e-06	5.115593e-06	5.115593e-06
4.365158e+00	4.570882e+00	1.954133e-05	9.770663e-06	9.770663e-06
4.570882e+00	4.786301e+00	9.330932e-06	6.597966e-06	6.597966e-06
4.786301e+00	5.011872e+00	8.910986e-06	6.301019e-06	6.301019e-06
5.011872e+00	5.248075e+00	4.254942e-06	4.254941e-06	4.254941e-06
5.248075e+00	5.495409e+00	4.063453e-06	4.063452e-06	4.063452e-06
5.495409e+00	5.754399e+00	7.761149e-06	5.487962e-06	5.487962e-06
5.754399e+00	6.025596e+00	1.482362e-05	7.411807e-06	7.411807e-06
6.025596e+00	6.309573e+00	1.769562e-05	7.913724e-06	7.913724e-06
6.309573e+00	6.606934e+00	3.379831e-06	3.379831e-06	3.379831e-06
6.606934e+00	6.918310e+00	3.227705e-06	3.227705e-06	3.227705e-06
6.918310e+00	7.244360e+00	1.232977e-05	6.164883e-06	6.164883e-06
7.244360e+00	7.585776e+00	8.831133e-06	5.098657e-06	5.098657e-06
7.585776e+00	7.943282e+00	1.405613e-05	6.286092e-06	6.286092e-06
7.943282e+00	8.317638e+00	1.342345e-05	6.003151e-06	6.003151e-06
8.317638e+00	8.709636e+00	2.820252e-05	8.503379e-06	8.503379e-06
8.709636e+00	9.120108e+00	3.427864e-05	9.161349e-06	9.161349e-06
9.120108e+00	9.549926e+00	2.104442e-05	7.014806e-06	7.014806e-06
9.549926e+00	1.000000e+01	1.339820e-05	5.469791e-06	5.469791e-06
1.000000e+01	1.047129e+01	2.772261e-05	7.688870e-06	7.688870e-06
1.047129e+01	1.096478e+01	1.832919e-05	6.109729e-06	6.109729e-06
1.096478e+01	1.148154e+01	2.333842e-05	6.737219e-06	6.737219e-06
1.148154e+01	1.202264e+01	2.414598e-05	6.696890e-06	6.696890e-06
1.202264e+01	1.258925e+01	1.241632e-05	4.692927e-06	4.692927e-06
1.258925e+01	1.318257e+01	1.355127e-05	4.791098e-06	4.791098e-06
1.318257e+01	1.380384e+01	9.706215e-06	3.962546e-06	3.962546e-06
1.380384e+01	1.445440e+01	1.235895e-05	4.369549e-06	4.369549e-06
1.445440e+01	1.513561e+01	2.655648e-05	6.259423e-06	6.259423e-06
1.513561e+01	1.584893e+01	1.690736e-05	4.880734e-06	4.880734e-06
1.584893e+01	1.659587e+01	1.749189e-05	4.851377e-06	4.851377e-06
1.659587e+01	1.737801e+01	1.413472e-05	4.261779e-06	4.261779e-06
1.737801e+01	1.819701e+01	2.086143e-05	5.059640e-06	5.059640e-06
1.819701e+01	1.905461e+01	9.375280e-06	3.314662e-06	3.314662e-06
1.905461e+01	1.995262e+01	1.454927e-05	4.035242e-06	4.035242e-06
1.995262e+01	2.089296e+01	1.068794e-05	3.379824e-06	3.379824e-06
2.089296e+01	2.187762e+01	1.735168e-05	4.208402e-06	4.208402e-06
2.187762e+01	2.290868e+01	9.747541e-06	3.082443e-06	3.082443e-06
2.290868e+01	2.398833e+01	8.377965e-06	2.792655e-06	2.792655e-06
2.398833e+01	2.511886e+01	1.777980e-06	1.257222e-06	1.257222e-06
2.511886e+01	2.630268e+01	2.546916e-06	1.470463e-06	1.470463e-06
2.630268e+01	2.754229e+01	4.053815e-06	1.812921e-06	1.812921e-06
2.754229e+01	2.884032e+01	6.194187e-06	2.189976e-06	2.189976e-06
2.884032e+01	3.019952e+01	5.915421e-06	2.091417e-06	2.091417e-06
3.019952e+01	3.162278e+01	1.412293e-06	9.986420e-07	9.986420e-07
3.162278e+01	3.311311e+01	6.743674e-06	2.132537e-06	2.132537e-06
3.311311e+01	3.467369e+01	3.864063e-06	1.577497e-06	1.577497e-06
