# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of second jet
XLabel=$m(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~2})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_2
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.318257e+00	8.664575e-06	8.664573e-06	8.664573e-06
1.318257e+00	1.445440e+00	3.160894e-05	1.580447e-05	1.580447e-05
1.445440e+00	1.584893e+00	2.882778e-05	1.441389e-05	1.441389e-05
1.584893e+00	1.737801e+00	1.314555e-05	9.295310e-06	9.295310e-06
1.737801e+00	1.905461e+00	1.198891e-05	8.477438e-06	8.477438e-06
1.905461e+00	2.089296e+00	1.640107e-05	9.469160e-06	9.469160e-06
2.089296e+00	2.290868e+00	1.495788e-05	8.635937e-06	8.635937e-06
2.290868e+00	2.511886e+00	9.094553e-06	6.430821e-06	6.430821e-06
2.511886e+00	2.754229e+00	1.244142e-05	7.183055e-06	7.183055e-06
2.754229e+00	3.019952e+00	3.782247e-06	3.782246e-06	3.782246e-06
3.019952e+00	3.311311e+00	1.724728e-05	7.713218e-06	7.713218e-06
3.311311e+00	3.630781e+00	2.516743e-05	8.898031e-06	8.898031e-06
3.630781e+00	3.981072e+00	1.434564e-05	6.415567e-06	6.415567e-06
3.981072e+00	4.365158e+00	1.046672e-05	5.233359e-06	5.233359e-06
4.365158e+00	4.786301e+00	1.193217e-05	5.336229e-06	5.336229e-06
4.786301e+00	5.248075e+00	2.176454e-05	6.882552e-06	6.882552e-06
5.248075e+00	5.754399e+00	1.587963e-05	5.614298e-06	5.614298e-06
5.754399e+00	6.309573e+00	3.077505e-05	7.464047e-06	7.464047e-06
6.309573e+00	6.918310e+00	2.971815e-05	7.004637e-06	7.004637e-06
6.918310e+00	7.585776e+00	3.914923e-05	7.677796e-06	7.677796e-06
7.585776e+00	8.317638e+00	2.609176e-05	5.985861e-06	5.985861e-06
8.317638e+00	9.120108e+00	3.005810e-05	6.135583e-06	6.135583e-06
9.120108e+00	1.000000e+01	2.170217e-05	4.978820e-06	4.978820e-06
1.000000e+01	1.096478e+01	2.291783e-05	4.886097e-06	4.886097e-06
1.096478e+01	1.202264e+01	1.710107e-05	4.030762e-06	4.030762e-06
1.202264e+01	1.318257e+01	2.512727e-05	4.666016e-06	4.666016e-06
1.318257e+01	1.445440e+01	1.580447e-05	3.533987e-06	3.533987e-06
1.445440e+01	1.584893e+01	1.297250e-05	3.057648e-06	3.057648e-06
1.584893e+01	1.737801e+01	9.859164e-06	2.545625e-06	2.545625e-06
1.737801e+01	1.905461e+01	3.596672e-06	1.468335e-06	1.468335e-06
1.905461e+01	2.089296e+01	7.653831e-06	2.045572e-06	2.045572e-06
2.089296e+01	2.290868e+01	4.985960e-06	1.576699e-06	1.576699e-06
2.290868e+01	2.511886e+01	2.273638e-06	1.016802e-06	1.016802e-06
2.511886e+01	2.754229e+01	2.488283e-06	1.015837e-06	1.015837e-06
