# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of third jet
XLabel=$m(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~3})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	2.013322e-05	1.162392e-05	1.162392e-05
1.149757e+00	1.321941e+00	1.167391e-05	8.254700e-06	8.254700e-06
1.321941e+00	1.519911e+00	4.569010e-05	1.523004e-05	1.523004e-05
1.519911e+00	1.747528e+00	4.415443e-06	4.415443e-06	4.415443e-06
1.747528e+00	2.009233e+00	1.152095e-05	6.651623e-06	6.651623e-06
2.009233e+00	2.310130e+00	1.336045e-05	6.680226e-06	6.680226e-06
2.310130e+00	2.656088e+00	2.614557e-05	8.715191e-06	8.715191e-06
2.656088e+00	3.053856e+00	2.021339e-05	7.146513e-06	7.146513e-06
3.053856e+00	3.511192e+00	3.955634e-05	9.323521e-06	9.323521e-06
3.511192e+00	4.037017e+00	4.396080e-05	9.166461e-06	9.166461e-06
4.037017e+00	4.641589e+00	3.823480e-05	7.972507e-06	7.972507e-06
4.641589e+00	5.336699e+00	1.445857e-05	4.572202e-06	4.572202e-06
5.336699e+00	6.135907e+00	3.521091e-05	6.654236e-06	6.654236e-06
6.135907e+00	7.054802e+00	3.828082e-05	6.470639e-06	6.470639e-06
7.054802e+00	8.111308e+00	3.614853e-05	5.864066e-06	5.864066e-06
8.111308e+00	9.326033e+00	2.564855e-05	4.606615e-06	4.606615e-06
9.326033e+00	1.072267e+01	1.727057e-05	3.525341e-06	3.525341e-06
1.072267e+01	1.232847e+01	1.877625e-05	3.428058e-06	3.428058e-06
1.232847e+01	1.417474e+01	1.306457e-05	2.666794e-06	2.666794e-06
1.417474e+01	1.629751e+01	7.101782e-06	1.833672e-06	1.833672e-06
1.629751e+01	1.873817e+01	4.529648e-06	1.365740e-06	1.365740e-06
1.873817e+01	2.154435e+01	2.865190e-06	1.012998e-06	1.012998e-06
2.154435e+01	2.477076e+01	6.230020e-07	4.405290e-07	4.405290e-07
2.477076e+01	2.848036e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.848036e+01	3.274549e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.274549e+01	3.764936e+01	4.098926e-07	2.898379e-07	2.898379e-07
