# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of fourth jet
XLabel=$m(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~4})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_4
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_4
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_4
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	9.937804e-06	7.027089e-06	7.027089e-06
1.202264e+00	1.445440e+00	1.653173e-05	8.265865e-06	8.265865e-06
1.445440e+00	1.737801e+00	3.781397e-05	1.140134e-05	1.140134e-05
1.737801e+00	2.089296e+00	2.001511e-05	7.564999e-06	7.564999e-06
2.089296e+00	2.511886e+00	3.091741e-05	8.574948e-06	8.574948e-06
2.511886e+00	3.019952e+00	2.571593e-05	7.132316e-06	7.132316e-06
3.019952e+00	3.630781e+00	2.797102e-05	6.783969e-06	6.783969e-06
3.630781e+00	4.365158e+00	4.105643e-05	7.495845e-06	7.495845e-06
4.365158e+00	5.248075e+00	3.756411e-05	6.539071e-06	6.539071e-06
5.248075e+00	6.309573e+00	3.219132e-05	5.520766e-06	5.520766e-06
6.309573e+00	7.585776e+00	2.283796e-05	4.240902e-06	4.240902e-06
7.585776e+00	9.120108e+00	2.227094e-05	3.819435e-06	3.819435e-06
9.120108e+00	1.096478e+01	1.035174e-05	2.374853e-06	2.374853e-06
1.096478e+01	1.318257e+01	9.516514e-06	2.076674e-06	2.076674e-06
1.318257e+01	1.584893e+01	1.884648e-06	8.428402e-07	8.428402e-07
1.584893e+01	1.905461e+01	1.567577e-06	7.010417e-07	7.010417e-07
1.905461e+01	2.290868e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e+01	2.754229e+01	2.169000e-07	2.169000e-07	2.169000e-07
2.754229e+01	3.311311e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e+01	3.981072e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+01	4.786301e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+01	5.754399e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+01	6.918310e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_4
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	3.942254e-05	1.393797e-05	1.393797e-05
1.202264e+00	1.445440e+00	2.869132e-05	1.084430e-05	1.084430e-05
1.445440e+00	1.737801e+00	2.386447e-05	9.019921e-06	9.019921e-06
1.737801e+00	2.089296e+00	4.537055e-05	1.134264e-05	1.134264e-05
2.089296e+00	2.511886e+00	4.245477e-05	1.000668e-05	1.000668e-05
2.511886e+00	3.019952e+00	2.942689e-05	7.597989e-06	7.597989e-06
3.019952e+00	3.630781e+00	2.284449e-05	6.105448e-06	6.105448e-06
3.630781e+00	4.365158e+00	2.578741e-05	5.916037e-06	5.916037e-06
4.365158e+00	5.248075e+00	2.935125e-05	5.756254e-06	5.756254e-06
5.248075e+00	6.309573e+00	3.380310e-05	5.633850e-06	5.633850e-06
6.309573e+00	7.585776e+00	2.655415e-05	4.553999e-06	4.553999e-06
7.585776e+00	9.120108e+00	1.818913e-05	3.437422e-06	3.437422e-06
9.120108e+00	1.096478e+01	9.725827e-06	2.292399e-06	2.292399e-06
1.096478e+01	1.318257e+01	6.291885e-06	1.681577e-06	1.681577e-06
1.318257e+01	1.584893e+01	1.869065e-06	8.358713e-07	8.358713e-07
1.584893e+01	1.905461e+01	1.243692e-06	6.218462e-07	6.218462e-07
1.905461e+01	2.290868e+01	5.172298e-07	3.657368e-07	3.657368e-07
2.290868e+01	2.754229e+01	4.302132e-07	3.042067e-07	3.042067e-07
2.754229e+01	3.311311e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e+01	3.981072e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+01	4.786301e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+01	5.754399e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+01	6.918310e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+01	8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

