# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of second jet
XLabel=$p_\perp(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~2})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_2
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.113566e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.113566e+01	1.240029e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240029e+01	1.380853e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.380853e+01	1.537671e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.537671e+01	1.712297e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.712297e+01	1.906756e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.906756e+01	2.123298e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.123298e+01	2.364431e+01	4.167949e-07	4.167948e-07	4.167948e-07
2.364431e+01	2.632950e+01	1.497145e-06	7.485727e-07	7.485727e-07
2.632950e+01	2.931963e+01	6.722316e-07	4.753396e-07	4.753396e-07
2.931963e+01	3.264933e+01	1.509190e-06	6.749303e-07	6.749303e-07
3.264933e+01	3.635717e+01	8.131662e-07	4.694817e-07	4.694817e-07
3.635717e+01	4.048610e+01	7.302352e-07	4.216015e-07	4.216015e-07
4.048610e+01	4.508393e+01	1.311527e-06	5.354288e-07	5.354288e-07
4.508393e+01	5.020392e+01	1.766658e-06	5.888859e-07	5.888859e-07
5.020392e+01	5.590536e+01	2.644148e-06	6.827160e-07	6.827160e-07
5.590536e+01	6.225429e+01	3.482581e-06	7.424887e-07	7.424887e-07
6.225429e+01	6.932425e+01	3.838184e-06	7.386589e-07	7.386589e-07
6.932425e+01	7.719710e+01	4.212704e-06	7.333377e-07	7.333377e-07
7.719710e+01	8.596404e+01	2.407411e-06	5.253402e-07	5.253402e-07
8.596404e+01	9.572661e+01	4.117891e-06	6.510957e-07	6.510957e-07
9.572661e+01	1.065979e+02	2.311202e-06	4.622404e-07	4.622404e-07
1.065979e+02	1.187037e+02	2.241554e-06	4.313873e-07	4.313873e-07
1.187037e+02	1.321844e+02	2.460257e-06	4.282758e-07	4.282758e-07
1.321844e+02	1.471960e+02	2.075457e-06	3.727631e-07	3.727631e-07
1.471960e+02	1.639124e+02	1.563182e-06	3.065653e-07	3.065653e-07
1.639124e+02	1.825273e+02	9.178405e-07	2.226090e-07	2.226090e-07
1.825273e+02	2.032561e+02	6.303013e-07	1.748141e-07	1.748141e-07
2.032561e+02	2.263390e+02	3.047802e-07	1.151961e-07	1.151961e-07
2.263390e+02	2.520434e+02	3.518958e-07	1.172986e-07	1.172986e-07
2.520434e+02	2.806668e+02	2.106731e-07	8.600693e-08	8.600693e-08
2.806668e+02	3.125410e+02	1.891869e-07	7.723522e-08	7.723522e-08
3.125410e+02	3.480349e+02	1.132623e-07	5.663114e-08	5.663114e-08
3.480349e+02	3.875597e+02	5.085567e-08	3.596039e-08	3.596039e-08
3.875597e+02	4.315732e+02	6.850375e-08	3.955066e-08	3.955066e-08
4.315732e+02	4.805851e+02	4.101167e-08	2.899963e-08	2.899963e-08
4.805851e+02	5.351631e+02	3.682913e-08	2.604213e-08	2.604213e-08
5.351631e+02	5.959393e+02	1.653657e-08	1.653657e-08	1.653657e-08
5.959393e+02	6.636175e+02	2.970026e-08	2.100126e-08	2.100126e-08
6.636175e+02	7.389817e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.389817e+02	8.229047e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.229047e+02	9.163584e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.163584e+02	1.020425e+03	9.657565e-09	9.657564e-09	9.657564e-09
1.020425e+03	1.136311e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.136311e+03	1.265356e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.265356e+03	1.409058e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.409058e+03	1.569078e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.569078e+03	1.747272e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.747272e+03	1.945702e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.945702e+03	2.166667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


