# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of third jet
XLabel=$p_\perp(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~3})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	1.625463e-06	7.269290e-07	7.269290e-07
2.162608e+01	2.523326e+01	2.507574e-06	8.358579e-07	8.358579e-07
2.523326e+01	2.944211e+01	3.820635e-06	9.551586e-07	9.551586e-07
2.944211e+01	3.435298e+01	3.479121e-06	8.438107e-07	8.438107e-07
3.435298e+01	4.008298e+01	5.788131e-06	1.007584e-06	1.007584e-06
4.008298e+01	4.676873e+01	5.261347e-06	8.893300e-07	8.893300e-07
4.676873e+01	5.456964e+01	5.926409e-06	8.738012e-07	8.738012e-07
5.456964e+01	6.367173e+01	5.631292e-06	7.885387e-07	7.885387e-07
6.367173e+01	7.429203e+01	4.826279e-06	6.758142e-07	6.758142e-07
7.429203e+01	8.668377e+01	3.163088e-06	5.064995e-07	5.064995e-07
8.668377e+01	1.011424e+02	1.807279e-06	3.544366e-07	3.544366e-07
1.011424e+02	1.180127e+02	1.429774e-06	2.918515e-07	2.918515e-07
1.180127e+02	1.376970e+02	9.700914e-07	2.225542e-07	2.225542e-07
1.376970e+02	1.606645e+02	4.813467e-07	1.451315e-07	1.451315e-07
1.606645e+02	1.874630e+02	1.875161e-07	8.385975e-08	8.385975e-08
1.874630e+02	2.187314e+02	1.607102e-07	7.187178e-08	7.187178e-08
2.187314e+02	2.552153e+02	5.509444e-08	3.895766e-08	3.895766e-08
2.552153e+02	2.977846e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.977846e+02	3.474544e+02	2.023423e-08	2.023422e-08	2.023422e-08
3.474544e+02	4.054090e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.054090e+02	4.730302e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.730302e+02	5.519306e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.519306e+02	6.439913e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.439913e+02	7.514076e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.514076e+02	8.767406e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.767406e+02	1.022979e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.022979e+03	1.193609e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.193609e+03	1.392701e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.392701e+03	1.625000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	1.289618e-06	6.448090e-07	6.448090e-07
2.162608e+01	2.523326e+01	1.934209e-06	7.310623e-07	7.310623e-07
2.523326e+01	2.944211e+01	3.078599e-06	8.538496e-07	8.538496e-07
2.944211e+01	3.435298e+01	4.465164e-06	9.519762e-07	9.519762e-07
3.435298e+01	4.008298e+01	5.566325e-06	9.839964e-07	9.839964e-07
4.008298e+01	4.676873e+01	5.665088e-06	9.189986e-07	9.189986e-07
4.676873e+01	5.456964e+01	3.833091e-06	6.998235e-07	6.998235e-07
5.456964e+01	6.367173e+01	6.351262e-06	8.339616e-07	8.339616e-07
6.367173e+01	7.429203e+01	4.598672e-06	6.569532e-07	6.569532e-07
7.429203e+01	8.668377e+01	4.343448e-06	5.910684e-07	5.910684e-07
8.668377e+01	1.011424e+02	2.274888e-06	3.960072e-07	3.960072e-07
1.011424e+02	1.180127e+02	1.536115e-06	3.012569e-07	3.012569e-07
1.180127e+02	1.376970e+02	8.101644e-07	2.025411e-07	2.025411e-07
1.376970e+02	1.606645e+02	2.603818e-07	1.063004e-07	1.063004e-07
1.606645e+02	1.874630e+02	2.231588e-07	9.110419e-08	9.110419e-08
1.874630e+02	2.187314e+02	1.275051e-07	6.375254e-08	6.375254e-08
2.187314e+02	2.552153e+02	5.463890e-08	3.863554e-08	3.863554e-08
2.552153e+02	2.977846e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.977846e+02	3.474544e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.474544e+02	4.054090e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.054090e+02	4.730302e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.730302e+02	5.519306e+02	1.263264e-08	1.263264e-08	1.263264e-08
5.519306e+02	6.439913e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.439913e+02	7.514076e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.514076e+02	8.767406e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.767406e+02	1.022979e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.022979e+03	1.193609e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.193609e+03	1.392701e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.392701e+03	1.625000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

