# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of fourth jet
XLabel=$p_\perp(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~4})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_4
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_4
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_4
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.214948e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.214948e+01	1.476099e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.476099e+01	1.793384e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.793384e+01	2.178868e+01	4.432223e-06	1.074972e-06	1.074972e-06
2.178868e+01	2.647212e+01	8.154506e-06	1.322836e-06	1.322836e-06
2.647212e+01	3.216225e+01	1.006773e-05	1.333504e-06	1.333504e-06
3.216225e+01	3.907546e+01	9.885717e-06	1.198819e-06	1.198819e-06
3.907546e+01	4.747466e+01	6.102549e-06	8.545278e-07	8.545278e-07
4.747466e+01	5.767925e+01	3.053129e-06	5.483581e-07	5.483581e-07
5.767925e+01	7.007730e+01	2.107652e-06	4.133447e-07	4.133447e-07
7.007730e+01	8.514028e+01	1.067550e-06	2.668874e-07	2.668874e-07
8.514028e+01	1.034410e+02	3.844226e-07	1.452981e-07	1.452981e-07
1.034410e+02	1.256755e+02	1.808055e-07	9.040275e-08	9.040275e-08
1.256755e+02	1.526892e+02	7.440891e-08	5.261505e-08	5.261505e-08
1.526892e+02	1.855094e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.855094e+02	2.253843e+02	2.520458e-08	2.520457e-08	2.520457e-08
2.253843e+02	2.738303e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.738303e+02	3.326896e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.326896e+02	4.042006e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.042006e+02	4.910828e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.910828e+02	5.966401e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.966401e+02	7.248867e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.248867e+02	8.806998e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.806998e+02	1.070005e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.070005e+03	1.300000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_4
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.214948e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.214948e+01	1.476099e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.476099e+01	1.793384e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.793384e+01	2.178868e+01	5.946955e-06	1.240026e-06	1.240026e-06
2.178868e+01	2.647212e+01	9.789625e-06	1.443401e-06	1.443401e-06
2.647212e+01	3.216225e+01	8.933490e-06	1.250939e-06	1.250939e-06
3.216225e+01	3.907546e+01	7.352984e-06	1.029624e-06	1.029624e-06
3.907546e+01	4.747466e+01	6.526764e-06	8.800687e-07	8.800687e-07
4.747466e+01	5.767925e+01	3.125558e-06	5.525258e-07	5.525258e-07
5.767925e+01	7.007730e+01	2.090225e-06	4.099269e-07	4.099269e-07
7.007730e+01	8.514028e+01	9.925526e-07	2.562760e-07	2.562760e-07
8.514028e+01	1.034410e+02	5.990977e-07	1.806348e-07	1.806348e-07
1.034410e+02	1.256755e+02	1.344829e-07	7.764373e-08	7.764373e-08
1.256755e+02	1.526892e+02	7.379367e-08	5.218001e-08	5.218001e-08
1.526892e+02	1.855094e+02	6.073820e-08	4.294840e-08	4.294840e-08
1.855094e+02	2.253843e+02	0.000000e+00	0.000000e+00	0.000000e+00
