# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of fourth jet
XLabel=$y(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~4})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_4
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_4
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_4
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	5.025150e-06	3.553318e-06	3.553318e-06
-4.200000e+00	-3.800000e+00	1.256287e-05	5.618289e-06	5.618289e-06
-3.800000e+00	-3.400000e+00	1.758803e-05	6.647649e-06	6.647649e-06
-3.400000e+00	-3.000000e+00	1.758803e-05	6.647649e-06	6.647649e-06
-3.000000e+00	-2.600000e+00	3.768863e-05	9.731161e-06	9.731161e-06
-2.600000e+00	-2.200000e+00	3.517605e-05	9.401193e-06	9.401193e-06
-2.200000e+00	-1.800000e+00	6.281437e-05	1.256287e-05	1.256287e-05
-1.800000e+00	-1.400000e+00	3.517605e-05	9.401193e-06	9.401193e-06
-1.400000e+00	-1.000000e+00	4.271378e-05	1.035961e-05	1.035961e-05
-1.000000e+00	-6.000000e-01	6.030180e-05	1.230905e-05	1.230905e-05
-6.000000e-01	-2.000000e-01	6.281438e-05	1.256287e-05	1.256287e-05
-2.000000e-01	2.000000e-01	5.025150e-05	1.123658e-05	1.123658e-05
2.000000e-01	6.000000e-01	5.276408e-05	1.151406e-05	1.151406e-05
6.000000e-01	1.000000e+00	4.020120e-05	1.005030e-05	1.005030e-05
1.000000e+00	1.400000e+00	6.532695e-05	1.281167e-05	1.281167e-05
1.400000e+00	1.800000e+00	4.522635e-05	1.065995e-05	1.065995e-05
