# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity $+/-$ ratio of second jet
XLabel=$y(\mathrm{jet~2})_+/y(\mathrm{jet~2})_-$
YLabel=$|y(\mathrm{jet~2}|$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_pmratio_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_pmratio_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_pmratio_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_pmratio_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_pmratio_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_pmratio_2
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.4841592897810516, dn: 0.4841592897810516}}, 1: {"": {up: 0.71055157884974141, dn: 0.71055157884974141}}, 2: {"": {up: 0.45537115087457564, dn: 0.45537115087457564}}, 3: {"": {up: 0.28174675412902817, dn: 0.28174675412902817}}, 4: {"": {up: 0.47140452079103168, dn: 0.47140452079103168}}, 5: {"": {up: 0.40824829046386302, dn: 0.40824829046386302}}, 6: {"": {up: 0.644980619863884, dn: 0.644980619863884}}, 7: {"": {up: 0.51380930314660511, dn: 0.51380930314660511}}, 8: {"": {up: 0.20671485021951674, dn: 0.20671485021951674}}, 9: {"": {up: 0.4806245936279166, dn: 0.4806245936279166}}, 10: {"": {up: 0.45542003404264891, dn: 0.45542003404264891}}, 11: {"": {up: 0.45537115087457564, dn: 0.45537115087457564}}, 12: {"": {up: 0.29110262922333896, dn: 0.29110262922333896}}, 13: {"": {up: 0.53452248382484879, dn: 0.53452248382484879}}, 14: {"": {up: 0.47140452079103168, dn: 0.47140452079103168}}, 15: {"": {up: 0, dn: 0}}, 16: {"": {up: 0.63245553203367588, dn: 0.63245553203367588}}, 17: {"": {up: 1, dn: 1}}, 18: {"": {up: 4.4721359549995796, dn: 4.4721359549995796}}, 19: {"": {up: 0.61237243569579447, dn: 0.61237243569579447}}, 20: {"": {up: 0.38490017945975047, dn: 0.38490017945975047}}, 21: {"": {up: 1.4142135623730951, dn: 1.4142135623730951}}, 22: {"": {up: .nan, dn: .nan}}, 23: {"": {up: .nan, dn: .nan}}, 24: {"": {up: .nan, dn: .nan}}}
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_pmratio_2
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.181818e+00	4.841593e-01	4.841593e-01
2.000000e-01	4.000000e-01	1.909091e+00	7.105516e-01	7.105516e-01
4.000000e-01	6.000000e-01	1.090909e+00	4.553712e-01	4.553712e-01
6.000000e-01	8.000000e-01	7.647059e-01	2.817468e-01	2.817468e-01
8.000000e-01	1.000000e+00	1.000000e+00	4.714045e-01	4.714045e-01
1.000000e+00	1.200000e+00	1.000000e+00	4.082483e-01	4.082483e-01
1.200000e+00	1.400000e+00	1.600000e+00	6.449806e-01	6.449806e-01
1.400000e+00	1.600000e+00	1.200000e+00	5.138093e-01	5.138093e-01
1.600000e+00	1.800000e+00	5.909091e-01	2.067149e-01	2.067149e-01
1.800000e+00	2.000000e+00	1.100000e+00	4.806246e-01	4.806246e-01
2.000000e+00	2.200000e+00	1.333333e+00	4.554200e-01	4.554200e-01
2.200000e+00	2.400000e+00	1.090909e+00	4.553712e-01	4.553712e-01
2.400000e+00	2.600000e+00	7.333333e-01	2.911026e-01	2.911026e-01
2.600000e+00	2.800000e+00	1.000000e+00	5.345225e-01	5.345225e-01
2.800000e+00	3.000000e+00	1.000000e+00	4.714045e-01	4.714045e-01
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	1.000000e+00	6.324555e-01	6.324555e-01
3.400000e+00	3.600000e+00	1.000000e+00	1.000000e+00	1.000000e+00
3.600000e+00	3.800000e+00	4.000000e+00	4.472136e+00	4.472136e+00
3.800000e+00	4.000000e+00	5.000000e-01	6.123724e-01	6.123724e-01
4.000000e+00	4.200000e+00	3.333333e-01	3.849002e-01	3.849002e-01
4.200000e+00	4.400000e+00	1.000000e+00	1.414214e+00	1.414214e+00
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	nan	nan	nan
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_pmratio_2
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.23288475963416846, dn: 0.23288475963416846}}, 1: {"": {up: 0.42640143271122088, dn: 0.42640143271122088}}, 2: {"": {up: 0.29721551932861473, dn: 0.29721551932861473}}, 3: {"": {up: 0.34683756471336308, dn: 0.34683756471336308}}, 4: {"": {up: 0.41479247735673103, dn: 0.41479247735673103}}, 5: {"": {up: 0.45896421227384188, dn: 0.45896421227384188}}, 6: {"": {up: 0.77560460287442856, dn: 0.77560460287442856}}, 7: {"": {up: 0.51754916950676566, dn: 0.51754916950676566}}, 8: {"": {up: 0.4806245936279166, dn: 0.4806245936279166}}, 9: {"": {up: 0.50917507721731547, dn: 0.50917507721731547}}, 10: {"": {up: 0.38263825872099749, dn: 0.38263825872099749}}, 11: {"": {up: 0.30338262248355624, dn: 0.30338262248355624}}, 12: {"": {up: 0.86066296582387025, dn: 0.86066296582387025}}, 13: {"": {up: 0.47687026308358871, dn: 0.47687026308358871}}, 14: {"": {up: 1.3682105101189659, dn: 1.3682105101189659}}, 15: {"": {up: 1.0968705484240155, dn: 1.0968705484240155}}, 16: {"": {up: 1.0968705484240155, dn: 1.0968705484240155}}, 17: {"": {up: 1.4142135623730949, dn: 1.4142135623730949}}, 18: {"": {up: 1.0183501544346309, dn: 1.0183501544346309}}, 19: {"": {up: .nan, dn: .nan}}, 20: {"": {up: 1, dn: 1}}, 21: {"": {up: .nan, dn: .nan}}, 22: {"": {up: .nan, dn: .nan}}, 23: {"": {up: 0, dn: 0}}, 24: {"": {up: .nan, dn: .nan}}}
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_pmratio_2
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.315789e-01	2.328848e-01	2.328848e-01
2.000000e-01	4.000000e-01	1.000000e+00	4.264014e-01	4.264014e-01
4.000000e-01	6.000000e-01	8.235294e-01	2.972155e-01	2.972155e-01
6.000000e-01	8.000000e-01	9.333333e-01	3.468376e-01	3.468376e-01
8.000000e-01	1.000000e+00	1.076923e+00	4.147925e-01	4.147925e-01
1.000000e+00	1.200000e+00	1.166667e+00	4.589642e-01	4.589642e-01
1.200000e+00	1.400000e+00	1.750000e+00	7.756046e-01	7.756046e-01
1.400000e+00	1.600000e+00	1.500000e+00	5.175492e-01	5.175492e-01
1.600000e+00	1.800000e+00	1.100000e+00	4.806246e-01	4.806246e-01
1.800000e+00	2.000000e+00	1.333333e+00	5.091751e-01	5.091751e-01
2.000000e+00	2.200000e+00	9.166667e-01	3.826383e-01	3.826383e-01
2.200000e+00	2.400000e+00	8.125000e-01	3.033826e-01	3.033826e-01
2.400000e+00	2.600000e+00	1.666667e+00	8.606630e-01	8.606630e-01
2.600000e+00	2.800000e+00	8.571429e-01	4.768703e-01	4.768703e-01
2.800000e+00	3.000000e+00	2.600000e+00	1.368211e+00	1.368211e+00
3.000000e+00	3.200000e+00	1.750000e+00	1.096871e+00	1.096871e+00
3.200000e+00	3.400000e+00	1.750000e+00	1.096871e+00	1.096871e+00
3.400000e+00	3.600000e+00	2.000000e+00	1.414214e+00	1.414214e+00
3.600000e+00	3.800000e+00	1.333333e+00	1.018350e+00	1.018350e+00
3.800000e+00	4.000000e+00	nan	nan	nan
4.000000e+00	4.200000e+00	1.000000e+00	1.000000e+00	1.000000e+00
4.200000e+00	4.400000e+00	nan	nan	nan
4.400000e+00	4.600000e+00	nan	nan	nan
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	nan	nan	nan
# END HISTO1D

