# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	7.997775e-05	2.529118e-05	2.529118e-05
1.256637e-01	2.513274e-01	4.798665e-05	1.959047e-05	1.959047e-05
2.513274e-01	3.769911e-01	3.199110e-05	1.599555e-05	1.599555e-05
3.769911e-01	5.026548e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.026548e-01	6.283185e-01	5.598443e-05	2.116012e-05	2.116012e-05
6.283185e-01	7.539822e-01	5.598443e-05	2.116012e-05	2.116012e-05
7.539822e-01	8.796459e-01	4.798665e-05	1.959047e-05	1.959047e-05
8.796459e-01	1.005310e+00	5.598425e-05	2.116006e-05	2.116006e-05
1.005310e+00	1.130973e+00	5.598474e-05	2.116024e-05	2.116024e-05
1.130973e+00	1.256637e+00	6.398205e-05	2.262107e-05	2.262107e-05
1.256637e+00	1.382301e+00	7.197980e-05	2.399327e-05	2.399327e-05
1.382301e+00	1.507964e+00	7.997820e-05	2.529132e-05	2.529132e-05
1.507964e+00	1.633628e+00	6.398205e-05	2.262107e-05	2.262107e-05
1.633628e+00	1.759292e+00	8.797532e-05	2.652556e-05	2.652556e-05
1.759292e+00	1.884956e+00	8.797532e-05	2.652556e-05	2.652556e-05
1.884956e+00	2.010619e+00	1.439608e-04	3.393188e-05	3.393188e-05
2.010619e+00	2.136283e+00	1.359619e-04	3.297559e-05	3.297559e-05
2.136283e+00	2.261947e+00	1.439596e-04	3.393161e-05	3.393161e-05
2.261947e+00	2.387610e+00	1.839498e-04	3.835619e-05	3.835619e-05
2.387610e+00	2.513274e+00	2.239372e-04	4.232015e-05	4.232015e-05
2.513274e+00	2.638938e+00	2.319349e-04	4.306923e-05	4.306923e-05
2.638938e+00	2.764602e+00	2.719237e-04	4.663453e-05	4.663453e-05
2.764602e+00	2.890265e+00	2.959193e-04	4.864884e-05	4.864884e-05
2.890265e+00	3.015929e+00	3.119125e-04	4.994597e-05	4.994597e-05
3.015929e+00	3.141593e+00	4.318788e-04	5.877127e-05	5.877127e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.586329e-05	1.121704e-05	1.121704e-05
1.256637e-01	2.513274e-01	1.586329e-05	1.121704e-05	1.121704e-05
2.513274e-01	3.769911e-01	3.172658e-05	1.586329e-05	1.586329e-05
3.769911e-01	5.026548e-01	8.724811e-05	2.630630e-05	2.630630e-05
5.026548e-01	6.283185e-01	2.379494e-05	1.373801e-05	1.373801e-05
6.283185e-01	7.539822e-01	6.345317e-05	2.243408e-05	2.243408e-05
7.539822e-01	8.796459e-01	3.172658e-05	1.586329e-05	1.586329e-05
8.796459e-01	1.005310e+00	4.758973e-05	1.942842e-05	1.942842e-05
1.005310e+00	1.130973e+00	7.138521e-05	2.379507e-05	2.379507e-05
1.130973e+00	1.256637e+00	5.552139e-05	2.098511e-05	2.098511e-05
1.256637e+00	1.382301e+00	1.110428e-04	2.967743e-05	2.967743e-05
1.382301e+00	1.507964e+00	8.724859e-05	2.630644e-05	2.630644e-05
1.507964e+00	1.633628e+00	5.552139e-05	2.098511e-05	2.098511e-05
1.633628e+00	1.759292e+00	6.345302e-05	2.243403e-05	2.243403e-05
1.759292e+00	1.884956e+00	1.348377e-04	3.270293e-05	3.270293e-05
1.884956e+00	2.010619e+00	1.348387e-04	3.270319e-05	3.270319e-05
2.010619e+00	2.136283e+00	1.189744e-04	3.071906e-05	3.071906e-05
2.136283e+00	2.261947e+00	1.824274e-04	3.803875e-05	3.803875e-05
2.261947e+00	2.387610e+00	1.586338e-04	3.547160e-05	3.547160e-05
2.387610e+00	2.513274e+00	2.379488e-04	4.344331e-05	4.344331e-05
2.513274e+00	2.638938e+00	2.141539e-04	4.121394e-05	4.121394e-05
2.638938e+00	2.764602e+00	2.696753e-04	4.624894e-05	4.624894e-05
2.764602e+00	2.890265e+00	3.331310e-04	5.140323e-05	5.140323e-05
2.890265e+00	3.015929e+00	4.203762e-04	5.774312e-05	5.774312e-05
3.015929e+00	3.141593e+00	3.331283e-04	5.140282e-05	5.140282e-05
# END HISTO1D

