# BEGIN PLOT
Legend=1
LogY=1
Title=Dijet invariant mass spectrum
XLabel=$m_{jj}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
LegendAlign=r
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_mjj //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_mjj
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_mjj //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_mjj
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_mjj
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_mjj
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_mjj
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.625000e+02	2.597616e-07	4.008208e-08	4.008208e-08
1.625000e+02	3.250000e+02	4.885992e-07	5.497171e-08	5.497171e-08
3.250000e+02	4.875000e+02	3.834576e-07	4.869916e-08	4.869916e-08
4.875000e+02	6.500000e+02	3.154248e-07	4.416831e-08	4.416831e-08
6.500000e+02	8.125000e+02	2.102832e-07	3.606327e-08	3.606327e-08
8.125000e+02	9.750000e+02	1.979136e-07	3.498651e-08	3.498651e-08
9.750000e+02	1.137500e+03	1.051416e-07	2.550058e-08	2.550058e-08
1.137500e+03	1.300000e+03	9.895680e-08	2.473920e-08	2.473920e-08
1.300000e+03	1.462500e+03	9.277200e-08	2.395363e-08	2.395363e-08
1.462500e+03	1.625000e+03	8.658720e-08	2.314140e-08	2.314140e-08
1.625000e+03	1.787500e+03	4.947840e-08	1.749326e-08	1.749326e-08
1.787500e+03	1.950000e+03	5.566320e-08	1.855440e-08	1.855440e-08
1.950000e+03	2.112500e+03	6.184800e-08	1.955805e-08	1.955805e-08
2.112500e+03	2.275000e+03	2.473920e-08	1.236960e-08	1.236960e-08
2.275000e+03	2.437500e+03	1.236960e-08	8.746629e-09	8.746629e-09
2.437500e+03	2.600000e+03	1.236960e-08	8.746629e-09	8.746629e-09
2.600000e+03	2.762500e+03	2.473920e-08	1.236960e-08	1.236960e-08
2.762500e+03	2.925000e+03	6.184800e-09	6.184799e-09	6.184799e-09
2.925000e+03	3.087500e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.087500e+03	3.250000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.250000e+03	3.412500e+03	6.184800e-09	6.184799e-09	6.184799e-09
3.412500e+03	3.575000e+03	6.184800e-09	6.184799e-09	6.184799e-09
3.575000e+03	3.737500e+03	6.184800e-09	6.184799e-09	6.184799e-09
3.737500e+03	3.900000e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+03	4.062500e+03	6.184800e-09	6.184799e-09	6.184799e-09
4.062500e+03	4.225000e+03	1.236960e-08	8.746629e-09	8.746629e-09
4.225000e+03	4.387500e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.387500e+03	4.550000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.550000e+03	4.712500e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.712500e+03	4.875000e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.875000e+03	5.037500e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.037500e+03	5.200000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+03	5.362500e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.362500e+03	5.525000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.525000e+03	5.687500e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.687500e+03	5.850000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.850000e+03	6.012500e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.012500e+03	6.175000e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.175000e+03	6.337500e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.337500e+03	6.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_mjj
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZJETS:ENERGY=13000/jets_mjj
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.625000e+02	2.208118e-07	3.680197e-08	3.680197e-08
