# BEGIN PLOT
Legend=1
LogY=1
Title=Angle between the boson decay planes
XLabel=$\cos(\Psi_{\mathrm{ee},\mu\mu})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\cos(\Psi_{\mathrm{ee},\mu\mu})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_costheta_planes //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_costheta_planes
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_costheta_planes //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_costheta_planes
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_costheta_planes
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_costheta_planes
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_costheta_planes
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+00	-9.200000e-01	8.794013e-05	3.323824e-05	3.323824e-05
-9.200000e-01	-8.400000e-01	5.025150e-05	2.512575e-05	2.512575e-05
-8.400000e-01	-7.600000e-01	1.381916e-04	4.166635e-05	4.166635e-05
-7.600000e-01	-6.800000e-01	7.537725e-05	3.077263e-05	3.077263e-05
-6.800000e-01	-6.000000e-01	3.768862e-05	2.175954e-05	2.175954e-05
-6.000000e-01	-5.200000e-01	7.537725e-05	3.077263e-05	3.077263e-05
-5.200000e-01	-4.400000e-01	1.256287e-05	1.256287e-05	1.256287e-05
-4.400000e-01	-3.600000e-01	5.025150e-05	2.512575e-05	2.512575e-05
-3.600000e-01	-2.800000e-01	5.025150e-05	2.512575e-05	2.512575e-05
-2.800000e-01	-2.000000e-01	6.281437e-05	2.809144e-05	2.809144e-05
-2.000000e-01	-1.200000e-01	3.768862e-05	2.175954e-05	2.175954e-05
-1.200000e-01	-4.000000e-02	3.768863e-05	2.175954e-05	2.175954e-05
-4.000000e-02	4.000000e-02	2.512575e-05	1.776659e-05	1.776659e-05
4.000000e-02	1.200000e-01	2.512575e-05	1.776659e-05	1.776659e-05
1.200000e-01	2.000000e-01	1.256287e-05	1.256287e-05	1.256287e-05
2.000000e-01	2.800000e-01	3.768862e-05	2.175954e-05	2.175954e-05
2.800000e-01	3.600000e-01	5.025150e-05	2.512575e-05	2.512575e-05
3.600000e-01	4.400000e-01	6.281437e-05	2.809144e-05	2.809144e-05
4.400000e-01	5.200000e-01	5.025150e-05	2.512575e-05	2.512575e-05
5.200000e-01	6.000000e-01	7.537725e-05	3.077263e-05	3.077263e-05
6.000000e-01	6.800000e-01	1.005030e-04	3.553318e-05	3.553318e-05
6.800000e-01	7.600000e-01	6.281438e-05	2.809144e-05	2.809144e-05
7.600000e-01	8.400000e-01	7.537725e-05	3.077263e-05	3.077263e-05
8.400000e-01	9.200000e-01	6.281437e-05	2.809144e-05	2.809144e-05
9.200000e-01	1.000000e+00	6.281438e-05	2.809144e-05	2.809144e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_costheta_planes
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_costheta_planes
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+00	-9.200000e-01	8.721300e-05	3.296341e-05	3.296341e-05
-9.200000e-01	-8.400000e-01	3.737700e-05	2.157962e-05	2.157962e-05
-8.400000e-01	-7.600000e-01	7.475400e-05	3.051819e-05	3.051819e-05
-7.600000e-01	-6.800000e-01	7.475400e-05	3.051819e-05	3.051819e-05
-6.800000e-01	-6.000000e-01	2.491800e-05	1.761969e-05	1.761969e-05
-6.000000e-01	-5.200000e-01	7.475400e-05	3.051819e-05	3.051819e-05
-5.200000e-01	-4.400000e-01	4.983600e-05	2.491800e-05	2.491800e-05
-4.400000e-01	-3.600000e-01	8.721300e-05	3.296341e-05	3.296341e-05
-3.600000e-01	-2.800000e-01	6.229500e-05	2.785917e-05	2.785917e-05
-2.800000e-01	-2.000000e-01	3.737700e-05	2.157962e-05	2.157962e-05
-2.000000e-01	-1.200000e-01	2.491800e-05	1.761969e-05	1.761969e-05
-1.200000e-01	-4.000000e-02	7.475400e-05	3.051819e-05	3.051819e-05
-4.000000e-02	4.000000e-02	4.983600e-05	2.491800e-05	2.491800e-05
4.000000e-02	1.200000e-01	3.737700e-05	2.157962e-05	2.157962e-05
1.200000e-01	2.000000e-01	6.229500e-05	2.785917e-05	2.785917e-05
2.000000e-01	2.800000e-01	3.737700e-05	2.157962e-05	2.157962e-05
2.800000e-01	3.600000e-01	4.983600e-05	2.491800e-05	2.491800e-05
3.600000e-01	4.400000e-01	2.491800e-05	1.761969e-05	1.761969e-05
4.400000e-01	5.200000e-01	3.737700e-05	2.157962e-05	2.157962e-05
5.200000e-01	6.000000e-01	4.983600e-05	2.491800e-05	2.491800e-05
