# BEGIN PLOT
Legend=1
LogY=1
Title=Separation of boson pair
XLabel=$\Delta R_{\mathrm{ZZ}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R_{\mathrm{ZZ}}$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dR
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dR
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	1.020000e+00	1.546200e-05	7.731000e-06	7.731000e-06
1.020000e+00	1.280000e+00	1.159650e-05	6.695243e-06	6.695243e-06
1.280000e+00	1.540000e+00	7.731000e-06	5.466643e-06	5.466643e-06
1.540000e+00	1.800000e+00	3.092400e-05	1.093328e-05	1.093328e-05
1.800000e+00	2.060000e+00	3.478950e-05	1.159650e-05	1.159650e-05
2.060000e+00	2.320000e+00	5.798250e-05	1.497102e-05	1.497102e-05
2.320000e+00	2.580000e+00	4.638600e-05	1.339048e-05	1.339048e-05
2.580000e+00	2.840000e+00	4.638600e-05	1.339048e-05	1.339048e-05
2.840000e+00	3.100000e+00	5.025150e-05	1.393726e-05	1.393726e-05
3.100000e+00	3.360000e+00	4.638600e-05	1.339048e-05	1.339048e-05
3.360000e+00	3.620000e+00	1.159650e-05	6.695243e-06	6.695243e-06
3.620000e+00	3.880000e+00	1.932750e-05	8.643521e-06	8.643521e-06
3.880000e+00	4.140000e+00	1.932750e-05	8.643521e-06	8.643521e-06
4.140000e+00	4.400000e+00	1.159650e-05	6.695243e-06	6.695243e-06
4.400000e+00	4.660000e+00	3.865500e-06	3.865499e-06	3.865499e-06
4.660000e+00	4.920000e+00	3.865500e-06	3.865499e-06	3.865499e-06
4.920000e+00	5.180000e+00	3.865500e-06	3.865499e-06	3.865499e-06
5.180000e+00	5.440000e+00	3.865500e-06	3.865499e-06	3.865499e-06
5.440000e+00	5.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e+00	5.960000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.960000e+00	6.220000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.220000e+00	6.480000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.480000e+00	6.740000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.740000e+00	7.000000e+00	3.865500e-06	3.865499e-06	3.865499e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dR
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	7.600000e-01	3.833538e-06	3.833539e-06	3.833539e-06
7.600000e-01	1.020000e+00	1.150062e-05	6.639883e-06	6.639883e-06
