# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity difference of boson pair
XLabel=$\Delta\eta_{\mathrm{ZZ}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta_{\mathrm{ZZ}}$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_deta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_deta
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_deta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_deta
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-7.000000e+00	-6.440000e+00	1.794696e-06	1.794696e-06	1.794696e-06
-6.440000e+00	-5.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.880000e+00	-5.320000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.320000e+00	-4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.760000e+00	-4.200000e+00	1.794696e-06	1.794696e-06	1.794696e-06
-4.200000e+00	-3.640000e+00	1.794696e-06	1.794696e-06	1.794696e-06
-3.640000e+00	-3.080000e+00	1.794696e-06	1.794696e-06	1.794696e-06
-3.080000e+00	-2.520000e+00	5.384089e-06	3.108505e-06	3.108505e-06
-2.520000e+00	-1.960000e+00	7.178786e-06	3.589393e-06	3.589393e-06
-1.960000e+00	-1.400000e+00	1.974166e-05	5.952335e-06	5.952335e-06
-1.400000e+00	-8.400000e-01	1.615227e-05	5.384089e-06	5.384089e-06
-8.400000e-01	-2.800000e-01	1.974166e-05	5.952335e-06	5.952335e-06
-2.800000e-01	2.800000e-01	2.512575e-05	6.715138e-06	6.715138e-06
2.800000e-01	8.400000e-01	1.615227e-05	5.384089e-06	5.384089e-06
8.400000e-01	1.400000e+00	2.871514e-05	7.178785e-06	7.178785e-06
1.400000e+00	1.960000e+00	2.153636e-05	6.217010e-06	6.217010e-06
1.960000e+00	2.520000e+00	1.435757e-05	5.076168e-06	5.076168e-06
2.520000e+00	3.080000e+00	5.384089e-06	3.108505e-06	3.108505e-06
3.080000e+00	3.640000e+00	3.589393e-06	2.538084e-06	2.538084e-06
3.640000e+00	4.200000e+00	1.076818e-05	4.396091e-06	4.396091e-06
4.200000e+00	4.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.760000e+00	5.320000e+00	1.794696e-06	1.794696e-06	1.794696e-06
5.320000e+00	5.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.880000e+00	6.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.440000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_deta
