# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum difference of boson pair
XLabel=$\Delta p_\perp^{\mathrm{ZZ}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta p_\perp^{\mathrm{ZZ}}$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dpT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dpT
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dpT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dpT
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dpT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dpT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_dpT
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.091765e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.091765e+00	1.191951e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.191951e+00	1.301330e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.301330e+00	1.420746e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.420746e+00	1.551121e+00	7.708763e-06	7.708762e-06	7.708762e-06
1.551121e+00	1.693459e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.693459e+00	1.848860e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.848860e+00	2.018520e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.018520e+00	2.203749e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.203749e+00	2.405976e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.405976e+00	2.626760e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.626760e+00	2.867805e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.867805e+00	3.130969e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.130969e+00	3.418282e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.418282e+00	3.731960e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.731960e+00	4.074423e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.074423e+00	4.448312e+00	2.688044e-06	2.688043e-06	2.688043e-06
4.448312e+00	4.856511e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.856511e+00	5.302169e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.302169e+00	5.788722e+00	4.131225e-06	2.921218e-06	2.921218e-06
5.788722e+00	6.319923e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.319923e+00	6.899870e+00	1.732969e-06	1.732968e-06	1.732968e-06
6.899870e+00	7.533037e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.533037e+00	8.224305e+00	2.907787e-06	2.056116e-06	2.056116e-06
8.224305e+00	8.979008e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.979008e+00	9.802965e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.802965e+00	1.070253e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.070253e+01	1.168465e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.168465e+01	1.275689e+01	1.874636e-06	1.325568e-06	1.325568e-06
1.275689e+01	1.392753e+01	2.575591e-06	1.487018e-06	1.487018e-06
1.392753e+01	1.520559e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.520559e+01	1.660092e+01	2.881125e-06	1.440562e-06	1.440562e-06
1.660092e+01	1.812431e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.812431e+01	1.978748e+01	1.208572e-06	8.545892e-07	8.545892e-07
1.978748e+01	2.160328e+01	1.660475e-06	9.586755e-07	9.586755e-07
2.160328e+01	2.358570e+01	5.069713e-07	5.069712e-07	5.069712e-07
2.358570e+01	2.575004e+01	4.643586e-07	4.643586e-07	4.643586e-07
2.575004e+01	2.811299e+01	2.126643e-06	9.510635e-07	9.510635e-07
2.811299e+01	3.069278e+01	7.791564e-07	5.509469e-07	5.509469e-07
3.069278e+01	3.350930e+01	1.070502e-06	6.180546e-07	6.180546e-07
3.350930e+01	3.658428e+01	6.536823e-07	4.622232e-07	4.622232e-07
3.658428e+01	3.994143e+01	1.796220e-06	7.333038e-07	7.333038e-07
3.994143e+01	4.360665e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.360665e+01	4.760821e+01	7.534786e-07	4.350211e-07	4.350211e-07
4.760821e+01	5.197698e+01	1.150244e-06	5.144046e-07	5.144046e-07
5.197698e+01	5.674664e+01	4.214263e-07	2.979934e-07	2.979934e-07
5.674664e+01	6.195399e+01	3.860044e-07	2.729464e-07	2.729464e-07
6.195399e+01	6.763919e+01	1.767801e-07	1.767800e-07	1.767800e-07
6.763919e+01	7.384610e+01	3.238423e-07	2.289911e-07	2.289911e-07
7.384610e+01	8.062258e+01	7.415576e-07	3.316346e-07	3.316346e-07
8.062258e+01	8.802090e+01	4.075371e-07	2.352917e-07	2.352917e-07
8.802090e+01	9.609813e+01	3.732827e-07	2.155149e-07	2.155149e-07
9.609813e+01	1.049166e+02	4.558750e-07	2.279375e-07	2.279375e-07
1.049166e+02	1.145442e+02	4.175620e-07	2.087810e-07	2.087810e-07
1.145442e+02	1.250554e+02	6.693061e-07	2.529739e-07	2.529739e-07
