# BEGIN PLOT
Legend=1
LogY=0
Title=Azimuthal angle of boson pair
XLabel=$\phi_{\mathrm{ZZ}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi_{\mathrm{ZZ}}$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_phi //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_phi
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_phi //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_phi
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_phi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_phi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_phi
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	1.999444e-05	8.941785e-06	8.941785e-06
2.513274e-01	5.026548e-01	1.199666e-05	6.926276e-06	6.926276e-06
5.026548e-01	7.539822e-01	1.599555e-05	7.997775e-06	7.997775e-06
7.539822e-01	1.005310e+00	2.799217e-05	1.058004e-05	1.058004e-05
1.005310e+00	1.256637e+00	1.599558e-05	7.997788e-06	7.997788e-06
1.256637e+00	1.507964e+00	1.599558e-05	7.997788e-06	7.997788e-06
1.507964e+00	1.759292e+00	1.199663e-05	6.926260e-06	6.926260e-06
1.759292e+00	2.010619e+00	2.799226e-05	1.058008e-05	1.058008e-05
2.010619e+00	2.261947e+00	1.999439e-05	8.941763e-06	8.941763e-06
2.261947e+00	2.513274e+00	1.199668e-05	6.926287e-06	6.926287e-06
2.513274e+00	2.764602e+00	1.599551e-05	7.997756e-06	7.997756e-06
2.764602e+00	3.015929e+00	1.199668e-05	6.926287e-06	6.926287e-06
3.015929e+00	3.267256e+00	3.998894e-06	3.998893e-06	3.998893e-06
3.267256e+00	3.518584e+00	1.999439e-05	8.941763e-06	8.941763e-06
3.518584e+00	3.769911e+00	1.999447e-05	8.941799e-06	8.941799e-06
3.769911e+00	4.021239e+00	7.997756e-06	5.655268e-06	5.655268e-06
4.021239e+00	4.272566e+00	1.999447e-05	8.941799e-06	8.941799e-06
4.272566e+00	4.523893e+00	7.997788e-06	5.655291e-06	5.655291e-06
4.523893e+00	4.775221e+00	2.399327e-05	9.795211e-06	9.795211e-06
4.775221e+00	5.026548e+00	2.799226e-05	1.058008e-05	1.058008e-05
5.026548e+00	5.277876e+00	1.599551e-05	7.997756e-06	7.997756e-06
5.277876e+00	5.529203e+00	3.199115e-05	1.131058e-05	1.131058e-05
5.529203e+00	5.780530e+00	1.999447e-05	8.941799e-06	8.941799e-06
5.780530e+00	6.031858e+00	1.199663e-05	6.926260e-06	6.926260e-06
6.031858e+00	6.283185e+00	3.199115e-05	1.131058e-05	1.131058e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_phi
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZZ_phi
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.513274e-01	1.189747e-05	6.869007e-06	6.869007e-06
2.513274e-01	5.026548e-01	1.982912e-05	8.867850e-06	8.867850e-06
5.026548e-01	7.539822e-01	1.982912e-05	8.867850e-06	8.867850e-06
7.539822e-01	1.005310e+00	1.982908e-05	8.867836e-06	8.867836e-06
1.005310e+00	1.256637e+00	1.982915e-05	8.867864e-06	8.867864e-06
1.256637e+00	1.507964e+00	1.586332e-05	7.931659e-06	7.931659e-06
1.507964e+00	1.759292e+00	7.931627e-06	5.608508e-06	5.608508e-06
1.759292e+00	2.010619e+00	2.776081e-05	1.049260e-05	1.049260e-05
2.010619e+00	2.261947e+00	2.379488e-05	9.714220e-06	9.714220e-06
2.261947e+00	2.513274e+00	2.379498e-05	9.714259e-06	9.714259e-06
2.513274e+00	2.764602e+00	2.776070e-05	1.049256e-05	1.049256e-05
2.764602e+00	3.015929e+00	1.586332e-05	7.931659e-06	7.931659e-06
3.015929e+00	3.267256e+00	7.931659e-06	5.608530e-06	5.608530e-06
3.267256e+00	3.518584e+00	1.586325e-05	7.931627e-06	7.931627e-06
3.518584e+00	3.769911e+00	1.189749e-05	6.869018e-06	6.869018e-06
3.769911e+00	4.021239e+00	7.931627e-06	5.608508e-06	5.608508e-06
4.021239e+00	4.272566e+00	3.569246e-05	1.189749e-05	1.189749e-05
4.272566e+00	4.523893e+00	1.189749e-05	6.869018e-06	6.869018e-06
4.523893e+00	4.775221e+00	7.931627e-06	5.608508e-06	5.608508e-06
4.775221e+00	5.026548e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.026548e+00	5.277876e+00	1.189744e-05	6.868990e-06	6.868990e-06
5.277876e+00	5.529203e+00	1.189749e-05	6.869018e-06	6.869018e-06
5.529203e+00	5.780530e+00	2.379498e-05	9.714259e-06	9.714259e-06
5.780530e+00	6.031858e+00	3.172651e-05	1.121701e-05	1.121701e-05
6.031858e+00	6.283185e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

